sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
6550,2025-04-19 22:30,2025-04-19 21:30,89,2.49,70.0,120.0,170.0,običajni pretok,12.4
6550,2025-04-22 07:30,2025-04-22 06:30,86,2.03,70.0,120.0,170.0,običajni pretok,12.2
6550,2025-04-22 10:30,2025-04-22 09:30,86,2.03,70.0,120.0,170.0,običajni pretok,12.7
6550,2025-04-22 11:00,2025-04-22 10:00,86,2.03,70.0,120.0,170.0,običajni pretok,12.8
6550,2025-04-22 11:30,2025-04-22 10:30,86,2.03,70.0,120.0,170.0,običajni pretok,12.8
6550,2025-04-22 12:30,2025-04-22 11:30,86,2.03,70.0,120.0,170.0,običajni pretok,13.1
6550,2025-04-22 13:30,2025-04-22 12:30,86,2.03,70.0,120.0,170.0,običajni pretok,13.8
6550,2025-04-22 14:30,2025-04-22 13:30,86,2.03,70.0,120.0,170.0,običajni pretok,14.2
6550,2025-04-22 15:30,2025-04-22 14:30,86,2.03,70.0,120.0,170.0,običajni pretok,14.5
6550,2025-04-22 16:30,2025-04-22 15:30,86,2.03,70.0,120.0,170.0,običajni pretok,15.0
6550,2025-04-22 17:30,2025-04-22 16:30,86,2.03,70.0,120.0,170.0,običajni pretok,15.1
6550,2025-04-22 18:30,2025-04-22 17:30,85,1.88,70.0,120.0,170.0,običajni pretok,14.9
6550,2025-04-22 19:30,2025-04-22 18:30,85,1.88,70.0,120.0,170.0,običajni pretok,14.8
6550,2025-04-22 20:30,2025-04-22 19:30,85,1.88,70.0,120.0,170.0,običajni pretok,14.7
6550,2025-04-22 21:30,2025-04-22 20:30,85,1.88,70.0,120.0,170.0,običajni pretok,14.4
6550,2025-04-22 22:30,2025-04-22 21:30,85,1.88,70.0,120.0,170.0,običajni pretok,14.3
6550,2025-04-22 23:30,2025-04-22 22:30,85,1.88,70.0,120.0,170.0,običajni pretok,14.1
6550,2025-04-23 00:30,2025-04-22 23:30,85,1.88,70.0,120.0,170.0,običajni pretok,13.9
6550,2025-04-23 02:00,2025-04-23 01:00,85,1.88,70.0,120.0,170.0,običajni pretok,13.5
6550,2025-04-23 03:30,2025-04-23 02:30,85,1.88,70.0,120.0,170.0,običajni pretok,13.2
6550,2025-04-23 04:30,2025-04-23 03:30,85,1.88,70.0,120.0,170.0,običajni pretok,13.0
6550,2025-04-23 05:30,2025-04-23 04:30,85,1.88,70.0,120.0,170.0,običajni pretok,12.8
6550,2025-04-23 06:30,2025-04-23 05:30,85,1.88,70.0,120.0,170.0,običajni pretok,12.6
6550,2025-04-23 07:30,2025-04-23 06:30,85,1.88,70.0,120.0,170.0,običajni pretok,12.5
6550,2025-04-23 08:30,2025-04-23 07:30,85,1.88,70.0,120.0,170.0,običajni pretok,12.5
6550,2025-04-23 09:30,2025-04-23 08:30,85,1.88,70.0,120.0,170.0,običajni pretok,12.7
6550,2025-04-23 10:30,2025-04-23 09:30,85,1.88,70.0,120.0,170.0,običajni pretok,13.1
6550,2025-04-23 11:30,2025-04-23 10:30,85,1.88,70.0,120.0,170.0,običajni pretok,13.2
6550,2025-04-23 12:30,2025-04-23 11:30,85,1.88,70.0,120.0,170.0,običajni pretok,13.5
6550,2025-04-23 13:30,2025-04-23 12:30,85,1.88,70.0,120.0,170.0,običajni pretok,13.7
6550,2025-04-23 14:30,2025-04-23 13:30,85,1.88,70.0,120.0,170.0,običajni pretok,13.7
6550,2025-04-23 15:30,2025-04-23 14:30,85,1.88,70.0,120.0,170.0,običajni pretok,13.9
6550,2025-04-23 16:30,2025-04-23 15:30,85,1.88,70.0,120.0,170.0,običajni pretok,14.0
6550,2025-04-23 17:30,2025-04-23 16:30,86,2.03,70.0,120.0,170.0,običajni pretok,14.2
6550,2025-04-23 18:30,2025-04-23 17:30,85,1.88,70.0,120.0,170.0,običajni pretok,14.2
6550,2025-04-23 19:30,2025-04-23 18:30,86,2.03,70.0,120.0,170.0,običajni pretok,14.0
6550,2025-04-23 20:30,2025-04-23 19:30,85,1.88,70.0,120.0,170.0,običajni pretok,13.8
6550,2025-04-23 21:30,2025-04-23 20:30,85,1.88,70.0,120.0,170.0,običajni pretok,13.5
6550,2025-04-23 22:30,2025-04-23 21:30,85,1.88,70.0,120.0,170.0,običajni pretok,13.3
6550,2025-04-23 23:30,2025-04-23 22:30,85,1.88,70.0,120.0,170.0,običajni pretok,13.1
6550,2025-04-24 00:30,2025-04-23 23:30,85,1.88,70.0,120.0,170.0,običajni pretok,12.9
6550,2025-04-24 02:00,2025-04-24 01:00,85,1.88,70.0,120.0,170.0,običajni pretok,12.5
6550,2025-04-24 03:30,2025-04-24 02:30,84,1.75,70.0,120.0,170.0,običajni pretok,12.1
6550,2025-04-24 04:30,2025-04-24 03:30,85,1.88,70.0,120.0,170.0,običajni pretok,11.9
6550,2025-04-24 05:30,2025-04-24 04:30,85,1.88,70.0,120.0,170.0,običajni pretok,11.7
