sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
8270,2025-04-19 22:30,2025-04-19 21:30,,,110.0,175.0,235.0,,
8270,2025-04-22 07:30,2025-04-22 06:30,130.0,3.19,110.0,175.0,235.0,običajni pretok,
8270,2025-04-22 10:30,2025-04-22 09:30,129.0,3.06,110.0,175.0,235.0,običajni pretok,
8270,2025-04-22 11:00,2025-04-22 10:00,,,110.0,175.0,235.0,,
8270,2025-04-22 11:30,2025-04-22 10:30,130.0,3.19,110.0,175.0,235.0,običajni pretok,
8270,2025-04-22 12:30,2025-04-22 11:30,129.0,3.06,110.0,175.0,235.0,običajni pretok,
8270,2025-04-22 13:30,2025-04-22 12:30,129.0,3.06,110.0,175.0,235.0,običajni pretok,
8270,2025-04-22 14:30,2025-04-22 13:30,129.0,3.06,110.0,175.0,235.0,običajni pretok,
8270,2025-04-22 15:30,2025-04-22 14:30,128.0,2.93,110.0,175.0,235.0,običajni pretok,
8270,2025-04-22 16:30,2025-04-22 15:30,128.0,2.93,110.0,175.0,235.0,običajni pretok,
8270,2025-04-22 17:30,2025-04-22 16:30,128.0,2.93,110.0,175.0,235.0,običajni pretok,
8270,2025-04-22 18:30,2025-04-22 17:30,128.0,2.93,110.0,175.0,235.0,običajni pretok,
8270,2025-04-22 19:30,2025-04-22 18:30,128.0,2.93,110.0,175.0,235.0,običajni pretok,
8270,2025-04-22 20:30,2025-04-22 19:30,128.0,2.93,110.0,175.0,235.0,običajni pretok,
8270,2025-04-22 21:30,2025-04-22 20:30,128.0,2.93,110.0,175.0,235.0,običajni pretok,
8270,2025-04-22 22:30,2025-04-22 21:30,127.0,2.81,110.0,175.0,235.0,običajni pretok,
8270,2025-04-22 23:30,2025-04-22 22:30,127.0,2.81,110.0,175.0,235.0,običajni pretok,
8270,2025-04-23 00:30,2025-04-22 23:30,127.0,2.81,110.0,175.0,235.0,običajni pretok,
8270,2025-04-23 02:00,2025-04-23 01:00,126.0,2.68,110.0,175.0,235.0,običajni pretok,
8270,2025-04-23 03:30,2025-04-23 02:30,126.0,2.68,110.0,175.0,235.0,običajni pretok,
8270,2025-04-23 04:30,2025-04-23 03:30,127.0,2.81,110.0,175.0,235.0,običajni pretok,
8270,2025-04-23 05:30,2025-04-23 04:30,127.0,2.81,110.0,175.0,235.0,običajni pretok,
8270,2025-04-23 06:30,2025-04-23 05:30,128.0,2.93,110.0,175.0,235.0,običajni pretok,
8270,2025-04-23 07:30,2025-04-23 06:30,129.0,3.06,110.0,175.0,235.0,običajni pretok,
8270,2025-04-23 08:30,2025-04-23 07:30,129.0,3.06,110.0,175.0,235.0,običajni pretok,
8270,2025-04-23 09:30,2025-04-23 08:30,129.0,3.06,110.0,175.0,235.0,običajni pretok,
8270,2025-04-23 10:30,2025-04-23 09:30,130.0,3.19,110.0,175.0,235.0,običajni pretok,
8270,2025-04-23 11:30,2025-04-23 10:30,130.0,3.19,110.0,175.0,235.0,običajni pretok,
8270,2025-04-23 12:30,2025-04-23 11:30,131.0,3.36,110.0,175.0,235.0,običajni pretok,
8270,2025-04-23 13:30,2025-04-23 12:30,132.0,3.53,110.0,175.0,235.0,običajni pretok,
8270,2025-04-23 14:30,2025-04-23 13:30,133.0,3.7,110.0,175.0,235.0,običajni pretok,
8270,2025-04-23 15:30,2025-04-23 14:30,133.0,3.7,110.0,175.0,235.0,običajni pretok,
8270,2025-04-23 16:30,2025-04-23 15:30,133.0,3.7,110.0,175.0,235.0,običajni pretok,
8270,2025-04-23 17:30,2025-04-23 16:30,133.0,3.7,110.0,175.0,235.0,običajni pretok,
8270,2025-04-23 18:30,2025-04-23 17:30,132.0,3.53,110.0,175.0,235.0,običajni pretok,
8270,2025-04-23 19:30,2025-04-23 18:30,132,3.53,110.0,175.0,235.0,običajni pretok,
