sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
8180,2025-04-19 22:30,2025-04-19 21:30,401,280.0,1500.0,1700.0,1900.0,veliki pretok,9.7
8180,2025-04-22 07:30,2025-04-22 06:30,353,198.0,1500.0,1700.0,1900.0,običajni pretok,10.2
8180,2025-04-22 10:30,2025-04-22 09:30,317,145.0,1500.0,1700.0,1900.0,običajni pretok,10.2
8180,2025-04-22 11:00,2025-04-22 10:00,313,139.0,1500.0,1700.0,1900.0,običajni pretok,10.3
8180,2025-04-22 11:30,2025-04-22 10:30,276,92.5,1500.0,1700.0,1900.0,običajni pretok,10.4
8180,2025-04-22 12:30,2025-04-22 11:30,267,82.3,1500.0,1700.0,1900.0,običajni pretok,10.4
8180,2025-04-22 13:30,2025-04-22 12:30,267,82.3,1500.0,1700.0,1900.0,običajni pretok,10.6
8180,2025-04-22 14:30,2025-04-22 13:30,269,84.5,1500.0,1700.0,1900.0,običajni pretok,10.7
8180,2025-04-22 15:30,2025-04-22 14:30,310,135.0,1500.0,1700.0,1900.0,običajni pretok,10.8
8180,2025-04-22 16:30,2025-04-22 15:30,310,135.0,1500.0,1700.0,1900.0,običajni pretok,10.9
8180,2025-04-22 17:30,2025-04-22 16:30,309,134.0,1500.0,1700.0,1900.0,običajni pretok,11.0
8180,2025-04-22 18:30,2025-04-22 17:30,330,163.0,1500.0,1700.0,1900.0,običajni pretok,11.0
8180,2025-04-22 19:30,2025-04-22 18:30,349,192.0,1500.0,1700.0,1900.0,običajni pretok,11.1
8180,2025-04-22 20:30,2025-04-22 19:30,338,175.0,1500.0,1700.0,1900.0,običajni pretok,11.4
8180,2025-04-22 21:30,2025-04-22 20:30,349,192.0,1500.0,1700.0,1900.0,običajni pretok,11.6
8180,2025-04-22 22:30,2025-04-22 21:30,296,117.0,1500.0,1700.0,1900.0,običajni pretok,11.6
8180,2025-04-22 23:30,2025-04-22 22:30,295,115.0,1500.0,1700.0,1900.0,običajni pretok,11.6
8180,2025-04-23 00:30,2025-04-22 23:30,310,135.0,1500.0,1700.0,1900.0,običajni pretok,11.6
8180,2025-04-23 02:00,2025-04-23 01:00,311,136.0,1500.0,1700.0,1900.0,običajni pretok,11.5
8180,2025-04-23 03:30,2025-04-23 02:30,311,136.0,1500.0,1700.0,1900.0,običajni pretok,11.3
8180,2025-04-23 04:30,2025-04-23 03:30,311,136.0,1500.0,1700.0,1900.0,običajni pretok,11.2
8180,2025-04-23 05:30,2025-04-23 04:30,311,136.0,1500.0,1700.0,1900.0,običajni pretok,11.0
