sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
4650,2025-04-19 22:30,2025-04-19 21:30,37.0,1.08,40.0,54.0,76.0,običajni pretok,11.4
4650,2025-04-22 07:30,2025-04-22 06:30,36.0,0.983,40.0,54.0,76.0,običajni pretok,11.2
4650,2025-04-22 10:30,2025-04-22 09:30,,,40.0,54.0,76.0,,
4650,2025-04-22 11:00,2025-04-22 10:00,,,40.0,54.0,76.0,,
4650,2025-04-22 11:30,2025-04-22 10:30,,,40.0,54.0,76.0,,
4650,2025-04-22 12:30,2025-04-22 11:30,,,40.0,54.0,76.0,,
4650,2025-04-22 13:30,2025-04-22 12:30,,,40.0,54.0,76.0,,
4650,2025-04-22 14:30,2025-04-22 13:30,,,40.0,54.0,76.0,,
4650,2025-04-22 15:30,2025-04-22 14:30,,,40.0,54.0,76.0,,
4650,2025-04-22 16:30,2025-04-22 15:30,,,40.0,54.0,76.0,,
4650,2025-04-22 17:30,2025-04-22 16:30,,,40.0,54.0,76.0,,
4650,2025-04-22 18:30,2025-04-22 17:30,,,40.0,54.0,76.0,,
4650,2025-04-22 19:30,2025-04-22 18:30,,,40.0,54.0,76.0,,
4650,2025-04-22 20:30,2025-04-22 19:30,,,40.0,54.0,76.0,,
4650,2025-04-22 21:30,2025-04-22 20:30,,,40.0,54.0,76.0,,
4650,2025-04-22 22:30,2025-04-22 21:30,35.0,0.892,40.0,54.0,76.0,običajni pretok,12.7
4650,2025-04-22 23:30,2025-04-22 22:30,35.0,0.892,40.0,54.0,76.0,običajni pretok,12.5
4650,2025-04-23 00:30,2025-04-22 23:30,35.0,0.892,40.0,54.0,76.0,običajni pretok,12.3
4650,2025-04-23 02:00,2025-04-23 01:00,36.0,0.983,40.0,54.0,76.0,običajni pretok,12.1
4650,2025-04-23 03:30,2025-04-23 02:30,36.0,0.983,40.0,54.0,76.0,običajni pretok,11.8
4650,2025-04-23 04:30,2025-04-23 03:30,35.0,0.892,40.0,54.0,76.0,običajni pretok,11.6
4650,2025-04-23 05:30,2025-04-23 04:30,35.0,0.892,40.0,54.0,76.0,običajni pretok,11.5
4650,2025-04-23 06:30,2025-04-23 05:30,35.0,0.892,40.0,54.0,76.0,običajni pretok,11.4
4650,2025-04-23 07:30,2025-04-23 06:30,35.0,0.892,40.0,54.0,76.0,običajni pretok,11.3
4650,2025-04-23 08:30,2025-04-23 07:30,35.0,0.892,40.0,54.0,76.0,običajni pretok,11.4
4650,2025-04-23 09:30,2025-04-23 08:30,36.0,0.983,40.0,54.0,76.0,običajni pretok,11.7
4650,2025-04-23 10:30,2025-04-23 09:30,35.0,0.892,40.0,54.0,76.0,običajni pretok,12.0
4650,2025-04-23 11:30,2025-04-23 10:30,,,40.0,54.0,76.0,,
4650,2025-04-23 12:30,2025-04-23 11:30,,,40.0,54.0,76.0,,
4650,2025-04-23 13:30,2025-04-23 12:30,,,40.0,54.0,76.0,,
4650,2025-04-23 14:30,2025-04-23 13:30,36.0,0.983,40.0,54.0,76.0,običajni pretok,12.5
4650,2025-04-23 15:30,2025-04-23 14:30,36.0,0.983,40.0,54.0,76.0,običajni pretok,13.1
4650,2025-04-23 16:30,2025-04-23 15:30,,,40.0,54.0,76.0,,
4650,2025-04-23 17:30,2025-04-23 16:30,,,40.0,54.0,76.0,,
4650,2025-04-23 18:30,2025-04-23 17:30,,,40.0,54.0,76.0,,
4650,2025-04-23 19:30,2025-04-23 18:30,,,40.0,54.0,76.0,,
4650,2025-04-23 20:30,2025-04-23 19:30,,,40.0,54.0,76.0,,
