sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
1140,2025-04-19 22:30,2025-04-19 21:30,33,0.808,36.0,50.0,64.0,običajni pretok,16.6
1140,2025-04-22 07:30,2025-04-22 06:30,31,0.704,36.0,50.0,64.0,običajni pretok,15.6
1140,2025-04-22 10:30,2025-04-22 09:30,32,0.755,36.0,50.0,64.0,običajni pretok,17.0
1140,2025-04-22 11:00,2025-04-22 10:00,31,0.704,36.0,50.0,64.0,običajni pretok,17.2
1140,2025-04-22 11:30,2025-04-22 10:30,31,0.704,36.0,50.0,64.0,običajni pretok,17.6
1140,2025-04-22 12:30,2025-04-22 11:30,31,0.704,36.0,50.0,64.0,običajni pretok,18.5
1140,2025-04-22 13:30,2025-04-22 12:30,31,0.704,36.0,50.0,64.0,običajni pretok,19.4
1140,2025-04-22 14:30,2025-04-22 13:30,32,0.755,36.0,50.0,64.0,običajni pretok,19.9
1140,2025-04-22 15:30,2025-04-22 14:30,31,0.704,36.0,50.0,64.0,običajni pretok,20.3
1140,2025-04-22 16:30,2025-04-22 15:30,32,0.755,36.0,50.0,64.0,običajni pretok,20.4
1140,2025-04-22 17:30,2025-04-22 16:30,31,0.704,36.0,50.0,64.0,običajni pretok,19.9
1140,2025-04-22 18:30,2025-04-22 17:30,31,0.704,36.0,50.0,64.0,običajni pretok,19.7
1140,2025-04-22 19:30,2025-04-22 18:30,31,0.704,36.0,50.0,64.0,običajni pretok,
1140,2025-04-22 20:30,2025-04-22 19:30,32,0.755,36.0,50.0,64.0,običajni pretok,18.6
