sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
2693,2025-04-19 22:30,2025-04-19 21:30,95,0.853,50.0,75.0,90.0,običajni pretok,14.7
2693,2025-04-22 07:30,2025-04-22 06:30,94,0.797,50.0,75.0,90.0,običajni pretok,13.9
2693,2025-04-22 10:30,2025-04-22 09:30,94,0.797,50.0,75.0,90.0,običajni pretok,13.7
2693,2025-04-22 11:00,2025-04-22 10:00,94,0.797,50.0,75.0,90.0,običajni pretok,13.7
2693,2025-04-22 11:30,2025-04-22 10:30,94,0.797,50.0,75.0,90.0,običajni pretok,13.7
2693,2025-04-22 12:30,2025-04-22 11:30,94,0.797,50.0,75.0,90.0,običajni pretok,14.0
2693,2025-04-22 13:30,2025-04-22 12:30,94,0.797,50.0,75.0,90.0,običajni pretok,14.7
2693,2025-04-22 14:30,2025-04-22 13:30,94,0.797,50.0,75.0,90.0,običajni pretok,15.3
2693,2025-04-22 15:30,2025-04-22 14:30,94,0.797,50.0,75.0,90.0,običajni pretok,15.7
2693,2025-04-22 16:30,2025-04-22 15:30,94,0.797,50.0,75.0,90.0,običajni pretok,16.2
2693,2025-04-22 17:30,2025-04-22 16:30,94,0.797,50.0,75.0,90.0,običajni pretok,16.6
2693,2025-04-22 18:30,2025-04-22 17:30,94,0.797,50.0,75.0,90.0,običajni pretok,16.8
2693,2025-04-22 19:30,2025-04-22 18:30,94,0.797,50.0,75.0,90.0,običajni pretok,16.8
2693,2025-04-22 20:30,2025-04-22 19:30,93,0.744,50.0,75.0,90.0,običajni pretok,16.6
2693,2025-04-22 21:30,2025-04-22 20:30,93,0.744,50.0,75.0,90.0,običajni pretok,16.4
2693,2025-04-22 22:30,2025-04-22 21:30,93,0.744,50.0,75.0,90.0,običajni pretok,16.5
2693,2025-04-22 23:30,2025-04-22 22:30,93,0.744,50.0,75.0,90.0,običajni pretok,16.4
2693,2025-04-23 00:30,2025-04-22 23:30,93,0.744,50.0,75.0,90.0,običajni pretok,16.2
2693,2025-04-23 02:00,2025-04-23 01:00,93,0.744,50.0,75.0,90.0,običajni pretok,15.8
2693,2025-04-23 03:30,2025-04-23 02:30,93,0.744,50.0,75.0,90.0,običajni pretok,15.3
2693,2025-04-23 04:30,2025-04-23 03:30,93,0.744,50.0,75.0,90.0,običajni pretok,15.0
2693,2025-04-23 05:30,2025-04-23 04:30,93,0.744,50.0,75.0,90.0,običajni pretok,14.4
2693,2025-04-23 06:30,2025-04-23 05:30,93,0.744,50.0,75.0,90.0,običajni pretok,14.0
2693,2025-04-23 07:30,2025-04-23 06:30,93,0.744,50.0,75.0,90.0,običajni pretok,13.7
2693,2025-04-23 08:30,2025-04-23 07:30,94,0.797,50.0,75.0,90.0,običajni pretok,13.5
2693,2025-04-23 09:30,2025-04-23 08:30,93,0.744,50.0,75.0,90.0,običajni pretok,13.4
