sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
2420,2025-04-19 22:30,2025-04-19 21:30,25.0,0.975,31.0,38.0,51.0,običajni pretok,9.9
2420,2025-04-22 07:30,2025-04-22 06:30,23.0,0.81,31.0,38.0,51.0,običajni pretok,9.2
2420,2025-04-22 10:30,2025-04-22 09:30,23.0,0.81,31.0,38.0,51.0,običajni pretok,10.2
2420,2025-04-22 11:00,2025-04-22 10:00,23.0,0.81,31.0,38.0,51.0,običajni pretok,10.7
2420,2025-04-22 11:30,2025-04-22 10:30,23.0,0.81,31.0,38.0,51.0,običajni pretok,11.0
2420,2025-04-22 12:30,2025-04-22 11:30,23.0,0.81,31.0,38.0,51.0,običajni pretok,11.5
2420,2025-04-22 13:30,2025-04-22 12:30,,,31.0,38.0,51.0,,
2420,2025-04-22 14:30,2025-04-22 13:30,,,31.0,38.0,51.0,,
2420,2025-04-22 15:30,2025-04-22 14:30,,,31.0,38.0,51.0,,
2420,2025-04-22 16:30,2025-04-22 15:30,,,31.0,38.0,51.0,,
2420,2025-04-22 17:30,2025-04-22 16:30,24.0,0.89,31.0,38.0,51.0,običajni pretok,13.4
2420,2025-04-22 18:30,2025-04-22 17:30,22.0,0.735,31.0,38.0,51.0,običajni pretok,13.2
2420,2025-04-22 19:30,2025-04-22 18:30,23.0,0.81,31.0,38.0,51.0,običajni pretok,13.1
2420,2025-04-22 20:30,2025-04-22 19:30,22.0,0.735,31.0,38.0,51.0,običajni pretok,12.7
2420,2025-04-22 21:30,2025-04-22 20:30,22.0,0.735,31.0,38.0,51.0,običajni pretok,12.3
2420,2025-04-22 22:30,2025-04-22 21:30,22.0,0.735,31.0,38.0,51.0,običajni pretok,11.9
2420,2025-04-22 23:30,2025-04-22 22:30,22.0,0.735,31.0,38.0,51.0,običajni pretok,11.5
2420,2025-04-23 00:30,2025-04-22 23:30,23.0,0.81,31.0,38.0,51.0,običajni pretok,11.2
2420,2025-04-23 02:00,2025-04-23 01:00,22.0,0.735,31.0,38.0,51.0,običajni pretok,10.7
2420,2025-04-23 03:30,2025-04-23 02:30,22.0,0.735,31.0,38.0,51.0,običajni pretok,10.4
2420,2025-04-23 04:30,2025-04-23 03:30,22.0,0.735,31.0,38.0,51.0,običajni pretok,10.2
2420,2025-04-23 05:30,2025-04-23 04:30,23.0,0.81,31.0,38.0,51.0,običajni pretok,10.0
2420,2025-04-23 06:30,2025-04-23 05:30,23.0,0.81,31.0,38.0,51.0,običajni pretok,9.9
2420,2025-04-23 07:30,2025-04-23 06:30,23.0,0.81,31.0,38.0,51.0,običajni pretok,9.9
2420,2025-04-23 08:30,2025-04-23 07:30,23.0,0.81,31.0,38.0,51.0,običajni pretok,10.0
2420,2025-04-23 09:30,2025-04-23 08:30,23.0,0.81,31.0,38.0,51.0,običajni pretok,10.1
2420,2025-04-23 10:30,2025-04-23 09:30,23.0,0.81,31.0,38.0,51.0,običajni pretok,10.6
2420,2025-04-23 11:30,2025-04-23 10:30,23.0,0.81,31.0,38.0,51.0,običajni pretok,11.2
2420,2025-04-23 12:30,2025-04-23 11:30,22.0,0.735,31.0,38.0,51.0,običajni pretok,11.7
2420,2025-04-23 13:30,2025-04-23 12:30,23.0,0.81,31.0,38.0,51.0,običajni pretok,12.2
2420,2025-04-23 14:30,2025-04-23 13:30,22.0,0.735,31.0,38.0,51.0,običajni pretok,12.8
2420,2025-04-23 15:30,2025-04-23 14:30,22.0,0.735,31.0,38.0,51.0,običajni pretok,12.6
2420,2025-04-23 16:30,2025-04-23 15:30,22.0,0.735,31.0,38.0,51.0,običajni pretok,12.9
2420,2025-04-23 17:30,2025-04-23 16:30,22.0,0.735,31.0,38.0,51.0,običajni pretok,13.0
2420,2025-04-23 18:30,2025-04-23 17:30,22.0,0.735,31.0,38.0,51.0,običajni pretok,12.9
2420,2025-04-23 19:30,2025-04-23 18:30,22.0,0.735,31.0,38.0,51.0,običajni pretok,12.7
2420,2025-04-23 20:30,2025-04-23 19:30,22.0,0.735,31.0,38.0,51.0,običajni pretok,12.3
2420,2025-04-23 21:30,2025-04-23 20:30,22.0,0.735,31.0,38.0,51.0,običajni pretok,11.9
2420,2025-04-23 22:30,2025-04-23 21:30,22.0,0.735,31.0,38.0,51.0,običajni pretok,11.6
2420,2025-04-23 23:30,2025-04-23 22:30,22.0,0.735,31.0,38.0,51.0,običajni pretok,11.2
2420,2025-04-24 00:30,2025-04-23 23:30,22.0,0.735,31.0,38.0,51.0,običajni pretok,10.8
2420,2025-04-24 02:00,2025-04-24 01:00,22.0,0.735,31.0,38.0,51.0,običajni pretok,10.2
2420,2025-04-24 03:30,2025-04-24 02:30,22.0,0.735,31.0,38.0,51.0,običajni pretok,9.8
2420,2025-04-24 04:30,2025-04-24 03:30,22.0,0.735,31.0,38.0,51.0,običajni pretok,9.5
2420,2025-04-24 05:30,2025-04-24 04:30,22.0,0.735,31.0,38.0,51.0,običajni pretok,9.3
2420,2025-04-24 06:30,2025-04-24 05:30,23.0,0.81,31.0,38.0,51.0,običajni pretok,9.1
2420,2025-04-24 07:30,2025-04-24 06:30,23.0,0.81,31.0,38.0,51.0,običajni pretok,9.1
2420,2025-04-24 08:30,2025-04-24 07:30,23.0,0.81,31.0,38.0,51.0,običajni pretok,9.2
