sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
3570,2025-04-19 22:30,2025-04-19 21:30,354,148.0,930.0,1170.0,1300.0,običajni pretok,9.5
3570,2025-04-22 07:30,2025-04-22 06:30,327,106.0,930.0,1170.0,1300.0,običajni pretok,10.4
3570,2025-04-22 10:30,2025-04-22 09:30,328,107.0,930.0,1170.0,1300.0,običajni pretok,10.4
3570,2025-04-22 11:00,2025-04-22 10:00,327,106.0,930.0,1170.0,1300.0,običajni pretok,10.4
3570,2025-04-22 11:30,2025-04-22 10:30,327,106.0,930.0,1170.0,1300.0,običajni pretok,10.5
3570,2025-04-22 12:30,2025-04-22 11:30,326,104.0,930.0,1170.0,1300.0,običajni pretok,10.7
3570,2025-04-22 13:30,2025-04-22 12:30,325,103.0,930.0,1170.0,1300.0,običajni pretok,11.1
3570,2025-04-22 14:30,2025-04-22 13:30,324,101.0,930.0,1170.0,1300.0,običajni pretok,11.5
3570,2025-04-22 15:30,2025-04-22 14:30,328,107.0,930.0,1170.0,1300.0,običajni pretok,11.7
3570,2025-04-22 16:30,2025-04-22 15:30,327,106.0,930.0,1170.0,1300.0,običajni pretok,11.6
3570,2025-04-22 17:30,2025-04-22 16:30,327,106.0,930.0,1170.0,1300.0,običajni pretok,11.5
3570,2025-04-22 18:30,2025-04-22 17:30,328,107.0,930.0,1170.0,1300.0,običajni pretok,11.6
3570,2025-04-22 19:30,2025-04-22 18:30,328,107.0,930.0,1170.0,1300.0,običajni pretok,11.6
3570,2025-04-22 20:30,2025-04-22 19:30,327,106.0,930.0,1170.0,1300.0,običajni pretok,11.6
3570,2025-04-22 21:30,2025-04-22 20:30,333,115.0,930.0,1170.0,1300.0,običajni pretok,11.6
3570,2025-04-22 22:30,2025-04-22 21:30,333,115.0,930.0,1170.0,1300.0,običajni pretok,11.6
3570,2025-04-22 23:30,2025-04-22 22:30,326,104.0,930.0,1170.0,1300.0,običajni pretok,11.6
3570,2025-04-23 00:30,2025-04-22 23:30,325,103.0,930.0,1170.0,1300.0,običajni pretok,11.5
3570,2025-04-23 02:00,2025-04-23 01:00,323,99.9,930.0,1170.0,1300.0,običajni pretok,11.4
3570,2025-04-23 03:30,2025-04-23 02:30,320,95.5,930.0,1170.0,1300.0,običajni pretok,11.1
3570,2025-04-23 04:30,2025-04-23 03:30,320,95.5,930.0,1170.0,1300.0,običajni pretok,10.9
3570,2025-04-23 05:30,2025-04-23 04:30,320,95.5,930.0,1170.0,1300.0,običajni pretok,10.8
3570,2025-04-23 06:30,2025-04-23 05:30,320,95.5,930.0,1170.0,1300.0,običajni pretok,10.7
3570,2025-04-23 07:30,2025-04-23 06:30,321,96.9,930.0,1170.0,1300.0,običajni pretok,10.7
3570,2025-04-23 08:30,2025-04-23 07:30,324,101.0,930.0,1170.0,1300.0,običajni pretok,10.7
3570,2025-04-23 09:30,2025-04-23 08:30,325,103.0,930.0,1170.0,1300.0,običajni pretok,10.8
3570,2025-04-23 10:30,2025-04-23 09:30,325,103.0,930.0,1170.0,1300.0,običajni pretok,10.9
3570,2025-04-23 11:30,2025-04-23 10:30,318,92.7,930.0,1170.0,1300.0,običajni pretok,10.9
3570,2025-04-23 12:30,2025-04-23 11:30,319,94.1,930.0,1170.0,1300.0,običajni pretok,11.1
