sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
6790,2025-04-19 22:30,2025-04-19 21:30,38,1.67,59.0,84.0,132.0,običajni pretok,13.3
6790,2025-04-22 07:30,2025-04-22 06:30,36,1.48,59.0,84.0,132.0,običajni pretok,12.3
6790,2025-04-22 10:30,2025-04-22 09:30,37,1.57,59.0,84.0,132.0,običajni pretok,13.1
6790,2025-04-22 11:00,2025-04-22 10:00,37,1.57,59.0,84.0,132.0,običajni pretok,13.4
6790,2025-04-22 11:30,2025-04-22 10:30,36,1.48,59.0,84.0,132.0,običajni pretok,13.9
6790,2025-04-22 12:30,2025-04-22 11:30,36,1.48,59.0,84.0,132.0,običajni pretok,14.2
6790,2025-04-22 13:30,2025-04-22 12:30,36,1.48,59.0,84.0,132.0,običajni pretok,14.8
6790,2025-04-22 14:30,2025-04-22 13:30,36,1.48,59.0,84.0,132.0,običajni pretok,15.8
6790,2025-04-22 15:30,2025-04-22 14:30,36,1.48,59.0,84.0,132.0,običajni pretok,16.4
6790,2025-04-22 16:30,2025-04-22 15:30,35,1.39,59.0,84.0,132.0,običajni pretok,16.8
6790,2025-04-22 17:30,2025-04-22 16:30,36,1.48,59.0,84.0,132.0,običajni pretok,17.0
6790,2025-04-22 18:30,2025-04-22 17:30,35,1.39,59.0,84.0,132.0,običajni pretok,16.7
6790,2025-04-22 19:30,2025-04-22 18:30,35,1.39,59.0,84.0,132.0,običajni pretok,16.3
6790,2025-04-22 20:30,2025-04-22 19:30,35,1.39,59.0,84.0,132.0,običajni pretok,16.0
6790,2025-04-22 21:30,2025-04-22 20:30,35,1.39,59.0,84.0,132.0,običajni pretok,15.6
6790,2025-04-22 22:30,2025-04-22 21:30,35,1.39,59.0,84.0,132.0,običajni pretok,15.3
6790,2025-04-22 23:30,2025-04-22 22:30,35,1.39,59.0,84.0,132.0,običajni pretok,15.0
6790,2025-04-23 00:30,2025-04-22 23:30,35,1.39,59.0,84.0,132.0,običajni pretok,14.6
6790,2025-04-23 02:00,2025-04-23 01:00,35,1.39,59.0,84.0,132.0,običajni pretok,14.0
6790,2025-04-23 03:30,2025-04-23 02:30,35,1.39,59.0,84.0,132.0,običajni pretok,13.5
6790,2025-04-23 04:30,2025-04-23 03:30,35,1.39,59.0,84.0,132.0,običajni pretok,13.3
6790,2025-04-23 05:30,2025-04-23 04:30,35,1.39,59.0,84.0,132.0,običajni pretok,13.0
6790,2025-04-23 06:30,2025-04-23 05:30,35,1.39,59.0,84.0,132.0,običajni pretok,12.8
6790,2025-04-23 07:30,2025-04-23 06:30,35,1.39,59.0,84.0,132.0,običajni pretok,12.6
6790,2025-04-23 08:30,2025-04-23 07:30,35,1.39,59.0,84.0,132.0,običajni pretok,12.7
6790,2025-04-23 09:30,2025-04-23 08:30,36,1.48,59.0,84.0,132.0,običajni pretok,12.9
6790,2025-04-23 10:30,2025-04-23 09:30,36,1.48,59.0,84.0,132.0,običajni pretok,13.3
6790,2025-04-23 11:30,2025-04-23 10:30,36,1.48,59.0,84.0,132.0,običajni pretok,13.5
6790,2025-04-23 12:30,2025-04-23 11:30,36,1.48,59.0,84.0,132.0,običajni pretok,14.1
6790,2025-04-23 13:30,2025-04-23 12:30,36,1.48,59.0,84.0,132.0,običajni pretok,14.9
6790,2025-04-23 14:30,2025-04-23 13:30,36,1.48,59.0,84.0,132.0,običajni pretok,15.1
6790,2025-04-23 15:30,2025-04-23 14:30,35,1.39,59.0,84.0,132.0,običajni pretok,15.5
6790,2025-04-23 16:30,2025-04-23 15:30,35,1.39,59.0,84.0,132.0,običajni pretok,16.1
6790,2025-04-23 17:30,2025-04-23 16:30,34,1.31,59.0,84.0,132.0,običajni pretok,16.3
6790,2025-04-23 18:30,2025-04-23 17:30,35,1.39,59.0,84.0,132.0,običajni pretok,16.3
6790,2025-04-23 19:30,2025-04-23 18:30,35,1.39,59.0,84.0,132.0,običajni pretok,16.2
6790,2025-04-23 20:30,2025-04-23 19:30,35,1.39,59.0,84.0,132.0,običajni pretok,15.9
6790,2025-04-23 21:30,2025-04-23 20:30,35,1.39,59.0,84.0,132.0,običajni pretok,15.4
6790,2025-04-23 22:30,2025-04-23 21:30,35,1.39,59.0,84.0,132.0,običajni pretok,15.1
6790,2025-04-23 23:30,2025-04-23 22:30,35,1.39,59.0,84.0,132.0,običajni pretok,14.8
6790,2025-04-24 00:30,2025-04-23 23:30,35,1.39,59.0,84.0,132.0,običajni pretok,14.3
6790,2025-04-24 02:00,2025-04-24 01:00,35,1.39,59.0,84.0,132.0,običajni pretok,13.8
6790,2025-04-24 03:30,2025-04-24 02:30,35,1.39,59.0,84.0,132.0,običajni pretok,13.2
6790,2025-04-24 04:30,2025-04-24 03:30,34,1.31,59.0,84.0,132.0,običajni pretok,12.9
6790,2025-04-24 05:30,2025-04-24 04:30,35,1.39,59.0,84.0,132.0,običajni pretok,12.5
6790,2025-04-24 06:30,2025-04-24 05:30,34,1.31,59.0,84.0,132.0,običajni pretok,12.2
6790,2025-04-24 07:30,2025-04-24 06:30,35,1.39,59.0,84.0,132.0,običajni pretok,12.0
6790,2025-04-24 08:30,2025-04-24 07:30,35,1.39,59.0,84.0,132.0,običajni pretok,12.0
6790,2025-04-24 09:30,2025-04-24 08:30,36,1.48,59.0,84.0,132.0,običajni pretok,12.3
6790,2025-04-24 10:30,2025-04-24 09:30,36,1.48,59.0,84.0,132.0,običajni pretok,12.8
6790,2025-04-24 11:30,2025-04-24 10:30,36,1.48,59.0,84.0,132.0,običajni pretok,13.4
6790,2025-04-24 12:30,2025-04-24 11:30,35,1.39,59.0,84.0,132.0,običajni pretok,13.9
6790,2025-04-24 13:30,2025-04-24 12:30,35,1.39,59.0,84.0,132.0,običajni pretok,14.1
