sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
6790,2025-04-19 22:30,2025-04-19 21:30,38,1.67,59.0,84.0,132.0,običajni pretok,13.3
6790,2025-04-22 07:30,2025-04-22 06:30,36,1.48,59.0,84.0,132.0,običajni pretok,12.3
6790,2025-04-22 10:30,2025-04-22 09:30,37,1.57,59.0,84.0,132.0,običajni pretok,13.1
6790,2025-04-22 11:00,2025-04-22 10:00,37,1.57,59.0,84.0,132.0,običajni pretok,13.4
6790,2025-04-22 11:30,2025-04-22 10:30,36,1.48,59.0,84.0,132.0,običajni pretok,13.9
6790,2025-04-22 12:30,2025-04-22 11:30,36,1.48,59.0,84.0,132.0,običajni pretok,14.2
6790,2025-04-22 13:30,2025-04-22 12:30,36,1.48,59.0,84.0,132.0,običajni pretok,14.8
6790,2025-04-22 14:30,2025-04-22 13:30,36,1.48,59.0,84.0,132.0,običajni pretok,15.8
6790,2025-04-22 15:30,2025-04-22 14:30,36,1.48,59.0,84.0,132.0,običajni pretok,16.4
6790,2025-04-22 16:30,2025-04-22 15:30,35,1.39,59.0,84.0,132.0,običajni pretok,16.8
6790,2025-04-22 17:30,2025-04-22 16:30,36,1.48,59.0,84.0,132.0,običajni pretok,17.0
6790,2025-04-22 18:30,2025-04-22 17:30,35,1.39,59.0,84.0,132.0,običajni pretok,16.7
6790,2025-04-22 19:30,2025-04-22 18:30,35,1.39,59.0,84.0,132.0,običajni pretok,16.3
