sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
5940,2025-04-19 22:30,2025-04-19 21:30,131,0.351,8.2,10.9,12.7,običajni pretok,10.7
5940,2025-04-22 07:30,2025-04-22 06:30,128,0.19,8.2,10.9,12.7,mali pretok,10.0
5940,2025-04-22 10:30,2025-04-22 09:30,128,0.19,8.2,10.9,12.7,mali pretok,10.9
5940,2025-04-22 11:00,2025-04-22 10:00,128,0.19,8.2,10.9,12.7,mali pretok,11.3
5940,2025-04-22 11:30,2025-04-22 10:30,128,0.19,8.2,10.9,12.7,mali pretok,11.7
5940,2025-04-22 12:30,2025-04-22 11:30,128,0.19,8.2,10.9,12.7,mali pretok,12.9
5940,2025-04-22 13:30,2025-04-22 12:30,128,0.19,8.2,10.9,12.7,mali pretok,14.0
5940,2025-04-22 14:30,2025-04-22 13:30,128,0.19,8.2,10.9,12.7,mali pretok,14.7
5940,2025-04-22 15:30,2025-04-22 14:30,128,0.19,8.2,10.9,12.7,mali pretok,14.8
5940,2025-04-22 16:30,2025-04-22 15:30,128,0.19,8.2,10.9,12.7,mali pretok,14.6
5940,2025-04-22 17:30,2025-04-22 16:30,128,0.19,8.2,10.9,12.7,mali pretok,15.0
5940,2025-04-22 18:30,2025-04-22 17:30,128,0.19,8.2,10.9,12.7,mali pretok,14.8
5940,2025-04-22 19:30,2025-04-22 18:30,128,0.19,8.2,10.9,12.7,mali pretok,14.5
5940,2025-04-22 20:30,2025-04-22 19:30,128,0.19,8.2,10.9,12.7,mali pretok,13.9
5940,2025-04-22 21:30,2025-04-22 20:30,128,0.19,8.2,10.9,12.7,mali pretok,13.2
5940,2025-04-22 22:30,2025-04-22 21:30,128,0.19,8.2,10.9,12.7,mali pretok,12.7
5940,2025-04-22 23:30,2025-04-22 22:30,127,0.149,8.2,10.9,12.7,mali pretok,12.3
5940,2025-04-23 00:30,2025-04-22 23:30,127,0.149,8.2,10.9,12.7,mali pretok,11.9
5940,2025-04-23 02:00,2025-04-23 01:00,127,0.149,8.2,10.9,12.7,mali pretok,11.3
5940,2025-04-23 03:30,2025-04-23 02:30,127,0.149,8.2,10.9,12.7,mali pretok,10.8
5940,2025-04-23 04:30,2025-04-23 03:30,127,0.149,8.2,10.9,12.7,mali pretok,10.6
5940,2025-04-23 05:30,2025-04-23 04:30,127,0.149,8.2,10.9,12.7,mali pretok,10.3
5940,2025-04-23 06:30,2025-04-23 05:30,127,0.149,8.2,10.9,12.7,mali pretok,10.1
5940,2025-04-23 07:30,2025-04-23 06:30,128,0.19,8.2,10.9,12.7,mali pretok,10.0
5940,2025-04-23 08:30,2025-04-23 07:30,128,0.19,8.2,10.9,12.7,mali pretok,10.2
5940,2025-04-23 09:30,2025-04-23 08:30,128,0.19,8.2,10.9,12.7,mali pretok,10.4
5940,2025-04-23 10:30,2025-04-23 09:30,128,0.19,8.2,10.9,12.7,mali pretok,10.8
5940,2025-04-23 11:30,2025-04-23 10:30,128,0.19,8.2,10.9,12.7,mali pretok,11.1
5940,2025-04-23 12:30,2025-04-23 11:30,128,0.19,8.2,10.9,12.7,mali pretok,11.7
5940,2025-04-23 13:30,2025-04-23 12:30,128,0.19,8.2,10.9,12.7,mali pretok,12.3
5940,2025-04-23 14:30,2025-04-23 13:30,128,0.19,8.2,10.9,12.7,mali pretok,13.0
5940,2025-04-23 15:30,2025-04-23 14:30,128,0.19,8.2,10.9,12.7,mali pretok,14.0
5940,2025-04-23 16:30,2025-04-23 15:30,128,0.19,8.2,10.9,12.7,mali pretok,14.0
5940,2025-04-23 17:30,2025-04-23 16:30,127,0.149,8.2,10.9,12.7,mali pretok,13.8
5940,2025-04-23 18:30,2025-04-23 17:30,127,0.149,8.2,10.9,12.7,mali pretok,13.6
5940,2025-04-23 19:30,2025-04-23 18:30,127,0.149,8.2,10.9,12.7,mali pretok,13.3
5940,2025-04-23 20:30,2025-04-23 19:30,127,0.149,8.2,10.9,12.7,mali pretok,13.0
5940,2025-04-23 21:30,2025-04-23 20:30,127,0.149,8.2,10.9,12.7,mali pretok,12.5
5940,2025-04-23 22:30,2025-04-23 21:30,127,0.149,8.2,10.9,12.7,mali pretok,12.1
5940,2025-04-23 23:30,2025-04-23 22:30,127,0.149,8.2,10.9,12.7,mali pretok,11.7
5940,2025-04-24 00:30,2025-04-23 23:30,127,0.149,8.2,10.9,12.7,mali pretok,11.3
5940,2025-04-24 02:00,2025-04-24 01:00,127,0.149,8.2,10.9,12.7,mali pretok,10.7
5940,2025-04-24 03:30,2025-04-24 02:30,127,0.149,8.2,10.9,12.7,mali pretok,10.2
5940,2025-04-24 04:30,2025-04-24 03:30,127,0.149,8.2,10.9,12.7,mali pretok,10.0
5940,2025-04-24 05:30,2025-04-24 04:30,127,0.149,8.2,10.9,12.7,mali pretok,9.9
5940,2025-04-24 06:30,2025-04-24 05:30,127,0.149,8.2,10.9,12.7,mali pretok,9.7
5940,2025-04-24 07:30,2025-04-24 06:30,127,0.149,8.2,10.9,12.7,mali pretok,9.7
5940,2025-04-24 08:30,2025-04-24 07:30,127,0.149,8.2,10.9,12.7,mali pretok,9.8
5940,2025-04-24 09:30,2025-04-24 08:30,127,0.149,8.2,10.9,12.7,mali pretok,10.0
5940,2025-04-24 10:30,2025-04-24 09:30,127,0.149,8.2,10.9,12.7,mali pretok,10.1
5940,2025-04-24 11:30,2025-04-24 10:30,128,0.19,8.2,10.9,12.7,mali pretok,10.3
5940,2025-04-24 12:30,2025-04-24 11:30,128,0.19,8.2,10.9,12.7,mali pretok,10.6
5940,2025-04-24 13:30,2025-04-24 12:30,128,0.19,8.2,10.9,12.7,mali pretok,12.0
5940,2025-04-24 14:30,2025-04-24 13:30,128,0.19,8.2,10.9,12.7,mali pretok,13.0
5940,2025-04-24 15:30,2025-04-24 14:30,128,0.19,8.2,10.9,12.7,mali pretok,13.6
5940,2025-04-24 16:30,2025-04-24 15:30,128,0.19,8.2,10.9,12.7,mali pretok,13.6
5940,2025-04-24 17:30,2025-04-24 16:30,127,0.149,8.2,10.9,12.7,mali pretok,13.4
5940,2025-04-24 18:30,2025-04-24 17:30,127,0.149,8.2,10.9,12.7,mali pretok,13.1
5940,2025-04-24 19:30,2025-04-24 18:30,127,0.149,8.2,10.9,12.7,mali pretok,13.0
5940,2025-04-24 20:30,2025-04-24 19:30,127,0.149,8.2,10.9,12.7,mali pretok,12.7
