sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
3350,2025-04-19 22:30,2025-04-19 21:30,45,,,,,,12.4
3350,2025-04-22 07:30,2025-04-22 06:30,45,,,,,,12.7
3350,2025-04-22 10:30,2025-04-22 09:30,45,,,,,,12.9
3350,2025-04-22 11:00,2025-04-22 10:00,45,,,,,,12.9
3350,2025-04-22 11:30,2025-04-22 10:30,45,,,,,,13.0
3350,2025-04-22 12:30,2025-04-22 11:30,45,,,,,,13.8
3350,2025-04-22 13:30,2025-04-22 12:30,45,,,,,,13.8
3350,2025-04-22 14:30,2025-04-22 13:30,45,,,,,,13.9
3350,2025-04-22 15:30,2025-04-22 14:30,45,,,,,,14.0
3350,2025-04-22 16:30,2025-04-22 15:30,45,,,,,,14.0
3350,2025-04-22 17:30,2025-04-22 16:30,45,,,,,,13.9
3350,2025-04-22 18:30,2025-04-22 17:30,45,,,,,,13.6
3350,2025-04-22 19:30,2025-04-22 18:30,45,,,,,,13.3
3350,2025-04-22 20:30,2025-04-22 19:30,45,,,,,,13.3
3350,2025-04-22 21:30,2025-04-22 20:30,45,,,,,,13.8
3350,2025-04-22 22:30,2025-04-22 21:30,45,,,,,,14.0
3350,2025-04-22 23:30,2025-04-22 22:30,45,,,,,,13.9
