sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
7308,2025-04-19 22:30,2025-04-19 21:30,140,0.678,7.0,13.0,15.0,običajni pretok,11.5
7308,2025-04-22 07:30,2025-04-22 06:30,138,0.579,7.0,13.0,15.0,običajni pretok,12.2
7308,2025-04-22 10:30,2025-04-22 09:30,138,0.579,7.0,13.0,15.0,običajni pretok,12.2
7308,2025-04-22 11:00,2025-04-22 10:00,138,0.579,7.0,13.0,15.0,običajni pretok,12.2
7308,2025-04-22 11:30,2025-04-22 10:30,138,0.579,7.0,13.0,15.0,običajni pretok,12.2
7308,2025-04-22 12:30,2025-04-22 11:30,138,0.579,7.0,13.0,15.0,običajni pretok,12.2
7308,2025-04-22 13:30,2025-04-22 12:30,138,0.579,7.0,13.0,15.0,običajni pretok,12.2
7308,2025-04-22 14:30,2025-04-22 13:30,138,0.579,7.0,13.0,15.0,običajni pretok,12.2
7308,2025-04-22 15:30,2025-04-22 14:30,138,0.579,7.0,13.0,15.0,običajni pretok,12.2
7308,2025-04-22 16:30,2025-04-22 15:30,138,0.579,7.0,13.0,15.0,običajni pretok,12.3
7308,2025-04-22 17:30,2025-04-22 16:30,138,0.579,7.0,13.0,15.0,običajni pretok,12.3
7308,2025-04-22 18:30,2025-04-22 17:30,137,0.532,7.0,13.0,15.0,običajni pretok,12.3
7308,2025-04-22 19:30,2025-04-22 18:30,137,0.532,7.0,13.0,15.0,običajni pretok,12.3
7308,2025-04-22 20:30,2025-04-22 19:30,137,0.532,7.0,13.0,15.0,običajni pretok,12.4
7308,2025-04-22 21:30,2025-04-22 20:30,136,0.487,7.0,13.0,15.0,običajni pretok,12.4
7308,2025-04-22 22:30,2025-04-22 21:30,137,0.532,7.0,13.0,15.0,običajni pretok,12.4
7308,2025-04-22 23:30,2025-04-22 22:30,137,0.532,7.0,13.0,15.0,običajni pretok,12.5
