sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
4575,2025-04-19 22:30,2025-04-19 21:30,31.0,1.05,14.1,20.0,30.0,običajni pretok,12.6
4575,2025-04-22 07:30,2025-04-22 06:30,28.0,0.806,14.1,20.0,30.0,običajni pretok,12.8
4575,2025-04-22 10:30,2025-04-22 09:30,28.0,0.806,14.1,20.0,30.0,običajni pretok,13.1
4575,2025-04-22 11:00,2025-04-22 10:00,28.0,0.806,14.1,20.0,30.0,običajni pretok,13.2
4575,2025-04-22 11:30,2025-04-22 10:30,28.0,0.806,14.1,20.0,30.0,običajni pretok,13.3
4575,2025-04-22 12:30,2025-04-22 11:30,28.0,0.806,14.1,20.0,30.0,običajni pretok,13.9
4575,2025-04-22 13:30,2025-04-22 12:30,28.0,0.806,14.1,20.0,30.0,običajni pretok,14.8
4575,2025-04-22 14:30,2025-04-22 13:30,28.0,0.806,14.1,20.0,30.0,običajni pretok,15.2
4575,2025-04-22 15:30,2025-04-22 14:30,28.0,0.806,14.1,20.0,30.0,običajni pretok,15.9
4575,2025-04-22 16:30,2025-04-22 15:30,28.0,0.806,14.1,20.0,30.0,običajni pretok,15.9
4575,2025-04-22 17:30,2025-04-22 16:30,28.0,0.806,14.1,20.0,30.0,običajni pretok,15.8
4575,2025-04-22 18:30,2025-04-22 17:30,28.0,0.806,14.1,20.0,30.0,običajni pretok,15.8
4575,2025-04-22 19:30,2025-04-22 18:30,28.0,0.806,14.1,20.0,30.0,običajni pretok,15.8
4575,2025-04-22 20:30,2025-04-22 19:30,27.0,0.73,14.1,20.0,30.0,običajni pretok,15.8
4575,2025-04-22 21:30,2025-04-22 20:30,27.0,0.73,14.1,20.0,30.0,običajni pretok,15.7
4575,2025-04-22 22:30,2025-04-22 21:30,27.0,0.73,14.1,20.0,30.0,običajni pretok,15.5
4575,2025-04-22 23:30,2025-04-22 22:30,27.0,0.73,14.1,20.0,30.0,običajni pretok,15.2
4575,2025-04-23 00:30,2025-04-22 23:30,29.0,0.886,14.1,20.0,30.0,običajni pretok,15.0
4575,2025-04-23 02:00,2025-04-23 01:00,29.0,0.886,14.1,20.0,30.0,običajni pretok,14.6
4575,2025-04-23 03:30,2025-04-23 02:30,31.0,1.05,14.1,20.0,30.0,običajni pretok,14.2
4575,2025-04-23 04:30,2025-04-23 03:30,35.0,1.41,14.1,20.0,30.0,običajni pretok,14.0
4575,2025-04-23 05:30,2025-04-23 04:30,36.0,1.51,14.1,20.0,30.0,običajni pretok,13.8
4575,2025-04-23 06:30,2025-04-23 05:30,35.0,1.41,14.1,20.0,30.0,običajni pretok,13.6
4575,2025-04-23 07:30,2025-04-23 06:30,34.0,1.32,14.1,20.0,30.0,običajni pretok,13.4
4575,2025-04-23 08:30,2025-04-23 07:30,32.0,1.14,14.1,20.0,30.0,običajni pretok,13.2
4575,2025-04-23 09:30,2025-04-23 08:30,31.0,1.05,14.1,20.0,30.0,običajni pretok,13.1
4575,2025-04-23 10:30,2025-04-23 09:30,31.0,1.05,14.1,20.0,30.0,običajni pretok,13.1
4575,2025-04-23 11:30,2025-04-23 10:30,31.0,1.05,14.1,20.0,30.0,običajni pretok,13.2
4575,2025-04-23 12:30,2025-04-23 11:30,30.0,0.968,14.1,20.0,30.0,običajni pretok,13.2
4575,2025-04-23 13:30,2025-04-23 12:30,30.0,0.968,14.1,20.0,30.0,običajni pretok,13.5
4575,2025-04-23 14:30,2025-04-23 13:30,30.0,0.968,14.1,20.0,30.0,običajni pretok,13.9
4575,2025-04-23 15:30,2025-04-23 14:30,30.0,0.968,14.1,20.0,30.0,običajni pretok,14.3
4575,2025-04-23 16:30,2025-04-23 15:30,30.0,0.968,14.1,20.0,30.0,običajni pretok,14.8
4575,2025-04-23 17:30,2025-04-23 16:30,30.0,0.968,14.1,20.0,30.0,običajni pretok,14.9
4575,2025-04-23 18:30,2025-04-23 17:30,29.0,0.886,14.1,20.0,30.0,običajni pretok,14.8
4575,2025-04-23 19:30,2025-04-23 18:30,29.0,0.886,14.1,20.0,30.0,običajni pretok,14.6
