sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
4570,2025-04-19 22:30,2025-04-19 21:30,86,1.82,55.0,58.0,65.0,običajni pretok,12.4
4570,2025-04-22 07:30,2025-04-22 06:30,78,1.02,55.0,58.0,65.0,običajni pretok,12.4
4570,2025-04-22 10:30,2025-04-22 09:30,78,1.02,55.0,58.0,65.0,običajni pretok,12.7
4570,2025-04-22 11:00,2025-04-22 10:00,78,1.02,55.0,58.0,65.0,običajni pretok,12.7
4570,2025-04-22 11:30,2025-04-22 10:30,78,1.02,55.0,58.0,65.0,običajni pretok,12.7
4570,2025-04-22 12:30,2025-04-22 11:30,78,1.02,55.0,58.0,65.0,običajni pretok,13.5
4570,2025-04-22 13:30,2025-04-22 12:30,78,1.02,55.0,58.0,65.0,običajni pretok,13.9
4570,2025-04-22 14:30,2025-04-22 13:30,78,1.02,55.0,58.0,65.0,običajni pretok,14.4
4570,2025-04-22 15:30,2025-04-22 14:30,78,1.02,55.0,58.0,65.0,običajni pretok,15.1
4570,2025-04-22 16:30,2025-04-22 15:30,78,1.02,55.0,58.0,65.0,običajni pretok,15.4
4570,2025-04-22 17:30,2025-04-22 16:30,77,0.932,55.0,58.0,65.0,običajni pretok,15.7
4570,2025-04-22 18:30,2025-04-22 17:30,77,0.932,55.0,58.0,65.0,običajni pretok,15.9
4570,2025-04-22 19:30,2025-04-22 18:30,77,0.932,55.0,58.0,65.0,običajni pretok,15.9
4570,2025-04-22 20:30,2025-04-22 19:30,77,0.932,55.0,58.0,65.0,običajni pretok,15.5
4570,2025-04-22 21:30,2025-04-22 20:30,77,0.932,55.0,58.0,65.0,običajni pretok,15.2
4570,2025-04-22 22:30,2025-04-22 21:30,77,0.932,55.0,58.0,65.0,običajni pretok,14.9
4570,2025-04-22 23:30,2025-04-22 22:30,77,0.932,55.0,58.0,65.0,običajni pretok,14.7
4570,2025-04-23 00:30,2025-04-22 23:30,78,1.02,55.0,58.0,65.0,običajni pretok,14.5
4570,2025-04-23 02:00,2025-04-23 01:00,86,1.82,55.0,58.0,65.0,običajni pretok,14.2
4570,2025-04-23 03:30,2025-04-23 02:30,96,3.06,55.0,58.0,65.0,običajni pretok,14.0
4570,2025-04-23 04:30,2025-04-23 03:30,100,3.58,55.0,58.0,65.0,običajni pretok,13.7
4570,2025-04-23 05:30,2025-04-23 04:30,97,3.19,55.0,58.0,65.0,običajni pretok,13.4
4570,2025-04-23 06:30,2025-04-23 05:30,93,2.67,55.0,58.0,65.0,običajni pretok,13.0
4570,2025-04-23 07:30,2025-04-23 06:30,90,2.29,55.0,58.0,65.0,običajni pretok,12.7
4570,2025-04-23 08:30,2025-04-23 07:30,87,1.94,55.0,58.0,65.0,običajni pretok,12.6
4570,2025-04-23 09:30,2025-04-23 08:30,86,1.82,55.0,58.0,65.0,običajni pretok,12.7
4570,2025-04-23 10:30,2025-04-23 09:30,85,1.71,55.0,58.0,65.0,običajni pretok,12.7
4570,2025-04-23 11:30,2025-04-23 10:30,84,1.61,55.0,58.0,65.0,običajni pretok,12.8
4570,2025-04-23 12:30,2025-04-23 11:30,83,1.5,55.0,58.0,65.0,običajni pretok,12.9
4570,2025-04-23 13:30,2025-04-23 12:30,82,1.4,55.0,58.0,65.0,običajni pretok,13.2
4570,2025-04-23 14:30,2025-04-23 13:30,82,1.4,55.0,58.0,65.0,običajni pretok,13.5
4570,2025-04-23 15:30,2025-04-23 14:30,81,1.3,55.0,58.0,65.0,običajni pretok,13.9
4570,2025-04-23 16:30,2025-04-23 15:30,81,1.3,55.0,58.0,65.0,običajni pretok,14.1
4570,2025-04-23 17:30,2025-04-23 16:30,81,1.3,55.0,58.0,65.0,običajni pretok,14.4
4570,2025-04-23 18:30,2025-04-23 17:30,80,1.2,55.0,58.0,65.0,običajni pretok,14.5
4570,2025-04-23 19:30,2025-04-23 18:30,80,1.2,55.0,58.0,65.0,običajni pretok,14.4
4570,2025-04-23 20:30,2025-04-23 19:30,80,1.2,55.0,58.0,65.0,običajni pretok,14.3
4570,2025-04-23 21:30,2025-04-23 20:30,80,1.2,55.0,58.0,65.0,običajni pretok,14.0
4570,2025-04-23 22:30,2025-04-23 21:30,79,1.11,55.0,58.0,65.0,običajni pretok,13.8
4570,2025-04-23 23:30,2025-04-23 22:30,79,1.11,55.0,58.0,65.0,običajni pretok,13.5
4570,2025-04-24 00:30,2025-04-23 23:30,79,1.11,55.0,58.0,65.0,običajni pretok,13.3
4570,2025-04-24 02:00,2025-04-24 01:00,79,1.11,55.0,58.0,65.0,običajni pretok,13.1
4570,2025-04-24 03:30,2025-04-24 02:30,78,1.02,55.0,58.0,65.0,običajni pretok,12.8
4570,2025-04-24 04:30,2025-04-24 03:30,79,1.11,55.0,58.0,65.0,običajni pretok,12.6
4570,2025-04-24 05:30,2025-04-24 04:30,79,1.11,55.0,58.0,65.0,običajni pretok,12.4
4570,2025-04-24 06:30,2025-04-24 05:30,79,1.11,55.0,58.0,65.0,običajni pretok,12.2
