sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
8601,2025-04-19 22:30,2025-04-19 21:30,141,24.4,190.0,280.0,400.0,običajni pretok,11.2
8601,2025-04-22 07:30,2025-04-22 06:30,116,12.8,190.0,280.0,400.0,običajni pretok,12.2
8601,2025-04-22 10:30,2025-04-22 09:30,116,12.8,190.0,280.0,400.0,običajni pretok,12.4
8601,2025-04-22 11:00,2025-04-22 10:00,116,12.8,190.0,280.0,400.0,običajni pretok,12.5
8601,2025-04-22 11:30,2025-04-22 10:30,116,12.8,190.0,280.0,400.0,običajni pretok,12.6
8601,2025-04-22 12:30,2025-04-22 11:30,115,12.3,190.0,280.0,400.0,običajni pretok,12.8
8601,2025-04-22 13:30,2025-04-22 12:30,115,12.3,190.0,280.0,400.0,običajni pretok,13.1
8601,2025-04-22 14:30,2025-04-22 13:30,115,12.3,190.0,280.0,400.0,običajni pretok,13.3
8601,2025-04-22 15:30,2025-04-22 14:30,115,12.3,190.0,280.0,400.0,običajni pretok,13.3
8601,2025-04-22 16:30,2025-04-22 15:30,115,12.3,190.0,280.0,400.0,običajni pretok,13.3
8601,2025-04-22 17:30,2025-04-22 16:30,114,11.9,190.0,280.0,400.0,običajni pretok,13.3
8601,2025-04-22 18:30,2025-04-22 17:30,114,11.9,190.0,280.0,400.0,običajni pretok,13.3
8601,2025-04-22 19:30,2025-04-22 18:30,114,11.9,190.0,280.0,400.0,običajni pretok,13.2
8601,2025-04-22 20:30,2025-04-22 19:30,114,11.9,190.0,280.0,400.0,običajni pretok,13.2
8601,2025-04-22 21:30,2025-04-22 20:30,114,11.9,190.0,280.0,400.0,običajni pretok,13.1
8601,2025-04-22 22:30,2025-04-22 21:30,114,11.9,190.0,280.0,400.0,običajni pretok,13.1
8601,2025-04-22 23:30,2025-04-22 22:30,113,11.5,190.0,280.0,400.0,običajni pretok,13.0
8601,2025-04-23 00:30,2025-04-22 23:30,113,11.5,190.0,280.0,400.0,običajni pretok,13.0
8601,2025-04-23 02:00,2025-04-23 01:00,113,11.5,190.0,280.0,400.0,običajni pretok,13.0
8601,2025-04-23 03:30,2025-04-23 02:30,113,11.5,190.0,280.0,400.0,običajni pretok,13.0
8601,2025-04-23 04:30,2025-04-23 03:30,113,11.5,190.0,280.0,400.0,običajni pretok,13.0
8601,2025-04-23 05:30,2025-04-23 04:30,112,11.1,190.0,280.0,400.0,običajni pretok,13.0
8601,2025-04-23 06:30,2025-04-23 05:30,112,11.1,190.0,280.0,400.0,običajni pretok,13.1
