sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
5800,2025-04-19 22:30,2025-04-19 21:30,175,4.05,17.0,38.0,55.0,običajni pretok,10.6
5800,2025-04-22 07:30,2025-04-22 06:30,162,3.25,17.0,38.0,55.0,običajni pretok,10.1
5800,2025-04-22 10:30,2025-04-22 09:30,161,3.15,17.0,38.0,55.0,običajni pretok,9.8
5800,2025-04-22 11:00,2025-04-22 10:00,161,3.15,17.0,38.0,55.0,običajni pretok,9.8
5800,2025-04-22 11:30,2025-04-22 10:30,161,3.15,17.0,38.0,55.0,običajni pretok,9.8
5800,2025-04-22 12:30,2025-04-22 11:30,160,3.15,17.0,38.0,55.0,običajni pretok,9.9
5800,2025-04-22 13:30,2025-04-22 12:30,160,3.15,17.0,38.0,55.0,običajni pretok,10.0
5800,2025-04-22 14:30,2025-04-22 13:30,159,3.15,17.0,38.0,55.0,običajni pretok,10.3
5800,2025-04-22 15:30,2025-04-22 14:30,159,3.2,17.0,38.0,55.0,običajni pretok,10.6
5800,2025-04-22 16:30,2025-04-22 15:30,160,3.2,17.0,38.0,55.0,običajni pretok,10.8
5800,2025-04-22 17:30,2025-04-22 16:30,160,3.2,17.0,38.0,55.0,običajni pretok,11.0
5800,2025-04-22 18:30,2025-04-22 17:30,161,3.3,17.0,38.0,55.0,običajni pretok,11.1
