sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
4222,2025-04-19 22:30,2025-04-19 21:30,85,2.0,98.0,130.0,162.0,običajni pretok,9.6
4222,2025-04-22 07:30,2025-04-22 06:30,80,1.15,98.0,130.0,162.0,običajni pretok,9.8
4222,2025-04-22 10:30,2025-04-22 09:30,80,1.15,98.0,130.0,162.0,običajni pretok,9.6
4222,2025-04-22 11:00,2025-04-22 10:00,81,1.31,98.0,130.0,162.0,običajni pretok,9.6
4222,2025-04-22 11:30,2025-04-22 10:30,81,1.31,98.0,130.0,162.0,običajni pretok,9.6
4222,2025-04-22 12:30,2025-04-22 11:30,81,1.31,98.0,130.0,162.0,običajni pretok,9.6
4222,2025-04-22 13:30,2025-04-22 12:30,81,1.31,98.0,130.0,162.0,običajni pretok,9.6
4222,2025-04-22 14:30,2025-04-22 13:30,81,1.31,98.0,130.0,162.0,običajni pretok,9.7
4222,2025-04-22 15:30,2025-04-22 14:30,81,1.31,98.0,130.0,162.0,običajni pretok,9.8
4222,2025-04-22 16:30,2025-04-22 15:30,80,1.15,98.0,130.0,162.0,običajni pretok,9.9
4222,2025-04-22 17:30,2025-04-22 16:30,80,1.15,98.0,130.0,162.0,običajni pretok,10.0
4222,2025-04-22 18:30,2025-04-22 17:30,80,1.15,98.0,130.0,162.0,običajni pretok,10.1
4222,2025-04-22 19:30,2025-04-22 18:30,80,1.15,98.0,130.0,162.0,običajni pretok,10.1
4222,2025-04-22 20:30,2025-04-22 19:30,80,1.15,98.0,130.0,162.0,običajni pretok,10.2
4222,2025-04-22 21:30,2025-04-22 20:30,80,1.15,98.0,130.0,162.0,običajni pretok,10.4
4222,2025-04-22 22:30,2025-04-22 21:30,80,1.15,98.0,130.0,162.0,običajni pretok,10.4
4222,2025-04-22 23:30,2025-04-22 22:30,80,1.15,98.0,130.0,162.0,običajni pretok,10.4
4222,2025-04-23 00:30,2025-04-22 23:30,80,1.15,98.0,130.0,162.0,običajni pretok,10.4
4222,2025-04-23 02:00,2025-04-23 01:00,80,1.15,98.0,130.0,162.0,običajni pretok,10.4
4222,2025-04-23 03:30,2025-04-23 02:30,79,0.998,98.0,130.0,162.0,običajni pretok,10.2
4222,2025-04-23 04:30,2025-04-23 03:30,79,0.998,98.0,130.0,162.0,običajni pretok,10.2
