sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
3725,2025-04-19 22:30,2025-04-19 21:30,341,290,1000.0,1600.0,2061.0,običajni pretok,11.5
3725,2025-04-22 07:30,2025-04-22 06:30,295,197,1000.0,1600.0,2061.0,običajni pretok,12.1
3725,2025-04-22 10:30,2025-04-22 09:30,298,202,1000.0,1600.0,2061.0,običajni pretok,12.1
3725,2025-04-22 11:00,2025-04-22 10:00,299,204,1000.0,1600.0,2061.0,običajni pretok,12.1
3725,2025-04-22 11:30,2025-04-22 10:30,298,202,1000.0,1600.0,2061.0,običajni pretok,12.1
3725,2025-04-22 12:30,2025-04-22 11:30,298,202,1000.0,1600.0,2061.0,običajni pretok,12.2
3725,2025-04-22 13:30,2025-04-22 12:30,298,202,1000.0,1600.0,2061.0,običajni pretok,12.4
3725,2025-04-22 14:30,2025-04-22 13:30,296,199,1000.0,1600.0,2061.0,običajni pretok,12.7
3725,2025-04-22 15:30,2025-04-22 14:30,295,197,1000.0,1600.0,2061.0,običajni pretok,12.8
3725,2025-04-22 16:30,2025-04-22 15:30,294,195,1000.0,1600.0,2061.0,običajni pretok,13.1
3725,2025-04-22 17:30,2025-04-22 16:30,294,195,1000.0,1600.0,2061.0,običajni pretok,13.2
3725,2025-04-22 18:30,2025-04-22 17:30,294,195,1000.0,1600.0,2061.0,običajni pretok,13.3
3725,2025-04-22 19:30,2025-04-22 18:30,294,195,1000.0,1600.0,2061.0,običajni pretok,13.4
3725,2025-04-22 20:30,2025-04-22 19:30,294,195,1000.0,1600.0,2061.0,običajni pretok,13.4
3725,2025-04-22 21:30,2025-04-22 20:30,294,195,1000.0,1600.0,2061.0,običajni pretok,13.3
3725,2025-04-22 22:30,2025-04-22 21:30,294,195,1000.0,1600.0,2061.0,običajni pretok,13.3
3725,2025-04-22 23:30,2025-04-22 22:30,295,197,1000.0,1600.0,2061.0,običajni pretok,13.1
3725,2025-04-23 00:30,2025-04-22 23:30,296,199,1000.0,1600.0,2061.0,običajni pretok,13.1
3725,2025-04-23 02:00,2025-04-23 01:00,295,197,1000.0,1600.0,2061.0,običajni pretok,12.9
3725,2025-04-23 03:30,2025-04-23 02:30,297,201,1000.0,1600.0,2061.0,običajni pretok,12.8
3725,2025-04-23 04:30,2025-04-23 03:30,297,201,1000.0,1600.0,2061.0,običajni pretok,12.6
3725,2025-04-23 05:30,2025-04-23 04:30,296,199,1000.0,1600.0,2061.0,običajni pretok,12.6
3725,2025-04-23 06:30,2025-04-23 05:30,294,195,1000.0,1600.0,2061.0,običajni pretok,12.5
3725,2025-04-23 07:30,2025-04-23 06:30,293,193,1000.0,1600.0,2061.0,običajni pretok,12.5
3725,2025-04-23 08:30,2025-04-23 07:30,293,193,1000.0,1600.0,2061.0,običajni pretok,12.4
3725,2025-04-23 09:30,2025-04-23 08:30,291,190,1000.0,1600.0,2061.0,običajni pretok,12.4
3725,2025-04-23 10:30,2025-04-23 09:30,291,190,1000.0,1600.0,2061.0,običajni pretok,12.4
3725,2025-04-23 11:30,2025-04-23 10:30,290,188,1000.0,1600.0,2061.0,običajni pretok,12.4
3725,2025-04-23 12:30,2025-04-23 11:30,290,188,1000.0,1600.0,2061.0,običajni pretok,12.5
3725,2025-04-23 13:30,2025-04-23 12:30,291,190,1000.0,1600.0,2061.0,običajni pretok,12.4
3725,2025-04-23 14:30,2025-04-23 13:30,292,191,1000.0,1600.0,2061.0,običajni pretok,12.4
3725,2025-04-23 15:30,2025-04-23 14:30,292,191,1000.0,1600.0,2061.0,običajni pretok,12.6
3725,2025-04-23 16:30,2025-04-23 15:30,292,191,1000.0,1600.0,2061.0,običajni pretok,12.7
3725,2025-04-23 17:30,2025-04-23 16:30,290,188,1000.0,1600.0,2061.0,običajni pretok,12.7
3725,2025-04-23 18:30,2025-04-23 17:30,290,188,1000.0,1600.0,2061.0,običajni pretok,12.8
3725,2025-04-23 19:30,2025-04-23 18:30,289,186,1000.0,1600.0,2061.0,običajni pretok,12.9
3725,2025-04-23 20:30,2025-04-23 19:30,289,186,1000.0,1600.0,2061.0,običajni pretok,13.0
3725,2025-04-23 21:30,2025-04-23 20:30,289,186,1000.0,1600.0,2061.0,običajni pretok,13.0
3725,2025-04-23 22:30,2025-04-23 21:30,289,186,1000.0,1600.0,2061.0,običajni pretok,13.0
3725,2025-04-23 23:30,2025-04-23 22:30,289,186,1000.0,1600.0,2061.0,običajni pretok,13.0
3725,2025-04-24 00:30,2025-04-23 23:30,289,186,1000.0,1600.0,2061.0,običajni pretok,13.0
3725,2025-04-24 02:00,2025-04-24 01:00,289,186,1000.0,1600.0,2061.0,običajni pretok,12.9
3725,2025-04-24 03:30,2025-04-24 02:30,288,184,1000.0,1600.0,2061.0,običajni pretok,12.7
3725,2025-04-24 04:30,2025-04-24 03:30,288,184,1000.0,1600.0,2061.0,običajni pretok,12.6
3725,2025-04-24 05:30,2025-04-24 04:30,287,182,1000.0,1600.0,2061.0,običajni pretok,12.5
3725,2025-04-24 06:30,2025-04-24 05:30,284,177,1000.0,1600.0,2061.0,običajni pretok,12.4
3725,2025-04-24 07:30,2025-04-24 06:30,283,175,1000.0,1600.0,2061.0,običajni pretok,12.3
3725,2025-04-24 08:30,2025-04-24 07:30,285,179,1000.0,1600.0,2061.0,običajni pretok,12.3
3725,2025-04-24 09:30,2025-04-24 08:30,288,184,1000.0,1600.0,2061.0,običajni pretok,12.2
3725,2025-04-24 10:30,2025-04-24 09:30,289,186,1000.0,1600.0,2061.0,običajni pretok,12.2
3725,2025-04-24 11:30,2025-04-24 10:30,289,186,1000.0,1600.0,2061.0,običajni pretok,12.3
3725,2025-04-24 12:30,2025-04-24 11:30,289,186,1000.0,1600.0,2061.0,običajni pretok,12.5
3725,2025-04-24 13:30,2025-04-24 12:30,290,188,1000.0,1600.0,2061.0,običajni pretok,12.4
3725,2025-04-24 14:30,2025-04-24 13:30,291,190,1000.0,1600.0,2061.0,običajni pretok,12.4
3725,2025-04-24 15:30,2025-04-24 14:30,291,190,1000.0,1600.0,2061.0,običajni pretok,12.5
3725,2025-04-24 16:30,2025-04-24 15:30,291,190,1000.0,1600.0,2061.0,običajni pretok,12.6
3725,2025-04-24 17:30,2025-04-24 16:30,292,191,1000.0,1600.0,2061.0,običajni pretok,12.8
3725,2025-04-24 18:30,2025-04-24 17:30,291,190,1000.0,1600.0,2061.0,običajni pretok,12.9
3725,2025-04-24 19:30,2025-04-24 18:30,289,186,1000.0,1600.0,2061.0,običajni pretok,12.8
3725,2025-04-24 20:30,2025-04-24 19:30,287,182,1000.0,1600.0,2061.0,običajni pretok,12.8
3725,2025-04-24 21:30,2025-04-24 20:30,286,181,1000.0,1600.0,2061.0,običajni pretok,12.8
3725,2025-04-24 22:30,2025-04-24 21:30,286,181,1000.0,1600.0,2061.0,običajni pretok,12.8
3725,2025-04-24 23:30,2025-04-24 22:30,286,181,1000.0,1600.0,2061.0,običajni pretok,12.9
3725,2025-04-25 00:30,2025-04-24 23:30,286,181,1000.0,1600.0,2061.0,običajni pretok,12.9
3725,2025-04-25 02:00,2025-04-25 01:00,286,181,1000.0,1600.0,2061.0,običajni pretok,12.9
3725,2025-04-25 03:30,2025-04-25 02:30,284,177,1000.0,1600.0,2061.0,običajni pretok,12.8
3725,2025-04-25 04:30,2025-04-25 03:30,283,175,1000.0,1600.0,2061.0,običajni pretok,12.7
3725,2025-04-25 05:30,2025-04-25 04:30,281,172,1000.0,1600.0,2061.0,običajni pretok,12.7
3725,2025-04-25 06:30,2025-04-25 05:30,282,174,1000.0,1600.0,2061.0,običajni pretok,12.6
3725,2025-04-25 07:30,2025-04-25 06:30,282,174,1000.0,1600.0,2061.0,običajni pretok,12.5
3725,2025-04-25 08:30,2025-04-25 07:30,282,174,1000.0,1600.0,2061.0,običajni pretok,12.4
3725,2025-04-25 09:30,2025-04-25 08:30,283,175,1000.0,1600.0,2061.0,običajni pretok,12.4
3725,2025-04-25 10:30,2025-04-25 09:30,284,177,1000.0,1600.0,2061.0,običajni pretok,12.3
3725,2025-04-25 11:30,2025-04-25 10:30,287,182,1000.0,1600.0,2061.0,običajni pretok,12.3
3725,2025-04-25 12:30,2025-04-25 11:30,291,190,1000.0,1600.0,2061.0,običajni pretok,12.3
3725,2025-04-25 13:30,2025-04-25 12:30,296,199,1000.0,1600.0,2061.0,običajni pretok,12.3
3725,2025-04-25 14:30,2025-04-25 13:30,302,210,1000.0,1600.0,2061.0,običajni pretok,12.2
3725,2025-04-25 15:30,2025-04-25 14:30,306,218,1000.0,1600.0,2061.0,običajni pretok,12.2
3725,2025-04-25 16:30,2025-04-25 15:30,308,222,1000.0,1600.0,2061.0,običajni pretok,12.2
3725,2025-04-25 17:30,2025-04-25 16:30,310,225,1000.0,1600.0,2061.0,običajni pretok,12.2
3725,2025-04-25 18:30,2025-04-25 17:30,313,231,1000.0,1600.0,2061.0,običajni pretok,12.2
3725,2025-04-25 19:30,2025-04-25 18:30,315,235,1000.0,1600.0,2061.0,običajni pretok,12.2
3725,2025-04-25 20:30,2025-04-25 19:30,317,239,1000.0,1600.0,2061.0,običajni pretok,12.2
3725,2025-04-25 21:30,2025-04-25 20:30,319,243,1000.0,1600.0,2061.0,običajni pretok,12.2
3725,2025-04-25 22:30,2025-04-25 21:30,319,243,1000.0,1600.0,2061.0,običajni pretok,12.2
3725,2025-04-25 23:30,2025-04-25 22:30,318,241,1000.0,1600.0,2061.0,običajni pretok,12.1
3725,2025-04-26 00:30,2025-04-25 23:30,318,241,1000.0,1600.0,2061.0,običajni pretok,12.1
3725,2025-04-26 02:00,2025-04-26 01:00,316,237,1000.0,1600.0,2061.0,običajni pretok,12.0
3725,2025-04-26 03:30,2025-04-26 02:30,314,233,1000.0,1600.0,2061.0,običajni pretok,12.0
3725,2025-04-26 04:30,2025-04-26 03:30,313,231,1000.0,1600.0,2061.0,običajni pretok,12.0
3725,2025-04-26 05:30,2025-04-26 04:30,312,229,1000.0,1600.0,2061.0,običajni pretok,11.9
3725,2025-04-26 06:30,2025-04-26 05:30,310,225,1000.0,1600.0,2061.0,običajni pretok,11.9
3725,2025-04-26 07:30,2025-04-26 06:30,312,229,1000.0,1600.0,2061.0,običajni pretok,11.8
3725,2025-04-26 08:30,2025-04-26 07:30,313,231,1000.0,1600.0,2061.0,običajni pretok,11.8
3725,2025-04-26 09:30,2025-04-26 08:30,315,235,1000.0,1600.0,2061.0,običajni pretok,11.8
3725,2025-04-26 10:30,2025-04-26 09:30,315,235,1000.0,1600.0,2061.0,običajni pretok,11.8
3725,2025-04-26 11:30,2025-04-26 10:30,315,235,1000.0,1600.0,2061.0,običajni pretok,11.7
3725,2025-04-26 12:30,2025-04-26 11:30,314,233,1000.0,1600.0,2061.0,običajni pretok,11.7
3725,2025-04-26 13:30,2025-04-26 12:30,313,231,1000.0,1600.0,2061.0,običajni pretok,11.8
3725,2025-04-26 14:30,2025-04-26 13:30,312,229,1000.0,1600.0,2061.0,običajni pretok,11.8
3725,2025-04-26 15:30,2025-04-26 14:30,310,225,1000.0,1600.0,2061.0,običajni pretok,11.8
3725,2025-04-26 16:30,2025-04-26 15:30,306,218,1000.0,1600.0,2061.0,običajni pretok,11.8
3725,2025-04-26 17:30,2025-04-26 16:30,304,214,1000.0,1600.0,2061.0,običajni pretok,11.8
3725,2025-04-26 18:30,2025-04-26 17:30,303,212,1000.0,1600.0,2061.0,običajni pretok,11.8
3725,2025-04-26 19:30,2025-04-26 18:30,302,210,1000.0,1600.0,2061.0,običajni pretok,11.8
3725,2025-04-26 20:30,2025-04-26 19:30,303,212,1000.0,1600.0,2061.0,običajni pretok,11.8
3725,2025-04-26 21:30,2025-04-26 20:30,303,212,1000.0,1600.0,2061.0,običajni pretok,11.9
3725,2025-04-26 22:30,2025-04-26 21:30,303,212,1000.0,1600.0,2061.0,običajni pretok,11.9
3725,2025-04-26 23:30,2025-04-26 22:30,302,210,1000.0,1600.0,2061.0,običajni pretok,11.8
3725,2025-04-27 00:30,2025-04-26 23:30,303,212,1000.0,1600.0,2061.0,običajni pretok,11.8
3725,2025-04-27 02:00,2025-04-27 01:00,303,212,1000.0,1600.0,2061.0,običajni pretok,11.8
3725,2025-04-27 04:00,2025-04-27 03:00,297,201,1000.0,1600.0,2061.0,običajni pretok,11.7
3725,2025-04-27 04:30,2025-04-27 03:30,296,199,1000.0,1600.0,2061.0,običajni pretok,11.7
3725,2025-04-27 05:30,2025-04-27 04:30,294,195,1000.0,1600.0,2061.0,običajni pretok,11.6
3725,2025-04-27 06:30,2025-04-27 05:30,293,193,1000.0,1600.0,2061.0,običajni pretok,11.5
3725,2025-04-27 07:30,2025-04-27 06:30,292,191,1000.0,1600.0,2061.0,običajni pretok,11.5
