sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
2620,2025-04-19 22:30,2025-04-19 21:30,145.0,2.37,30.0,56.0,69.0,običajni pretok,12.8
2620,2025-04-22 07:30,2025-04-22 06:30,143.0,2.11,30.0,56.0,69.0,običajni pretok,13.0
2620,2025-04-22 10:30,2025-04-22 09:30,143.0,2.11,30.0,56.0,69.0,običajni pretok,12.6
2620,2025-04-22 11:00,2025-04-22 10:00,143.0,2.11,30.0,56.0,69.0,običajni pretok,12.6
2620,2025-04-22 11:30,2025-04-22 10:30,143.0,2.11,30.0,56.0,69.0,običajni pretok,12.6
2620,2025-04-22 12:30,2025-04-22 11:30,143.0,2.11,30.0,56.0,69.0,običajni pretok,12.6
2620,2025-04-22 13:30,2025-04-22 12:30,143.0,2.11,30.0,56.0,69.0,običajni pretok,12.7
2620,2025-04-22 14:30,2025-04-22 13:30,143.0,2.11,30.0,56.0,69.0,običajni pretok,12.8
2620,2025-04-22 15:30,2025-04-22 14:30,143.0,2.11,30.0,56.0,69.0,običajni pretok,13.0
2620,2025-04-22 16:30,2025-04-22 15:30,143.0,2.11,30.0,56.0,69.0,običajni pretok,13.2
2620,2025-04-22 17:30,2025-04-22 16:30,142.0,1.98,30.0,56.0,69.0,običajni pretok,13.5
2620,2025-04-22 18:30,2025-04-22 17:30,,,30.0,56.0,69.0,,
2620,2025-04-22 19:30,2025-04-22 18:30,143.0,2.11,30.0,56.0,69.0,običajni pretok,13.9
2620,2025-04-22 20:30,2025-04-22 19:30,142.0,1.98,30.0,56.0,69.0,običajni pretok,14.1
2620,2025-04-22 21:30,2025-04-22 20:30,142.0,1.98,30.0,56.0,69.0,običajni pretok,14.1
2620,2025-04-22 22:30,2025-04-22 21:30,142.0,1.98,30.0,56.0,69.0,običajni pretok,14.2
2620,2025-04-22 23:30,2025-04-22 22:30,142.0,1.98,30.0,56.0,69.0,običajni pretok,14.1
2620,2025-04-23 00:30,2025-04-22 23:30,142.0,1.98,30.0,56.0,69.0,običajni pretok,14.1
2620,2025-04-23 02:00,2025-04-23 01:00,143.0,2.11,30.0,56.0,69.0,običajni pretok,14.0
2620,2025-04-23 03:30,2025-04-23 02:30,142.0,1.98,30.0,56.0,69.0,običajni pretok,13.8
2620,2025-04-23 04:30,2025-04-23 03:30,142.0,1.98,30.0,56.0,69.0,običajni pretok,13.7
2620,2025-04-23 05:30,2025-04-23 04:30,143.0,2.11,30.0,56.0,69.0,običajni pretok,13.5
2620,2025-04-23 06:30,2025-04-23 05:30,143.0,2.11,30.0,56.0,69.0,običajni pretok,13.3
2620,2025-04-23 07:30,2025-04-23 06:30,143.0,2.11,30.0,56.0,69.0,običajni pretok,13.1
2620,2025-04-23 08:30,2025-04-23 07:30,142.0,1.98,30.0,56.0,69.0,običajni pretok,13.0
2620,2025-04-23 09:30,2025-04-23 08:30,143.0,2.11,30.0,56.0,69.0,običajni pretok,12.8
2620,2025-04-23 10:30,2025-04-23 09:30,143.0,2.11,30.0,56.0,69.0,običajni pretok,12.7
2620,2025-04-23 11:30,2025-04-23 10:30,143.0,2.11,30.0,56.0,69.0,običajni pretok,12.6
2620,2025-04-23 12:30,2025-04-23 11:30,143.0,2.11,30.0,56.0,69.0,običajni pretok,12.6
2620,2025-04-23 13:30,2025-04-23 12:30,143.0,2.11,30.0,56.0,69.0,običajni pretok,12.7
2620,2025-04-23 14:30,2025-04-23 13:30,143.0,2.11,30.0,56.0,69.0,običajni pretok,12.7
2620,2025-04-23 15:30,2025-04-23 14:30,143.0,2.11,30.0,56.0,69.0,običajni pretok,12.9
2620,2025-04-23 16:30,2025-04-23 15:30,143.0,2.11,30.0,56.0,69.0,običajni pretok,13.0
2620,2025-04-23 17:30,2025-04-23 16:30,143.0,2.11,30.0,56.0,69.0,običajni pretok,13.2
2620,2025-04-23 18:30,2025-04-23 17:30,143.0,2.11,30.0,56.0,69.0,običajni pretok,13.3
2620,2025-04-23 19:30,2025-04-23 18:30,143.0,2.11,30.0,56.0,69.0,običajni pretok,13.5
2620,2025-04-23 20:30,2025-04-23 19:30,143.0,2.11,30.0,56.0,69.0,običajni pretok,13.6
2620,2025-04-23 21:30,2025-04-23 20:30,143.0,2.11,30.0,56.0,69.0,običajni pretok,13.7
2620,2025-04-23 22:30,2025-04-23 21:30,143.0,2.11,30.0,56.0,69.0,običajni pretok,13.7
2620,2025-04-23 23:30,2025-04-23 22:30,143.0,2.11,30.0,56.0,69.0,običajni pretok,13.7
2620,2025-04-24 00:30,2025-04-23 23:30,143.0,2.11,30.0,56.0,69.0,običajni pretok,13.7
2620,2025-04-24 02:00,2025-04-24 01:00,142.0,1.98,30.0,56.0,69.0,običajni pretok,13.6
2620,2025-04-24 03:30,2025-04-24 02:30,142.0,1.98,30.0,56.0,69.0,običajni pretok,13.5
2620,2025-04-24 04:30,2025-04-24 03:30,142.0,1.98,30.0,56.0,69.0,običajni pretok,13.3
2620,2025-04-24 05:30,2025-04-24 04:30,142.0,1.98,30.0,56.0,69.0,običajni pretok,13.2
2620,2025-04-24 06:30,2025-04-24 05:30,143.0,2.11,30.0,56.0,69.0,običajni pretok,13.0
2620,2025-04-24 07:30,2025-04-24 06:30,142.0,1.98,30.0,56.0,69.0,običajni pretok,12.9
2620,2025-04-24 08:30,2025-04-24 07:30,142.0,1.98,30.0,56.0,69.0,običajni pretok,12.7
2620,2025-04-24 09:30,2025-04-24 08:30,143.0,2.11,30.0,56.0,69.0,običajni pretok,12.6
2620,2025-04-24 10:30,2025-04-24 09:30,143.0,2.11,30.0,56.0,69.0,običajni pretok,12.5
2620,2025-04-24 11:30,2025-04-24 10:30,142.0,1.98,30.0,56.0,69.0,običajni pretok,12.5
2620,2025-04-24 12:30,2025-04-24 11:30,143.0,2.11,30.0,56.0,69.0,običajni pretok,12.9
2620,2025-04-24 13:30,2025-04-24 12:30,143.0,2.11,30.0,56.0,69.0,običajni pretok,13.7
2620,2025-04-24 14:30,2025-04-24 13:30,144.0,2.24,30.0,56.0,69.0,običajni pretok,13.5
2620,2025-04-24 15:30,2025-04-24 14:30,158.0,4.23,30.0,56.0,69.0,običajni pretok,13.6
2620,2025-04-24 16:30,2025-04-24 15:30,162.0,4.84,30.0,56.0,69.0,običajni pretok,13.9
2620,2025-04-24 17:30,2025-04-24 16:30,166.0,5.46,30.0,56.0,69.0,običajni pretok,13.9
2620,2025-04-24 18:30,2025-04-24 17:30,166.0,5.46,30.0,56.0,69.0,običajni pretok,13.7
2620,2025-04-24 19:30,2025-04-24 18:30,162.0,4.84,30.0,56.0,69.0,običajni pretok,13.2
2620,2025-04-24 20:30,2025-04-24 19:30,159.0,4.38,30.0,56.0,69.0,običajni pretok,12.7
2620,2025-04-24 21:30,2025-04-24 20:30,159.0,4.38,30.0,56.0,69.0,običajni pretok,12.4
2620,2025-04-24 22:30,2025-04-24 21:30,160.0,4.53,30.0,56.0,69.0,običajni pretok,12.2
2620,2025-04-24 23:30,2025-04-24 22:30,158.0,4.23,30.0,56.0,69.0,običajni pretok,11.9
2620,2025-04-25 00:30,2025-04-24 23:30,155.0,3.77,30.0,56.0,69.0,običajni pretok,11.7
2620,2025-04-25 02:00,2025-04-25 01:00,154.0,3.63,30.0,56.0,69.0,običajni pretok,11.4
2620,2025-04-25 03:30,2025-04-25 02:30,152.0,3.34,30.0,56.0,69.0,običajni pretok,11.2
2620,2025-04-25 04:30,2025-04-25 03:30,152.0,3.34,30.0,56.0,69.0,običajni pretok,11.1
2620,2025-04-25 05:30,2025-04-25 04:30,151.0,3.2,30.0,56.0,69.0,običajni pretok,10.9
2620,2025-04-25 06:30,2025-04-25 05:30,,,30.0,56.0,69.0,,
2620,2025-04-25 07:30,2025-04-25 06:30,151.0,3.2,30.0,56.0,69.0,običajni pretok,10.8
