sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
6220,2025-04-19 22:30,2025-04-19 21:30,96,2.27,60.0,72.0,90.0,običajni pretok,7.1
6220,2025-04-22 07:30,2025-04-22 06:30,95,2.08,60.0,72.0,90.0,običajni pretok,7.0
6220,2025-04-22 10:30,2025-04-22 09:30,94,1.9,60.0,72.0,90.0,običajni pretok,7.9
6220,2025-04-22 11:00,2025-04-22 10:00,93,1.72,60.0,72.0,90.0,običajni pretok,8.1
6220,2025-04-22 11:30,2025-04-22 10:30,92,1.56,60.0,72.0,90.0,običajni pretok,8.3
6220,2025-04-22 12:30,2025-04-22 11:30,92,1.56,60.0,72.0,90.0,običajni pretok,9.2
6220,2025-04-22 13:30,2025-04-22 12:30,91,1.4,60.0,72.0,90.0,običajni pretok,10.0
6220,2025-04-22 14:30,2025-04-22 13:30,91,1.4,60.0,72.0,90.0,običajni pretok,10.6
6220,2025-04-22 15:30,2025-04-22 14:30,91,1.4,60.0,72.0,90.0,običajni pretok,11.0
6220,2025-04-22 16:30,2025-04-22 15:30,91,1.4,60.0,72.0,90.0,običajni pretok,10.8
6220,2025-04-22 17:30,2025-04-22 16:30,90,1.25,60.0,72.0,90.0,običajni pretok,10.4
6220,2025-04-22 18:30,2025-04-22 17:30,90,1.25,60.0,72.0,90.0,običajni pretok,9.9
6220,2025-04-22 19:30,2025-04-22 18:30,89,1.11,60.0,72.0,90.0,običajni pretok,9.6
6220,2025-04-22 20:30,2025-04-22 19:30,89,1.11,60.0,72.0,90.0,običajni pretok,9.1
6220,2025-04-22 21:30,2025-04-22 20:30,89,1.11,60.0,72.0,90.0,običajni pretok,8.7
6220,2025-04-22 22:30,2025-04-22 21:30,89,1.11,60.0,72.0,90.0,običajni pretok,8.3
6220,2025-04-22 23:30,2025-04-22 22:30,89,1.11,60.0,72.0,90.0,običajni pretok,8.1
6220,2025-04-23 00:30,2025-04-22 23:30,89,1.11,60.0,72.0,90.0,običajni pretok,7.9
6220,2025-04-23 02:00,2025-04-23 01:00,89,1.11,60.0,72.0,90.0,običajni pretok,7.9
6220,2025-04-23 03:30,2025-04-23 02:30,89,1.11,60.0,72.0,90.0,običajni pretok,7.7
6220,2025-04-23 04:30,2025-04-23 03:30,89,1.11,60.0,72.0,90.0,običajni pretok,7.7
6220,2025-04-23 05:30,2025-04-23 04:30,89,1.11,60.0,72.0,90.0,običajni pretok,7.7
