sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
5240,2025-04-19 22:30,2025-04-19 21:30,203,10.1,22.5,23.0,24.0,običajni pretok,11.0
5240,2025-04-22 07:30,2025-04-22 06:30,188,8.32,22.5,23.0,24.0,običajni pretok,11.2
5240,2025-04-22 10:30,2025-04-22 09:30,188,8.32,22.5,23.0,24.0,običajni pretok,11.3
5240,2025-04-22 11:00,2025-04-22 10:00,187,8.18,22.5,23.0,24.0,običajni pretok,11.3
5240,2025-04-22 11:30,2025-04-22 10:30,188,8.32,22.5,23.0,24.0,običajni pretok,11.3
5240,2025-04-22 12:30,2025-04-22 11:30,188,8.32,22.5,23.0,24.0,običajni pretok,11.4
5240,2025-04-22 13:30,2025-04-22 12:30,188,8.32,22.5,23.0,24.0,običajni pretok,11.4
5240,2025-04-22 14:30,2025-04-22 13:30,187,8.18,22.5,23.0,24.0,običajni pretok,11.3
5240,2025-04-22 15:30,2025-04-22 14:30,187,8.18,22.5,23.0,24.0,običajni pretok,11.3
5240,2025-04-22 16:30,2025-04-22 15:30,187,8.18,22.5,23.0,24.0,običajni pretok,11.3
5240,2025-04-22 17:30,2025-04-22 16:30,187,8.18,22.5,23.0,24.0,običajni pretok,11.3
5240,2025-04-22 18:30,2025-04-22 17:30,187,8.18,22.5,23.0,24.0,običajni pretok,11.3
5240,2025-04-22 19:30,2025-04-22 18:30,187,8.18,22.5,23.0,24.0,običajni pretok,11.3
5240,2025-04-22 20:30,2025-04-22 19:30,187,8.18,22.5,23.0,24.0,običajni pretok,11.3
5240,2025-04-22 21:30,2025-04-22 20:30,186,8.04,22.5,23.0,24.0,običajni pretok,11.3
5240,2025-04-22 22:30,2025-04-22 21:30,186,8.04,22.5,23.0,24.0,običajni pretok,11.2
5240,2025-04-22 23:30,2025-04-22 22:30,186,8.04,22.5,23.0,24.0,običajni pretok,11.3
5240,2025-04-23 00:30,2025-04-22 23:30,186,8.04,22.5,23.0,24.0,običajni pretok,11.3
5240,2025-04-23 02:00,2025-04-23 01:00,186,8.04,22.5,23.0,24.0,običajni pretok,11.3
5240,2025-04-23 03:30,2025-04-23 02:30,186,8.04,22.5,23.0,24.0,običajni pretok,11.3
5240,2025-04-23 04:30,2025-04-23 03:30,186,8.04,22.5,23.0,24.0,običajni pretok,11.3
5240,2025-04-23 05:30,2025-04-23 04:30,186,8.04,22.5,23.0,24.0,običajni pretok,11.3
5240,2025-04-23 06:30,2025-04-23 05:30,185,7.9,22.5,23.0,24.0,običajni pretok,11.3
5240,2025-04-23 07:30,2025-04-23 06:30,185,7.9,22.5,23.0,24.0,običajni pretok,11.3
5240,2025-04-23 08:30,2025-04-23 07:30,185,7.9,22.5,23.0,24.0,običajni pretok,11.3
5240,2025-04-23 09:30,2025-04-23 08:30,185,7.9,22.5,23.0,24.0,običajni pretok,11.3
5240,2025-04-23 10:30,2025-04-23 09:30,185,7.9,22.5,23.0,24.0,običajni pretok,11.3
5240,2025-04-23 11:30,2025-04-23 10:30,185,7.9,22.5,23.0,24.0,običajni pretok,11.3
5240,2025-04-23 12:30,2025-04-23 11:30,185,7.9,22.5,23.0,24.0,običajni pretok,11.3
5240,2025-04-23 13:30,2025-04-23 12:30,185,7.9,22.5,23.0,24.0,običajni pretok,11.4
5240,2025-04-23 14:30,2025-04-23 13:30,184,7.76,22.5,23.0,24.0,običajni pretok,11.4
5240,2025-04-23 15:30,2025-04-23 14:30,184,7.76,22.5,23.0,24.0,običajni pretok,11.4
5240,2025-04-23 16:30,2025-04-23 15:30,184,7.76,22.5,23.0,24.0,običajni pretok,11.3
5240,2025-04-23 17:30,2025-04-23 16:30,184,7.76,22.5,23.0,24.0,običajni pretok,11.4
5240,2025-04-23 18:30,2025-04-23 17:30,184,7.76,22.5,23.0,24.0,običajni pretok,11.3
5240,2025-04-23 19:30,2025-04-23 18:30,184,7.76,22.5,23.0,24.0,običajni pretok,11.4
5240,2025-04-23 20:30,2025-04-23 19:30,184,7.76,22.5,23.0,24.0,običajni pretok,11.4
5240,2025-04-23 21:30,2025-04-23 20:30,184,7.76,22.5,23.0,24.0,običajni pretok,11.4
5240,2025-04-23 22:30,2025-04-23 21:30,184,7.76,22.5,23.0,24.0,običajni pretok,11.4
5240,2025-04-23 23:30,2025-04-23 22:30,183,7.62,22.5,23.0,24.0,običajni pretok,11.4
5240,2025-04-24 00:30,2025-04-23 23:30,183,7.62,22.5,23.0,24.0,običajni pretok,11.4
5240,2025-04-24 02:00,2025-04-24 01:00,183,7.62,22.5,23.0,24.0,običajni pretok,11.4
5240,2025-04-24 03:30,2025-04-24 02:30,182,7.48,22.5,23.0,24.0,običajni pretok,11.3
5240,2025-04-24 04:30,2025-04-24 03:30,183,7.62,22.5,23.0,24.0,običajni pretok,11.3
5240,2025-04-24 05:30,2025-04-24 04:30,182,7.48,22.5,23.0,24.0,običajni pretok,11.3
5240,2025-04-24 06:30,2025-04-24 05:30,182,7.48,22.5,23.0,24.0,običajni pretok,11.3
5240,2025-04-24 07:30,2025-04-24 06:30,182,7.48,22.5,23.0,24.0,običajni pretok,11.3
5240,2025-04-24 08:30,2025-04-24 07:30,182,7.48,22.5,23.0,24.0,običajni pretok,11.3
5240,2025-04-24 09:30,2025-04-24 08:30,182,7.48,22.5,23.0,24.0,običajni pretok,11.3
5240,2025-04-24 10:30,2025-04-24 09:30,182,7.48,22.5,23.0,24.0,običajni pretok,11.3
5240,2025-04-24 11:30,2025-04-24 10:30,182,7.48,22.5,23.0,24.0,običajni pretok,11.4
5240,2025-04-24 12:30,2025-04-24 11:30,182,7.48,22.5,23.0,24.0,običajni pretok,11.4
5240,2025-04-24 13:30,2025-04-24 12:30,182,7.48,22.5,23.0,24.0,običajni pretok,11.4
5240,2025-04-24 14:30,2025-04-24 13:30,182,7.48,22.5,23.0,24.0,običajni pretok,11.4
5240,2025-04-24 15:30,2025-04-24 14:30,181,7.33,22.5,23.0,24.0,običajni pretok,11.5
5240,2025-04-24 16:30,2025-04-24 15:30,181,7.33,22.5,23.0,24.0,običajni pretok,11.5
5240,2025-04-24 17:30,2025-04-24 16:30,182,7.48,22.5,23.0,24.0,običajni pretok,11.4
5240,2025-04-24 18:30,2025-04-24 17:30,181,7.33,22.5,23.0,24.0,običajni pretok,11.4
5240,2025-04-24 19:30,2025-04-24 18:30,182,7.48,22.5,23.0,24.0,običajni pretok,11.4
5240,2025-04-24 20:30,2025-04-24 19:30,182,7.48,22.5,23.0,24.0,običajni pretok,11.4
5240,2025-04-24 21:30,2025-04-24 20:30,182,7.48,22.5,23.0,24.0,običajni pretok,11.4
5240,2025-04-24 22:30,2025-04-24 21:30,182,7.48,22.5,23.0,24.0,običajni pretok,11.4
5240,2025-04-24 23:30,2025-04-24 22:30,182,7.48,22.5,23.0,24.0,običajni pretok,11.4
5240,2025-04-25 00:30,2025-04-24 23:30,182,7.48,22.5,23.0,24.0,običajni pretok,11.4
5240,2025-04-25 02:00,2025-04-25 01:00,182,7.48,22.5,23.0,24.0,običajni pretok,11.4
5240,2025-04-25 03:30,2025-04-25 02:30,182,7.48,22.5,23.0,24.0,običajni pretok,11.4
