sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
7440,2025-04-19 22:30,2025-04-19 21:30,102,0.57,16.0,21.0,28.0,običajni pretok,10.5
7440,2025-04-22 07:30,2025-04-22 06:30,99,0.445,16.0,21.0,28.0,običajni pretok,10.0
7440,2025-04-22 10:30,2025-04-22 09:30,99,0.445,16.0,21.0,28.0,običajni pretok,10.8
7440,2025-04-22 11:00,2025-04-22 10:00,100,0.484,16.0,21.0,28.0,običajni pretok,11.3
7440,2025-04-22 11:30,2025-04-22 10:30,99,0.445,16.0,21.0,28.0,običajni pretok,11.5
7440,2025-04-22 12:30,2025-04-22 11:30,99,0.445,16.0,21.0,28.0,običajni pretok,11.9
7440,2025-04-22 13:30,2025-04-22 12:30,99,0.445,16.0,21.0,28.0,običajni pretok,12.6
7440,2025-04-22 14:30,2025-04-22 13:30,99,0.445,16.0,21.0,28.0,običajni pretok,13.1
7440,2025-04-22 15:30,2025-04-22 14:30,99,0.445,16.0,21.0,28.0,običajni pretok,13.3
7440,2025-04-22 16:30,2025-04-22 15:30,99,0.445,16.0,21.0,28.0,običajni pretok,13.3
7440,2025-04-22 17:30,2025-04-22 16:30,99,0.445,16.0,21.0,28.0,običajni pretok,13.3
7440,2025-04-22 18:30,2025-04-22 17:30,99,0.445,16.0,21.0,28.0,običajni pretok,13.5
7440,2025-04-22 19:30,2025-04-22 18:30,99,0.445,16.0,21.0,28.0,običajni pretok,13.6
7440,2025-04-22 20:30,2025-04-22 19:30,99,0.445,16.0,21.0,28.0,običajni pretok,13.5
7440,2025-04-22 21:30,2025-04-22 20:30,99,0.445,16.0,21.0,28.0,običajni pretok,13.2
7440,2025-04-22 22:30,2025-04-22 21:30,99,0.445,16.0,21.0,28.0,običajni pretok,13.0
7440,2025-04-22 23:30,2025-04-22 22:30,99,0.445,16.0,21.0,28.0,običajni pretok,12.6
7440,2025-04-23 00:30,2025-04-22 23:30,99,0.445,16.0,21.0,28.0,običajni pretok,12.3
7440,2025-04-23 02:00,2025-04-23 01:00,99,0.445,16.0,21.0,28.0,običajni pretok,11.8
7440,2025-04-23 03:30,2025-04-23 02:30,99,0.445,16.0,21.0,28.0,običajni pretok,11.3
7440,2025-04-23 04:30,2025-04-23 03:30,99,0.445,16.0,21.0,28.0,običajni pretok,11.0
7440,2025-04-23 05:30,2025-04-23 04:30,99,0.445,16.0,21.0,28.0,običajni pretok,10.7
7440,2025-04-23 06:30,2025-04-23 05:30,99,0.445,16.0,21.0,28.0,običajni pretok,10.5
7440,2025-04-23 07:30,2025-04-23 06:30,99,0.445,16.0,21.0,28.0,običajni pretok,10.2
7440,2025-04-23 08:30,2025-04-23 07:30,99,0.445,16.0,21.0,28.0,običajni pretok,10.2
7440,2025-04-23 09:30,2025-04-23 08:30,99,0.445,16.0,21.0,28.0,običajni pretok,10.4
7440,2025-04-23 10:30,2025-04-23 09:30,99,0.445,16.0,21.0,28.0,običajni pretok,10.3
7440,2025-04-23 11:30,2025-04-23 10:30,99,0.445,16.0,21.0,28.0,običajni pretok,10.7
7440,2025-04-23 12:30,2025-04-23 11:30,99,0.445,16.0,21.0,28.0,običajni pretok,11.5
