sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
3060,2025-04-19 22:30,2025-04-19 21:30,83,11.9,135.0,165.0,223.0,običajni pretok,9.0
3060,2025-04-22 07:30,2025-04-22 06:30,81,9.33,135.0,165.0,223.0,običajni pretok,8.3
3060,2025-04-22 10:30,2025-04-22 09:30,82,10.3,135.0,165.0,223.0,običajni pretok,8.8
3060,2025-04-22 11:00,2025-04-22 10:00,81,10.1,135.0,165.0,223.0,običajni pretok,9.0
3060,2025-04-22 11:30,2025-04-22 10:30,83,11.2,135.0,165.0,223.0,običajni pretok,9.2
3060,2025-04-22 12:30,2025-04-22 11:30,84,10.1,135.0,165.0,223.0,običajni pretok,9.9
3060,2025-04-22 13:30,2025-04-22 12:30,85,9.56,135.0,165.0,223.0,običajni pretok,10.4
3060,2025-04-22 14:30,2025-04-22 13:30,86,9.77,135.0,165.0,223.0,običajni pretok,10.6
3060,2025-04-22 15:30,2025-04-22 14:30,85,10.4,135.0,165.0,223.0,običajni pretok,10.1
3060,2025-04-22 16:30,2025-04-22 15:30,84,11.5,135.0,165.0,223.0,običajni pretok,10.0
3060,2025-04-22 17:30,2025-04-22 16:30,84,10.5,135.0,165.0,223.0,običajni pretok,10.4
3060,2025-04-22 18:30,2025-04-22 17:30,85,10.2,135.0,165.0,223.0,običajni pretok,10.7
3060,2025-04-22 19:30,2025-04-22 18:30,85,9.75,135.0,165.0,223.0,običajni pretok,10.6
3060,2025-04-22 20:30,2025-04-22 19:30,84,10.8,135.0,165.0,223.0,običajni pretok,10.3
3060,2025-04-22 21:30,2025-04-22 20:30,84,9.4,135.0,165.0,223.0,običajni pretok,9.9
3060,2025-04-22 22:30,2025-04-22 21:30,83,8.66,135.0,165.0,223.0,običajni pretok,9.5
3060,2025-04-22 23:30,2025-04-22 22:30,82,9.72,135.0,165.0,223.0,običajni pretok,9.1
3060,2025-04-23 00:30,2025-04-22 23:30,82,9.08,135.0,165.0,223.0,običajni pretok,8.9
3060,2025-04-23 02:00,2025-04-23 01:00,81,9.87,135.0,165.0,223.0,običajni pretok,8.7
3060,2025-04-23 03:30,2025-04-23 02:30,82,10.7,135.0,165.0,223.0,običajni pretok,8.6
3060,2025-04-23 04:30,2025-04-23 03:30,82,10.0,135.0,165.0,223.0,običajni pretok,8.6
3060,2025-04-23 05:30,2025-04-23 04:30,82,9.51,135.0,165.0,223.0,običajni pretok,8.6
3060,2025-04-23 06:30,2025-04-23 05:30,82,9.84,135.0,165.0,223.0,običajni pretok,8.6
3060,2025-04-23 07:30,2025-04-23 06:30,81,11.2,135.0,165.0,223.0,običajni pretok,8.6
3060,2025-04-23 08:30,2025-04-23 07:30,81,10.2,135.0,165.0,223.0,običajni pretok,8.7
3060,2025-04-23 09:30,2025-04-23 08:30,82,10.3,135.0,165.0,223.0,običajni pretok,8.8
3060,2025-04-23 10:30,2025-04-23 09:30,84,9.75,135.0,165.0,223.0,običajni pretok,9.0
3060,2025-04-23 11:30,2025-04-23 10:30,84,9.83,135.0,165.0,223.0,običajni pretok,9.1
3060,2025-04-23 12:30,2025-04-23 11:30,83,10.9,135.0,165.0,223.0,običajni pretok,9.4
