sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
8700,2025-04-19 22:30,2025-04-19 21:30,151,,45.0,70.0,105.0,,13.6
8700,2025-04-22 07:30,2025-04-22 06:30,146,,45.0,70.0,105.0,,13.3
8700,2025-04-22 10:30,2025-04-22 09:30,146,,45.0,70.0,105.0,,13.1
8700,2025-04-22 11:00,2025-04-22 10:00,146,,45.0,70.0,105.0,,13.1
8700,2025-04-22 11:30,2025-04-22 10:30,146,,45.0,70.0,105.0,,13.2
8700,2025-04-22 12:30,2025-04-22 11:30,146,,45.0,70.0,105.0,,13.5
8700,2025-04-22 13:30,2025-04-22 12:30,146,,45.0,70.0,105.0,,14.0
8700,2025-04-22 14:30,2025-04-22 13:30,146,,45.0,70.0,105.0,,14.8
8700,2025-04-22 15:30,2025-04-22 14:30,146,,45.0,70.0,105.0,,15.4
8700,2025-04-22 16:30,2025-04-22 15:30,146,,45.0,70.0,105.0,,15.9
8700,2025-04-22 17:30,2025-04-22 16:30,146,,45.0,70.0,105.0,,16.3
8700,2025-04-22 18:30,2025-04-22 17:30,146,,45.0,70.0,105.0,,16.5
8700,2025-04-22 19:30,2025-04-22 18:30,146,,45.0,70.0,105.0,,16.6
8700,2025-04-22 20:30,2025-04-22 19:30,145,,45.0,70.0,105.0,,16.6
8700,2025-04-22 21:30,2025-04-22 20:30,145,,45.0,70.0,105.0,,16.5
8700,2025-04-22 22:30,2025-04-22 21:30,145,,45.0,70.0,105.0,,16.3
8700,2025-04-22 23:30,2025-04-22 22:30,145,,45.0,70.0,105.0,,16.1
8700,2025-04-23 00:30,2025-04-22 23:30,145,,45.0,70.0,105.0,,15.8
8700,2025-04-23 02:00,2025-04-23 01:00,145,,45.0,70.0,105.0,,15.4
8700,2025-04-23 03:30,2025-04-23 02:30,145,,45.0,70.0,105.0,,15.0
8700,2025-04-23 04:30,2025-04-23 03:30,145,,45.0,70.0,105.0,,14.7
8700,2025-04-23 05:30,2025-04-23 04:30,145,,45.0,70.0,105.0,,14.5
8700,2025-04-23 06:30,2025-04-23 05:30,145,,45.0,70.0,105.0,,14.3
8700,2025-04-23 07:30,2025-04-23 06:30,145,,45.0,70.0,105.0,,14.1
8700,2025-04-23 08:30,2025-04-23 07:30,145,,45.0,70.0,105.0,,14.0
8700,2025-04-23 09:30,2025-04-23 08:30,145,,45.0,70.0,105.0,,13.9
8700,2025-04-23 10:30,2025-04-23 09:30,145,,45.0,70.0,105.0,,13.9
8700,2025-04-23 11:30,2025-04-23 10:30,145,,45.0,70.0,105.0,,13.8
8700,2025-04-23 12:30,2025-04-23 11:30,145,,45.0,70.0,105.0,,13.8
8700,2025-04-23 13:30,2025-04-23 12:30,145,,45.0,70.0,105.0,,13.9
8700,2025-04-23 14:30,2025-04-23 13:30,145,,45.0,70.0,105.0,,14.1
8700,2025-04-23 15:30,2025-04-23 14:30,144,,45.0,70.0,105.0,,14.7
8700,2025-04-23 16:30,2025-04-23 15:30,144,,45.0,70.0,105.0,,15.3
8700,2025-04-23 17:30,2025-04-23 16:30,144,,45.0,70.0,105.0,,15.8
8700,2025-04-23 18:30,2025-04-23 17:30,144,,45.0,70.0,105.0,,16.2
8700,2025-04-23 19:30,2025-04-23 18:30,144,,45.0,70.0,105.0,,16.5
8700,2025-04-23 20:30,2025-04-23 19:30,145,,45.0,70.0,105.0,,16.7
8700,2025-04-23 21:30,2025-04-23 20:30,145,,45.0,70.0,105.0,,16.6
8700,2025-04-23 22:30,2025-04-23 21:30,147,,45.0,70.0,105.0,,16.4
8700,2025-04-23 23:30,2025-04-23 22:30,147,,45.0,70.0,105.0,,16.2
8700,2025-04-24 00:30,2025-04-23 23:30,147,,45.0,70.0,105.0,,16.1
8700,2025-04-24 02:00,2025-04-24 01:00,146,,45.0,70.0,105.0,,15.7
8700,2025-04-24 03:30,2025-04-24 02:30,146,,45.0,70.0,105.0,,15.3
8700,2025-04-24 04:30,2025-04-24 03:30,146,,45.0,70.0,105.0,,15.1
8700,2025-04-24 05:30,2025-04-24 04:30,145,,45.0,70.0,105.0,,14.9
8700,2025-04-24 06:30,2025-04-24 05:30,145,,45.0,70.0,105.0,,14.6
8700,2025-04-24 07:30,2025-04-24 06:30,145,,45.0,70.0,105.0,,14.4
8700,2025-04-24 08:30,2025-04-24 07:30,145,,45.0,70.0,105.0,,14.2
8700,2025-04-24 09:30,2025-04-24 08:30,145,,45.0,70.0,105.0,,14.1
8700,2025-04-24 10:30,2025-04-24 09:30,144,,45.0,70.0,105.0,,14.1
8700,2025-04-24 11:30,2025-04-24 10:30,144,,45.0,70.0,105.0,,14.2
8700,2025-04-24 12:30,2025-04-24 11:30,144,,45.0,70.0,105.0,,14.4
8700,2025-04-24 13:30,2025-04-24 12:30,144,,45.0,70.0,105.0,,14.9
