sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
3300,2025-04-19 22:30,2025-04-19 21:30,137,5.66,60.0,80.0,121.0,običajni pretok,7.8
3300,2025-04-22 07:30,2025-04-22 06:30,130,3.9,60.0,80.0,121.0,običajni pretok,7.7
3300,2025-04-22 10:30,2025-04-22 09:30,129,3.69,60.0,80.0,121.0,običajni pretok,8.1
3300,2025-04-22 11:00,2025-04-22 10:00,129,3.69,60.0,80.0,121.0,običajni pretok,8.2
3300,2025-04-22 11:30,2025-04-22 10:30,129,3.69,60.0,80.0,121.0,običajni pretok,8.5
3300,2025-04-22 12:30,2025-04-22 11:30,128,3.48,60.0,80.0,121.0,običajni pretok,9.0
3300,2025-04-22 13:30,2025-04-22 12:30,128,3.48,60.0,80.0,121.0,običajni pretok,9.3
3300,2025-04-22 14:30,2025-04-22 13:30,128,3.48,60.0,80.0,121.0,običajni pretok,9.3
3300,2025-04-22 15:30,2025-04-22 14:30,128,3.48,60.0,80.0,121.0,običajni pretok,9.7
3300,2025-04-22 16:30,2025-04-22 15:30,127,3.27,60.0,80.0,121.0,običajni pretok,9.5
3300,2025-04-22 17:30,2025-04-22 16:30,127,3.27,60.0,80.0,121.0,običajni pretok,9.3
3300,2025-04-22 18:30,2025-04-22 17:30,127,3.27,60.0,80.0,121.0,običajni pretok,9.2
3300,2025-04-22 19:30,2025-04-22 18:30,127,3.27,60.0,80.0,121.0,običajni pretok,8.9
3300,2025-04-22 20:30,2025-04-22 19:30,127,3.27,60.0,80.0,121.0,običajni pretok,8.6
3300,2025-04-22 21:30,2025-04-22 20:30,127,3.27,60.0,80.0,121.0,običajni pretok,8.4
3300,2025-04-22 22:30,2025-04-22 21:30,127,3.27,60.0,80.0,121.0,običajni pretok,8.3
3300,2025-04-22 23:30,2025-04-22 22:30,127,3.27,60.0,80.0,121.0,običajni pretok,8.2
3300,2025-04-23 00:30,2025-04-22 23:30,128,3.48,60.0,80.0,121.0,običajni pretok,8.1
3300,2025-04-23 02:00,2025-04-23 01:00,128,3.48,60.0,80.0,121.0,običajni pretok,8.0
3300,2025-04-23 03:30,2025-04-23 02:30,127,3.27,60.0,80.0,121.0,običajni pretok,8.0
3300,2025-04-23 04:30,2025-04-23 03:30,127,3.27,60.0,80.0,121.0,običajni pretok,8.0
3300,2025-04-23 05:30,2025-04-23 04:30,127,3.27,60.0,80.0,121.0,običajni pretok,8.0
3300,2025-04-23 06:30,2025-04-23 05:30,127,3.27,60.0,80.0,121.0,običajni pretok,8.0
3300,2025-04-23 07:30,2025-04-23 06:30,127,3.27,60.0,80.0,121.0,običajni pretok,8.0
3300,2025-04-23 08:30,2025-04-23 07:30,127,3.27,60.0,80.0,121.0,običajni pretok,8.1
3300,2025-04-23 09:30,2025-04-23 08:30,126,3.07,60.0,80.0,121.0,običajni pretok,8.2
3300,2025-04-23 10:30,2025-04-23 09:30,126,3.07,60.0,80.0,121.0,običajni pretok,8.5
3300,2025-04-23 11:30,2025-04-23 10:30,126,3.07,60.0,80.0,121.0,običajni pretok,8.5
3300,2025-04-23 12:30,2025-04-23 11:30,126,3.07,60.0,80.0,121.0,običajni pretok,8.6
3300,2025-04-23 13:30,2025-04-23 12:30,126,3.07,60.0,80.0,121.0,običajni pretok,8.5
3300,2025-04-23 14:30,2025-04-23 13:30,125,2.88,60.0,80.0,121.0,običajni pretok,9.2
3300,2025-04-23 15:30,2025-04-23 14:30,125,2.88,60.0,80.0,121.0,običajni pretok,9.1
3300,2025-04-23 16:30,2025-04-23 15:30,125,2.88,60.0,80.0,121.0,običajni pretok,9.0
3300,2025-04-23 17:30,2025-04-23 16:30,125,2.88,60.0,80.0,121.0,običajni pretok,9.2
3300,2025-04-23 18:30,2025-04-23 17:30,125,2.88,60.0,80.0,121.0,običajni pretok,9.1
3300,2025-04-23 19:30,2025-04-23 18:30,125,2.88,60.0,80.0,121.0,običajni pretok,8.8
3300,2025-04-23 20:30,2025-04-23 19:30,125,2.88,60.0,80.0,121.0,običajni pretok,8.6
3300,2025-04-23 21:30,2025-04-23 20:30,125,2.88,60.0,80.0,121.0,običajni pretok,8.5
3300,2025-04-23 22:30,2025-04-23 21:30,125,2.88,60.0,80.0,121.0,običajni pretok,8.4
