sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
4445,2025-04-19 22:30,2025-04-19 21:30,136,,190.0,250.0,390.0,,10.6
4445,2025-04-22 07:30,2025-04-22 06:30,128,,190.0,250.0,390.0,,10.2
4445,2025-04-22 10:30,2025-04-22 09:30,127,,190.0,250.0,390.0,,10.3
4445,2025-04-22 11:00,2025-04-22 10:00,127,,190.0,250.0,390.0,,10.3
4445,2025-04-22 11:30,2025-04-22 10:30,127,,190.0,250.0,390.0,,10.4
4445,2025-04-22 12:30,2025-04-22 11:30,127,,190.0,250.0,390.0,,10.7
4445,2025-04-22 13:30,2025-04-22 12:30,126,,190.0,250.0,390.0,,11.1
4445,2025-04-22 14:30,2025-04-22 13:30,126,,190.0,250.0,390.0,,11.6
4445,2025-04-22 15:30,2025-04-22 14:30,127,,190.0,250.0,390.0,,11.9
4445,2025-04-22 16:30,2025-04-22 15:30,124,,190.0,250.0,390.0,,11.9
4445,2025-04-22 17:30,2025-04-22 16:30,126,,190.0,250.0,390.0,,12.1
4445,2025-04-22 18:30,2025-04-22 17:30,126,,190.0,250.0,390.0,,12.3
4445,2025-04-22 19:30,2025-04-22 18:30,125,,190.0,250.0,390.0,,12.4
4445,2025-04-22 20:30,2025-04-22 19:30,125,,190.0,250.0,390.0,,12.4
4445,2025-04-22 21:30,2025-04-22 20:30,125,,190.0,250.0,390.0,,12.3
4445,2025-04-22 22:30,2025-04-22 21:30,125,,190.0,250.0,390.0,,12.1
4445,2025-04-22 23:30,2025-04-22 22:30,125,,190.0,250.0,390.0,,11.9
4445,2025-04-23 00:30,2025-04-22 23:30,127,,190.0,250.0,390.0,,11.6
4445,2025-04-23 02:00,2025-04-23 01:00,131,,190.0,250.0,390.0,,11.3
4445,2025-04-23 03:30,2025-04-23 02:30,128,,190.0,250.0,390.0,,11.1
4445,2025-04-23 04:30,2025-04-23 03:30,129,,190.0,250.0,390.0,,10.9
4445,2025-04-23 05:30,2025-04-23 04:30,129,,190.0,250.0,390.0,,10.9
4445,2025-04-23 06:30,2025-04-23 05:30,130,,190.0,250.0,390.0,,10.9
4445,2025-04-23 07:30,2025-04-23 06:30,128,,190.0,250.0,390.0,,10.9
4445,2025-04-23 08:30,2025-04-23 07:30,128,,190.0,250.0,390.0,,10.9
4445,2025-04-23 09:30,2025-04-23 08:30,126,,190.0,250.0,390.0,,10.9
4445,2025-04-23 10:30,2025-04-23 09:30,125,,190.0,250.0,390.0,,10.9
4445,2025-04-23 11:30,2025-04-23 10:30,125,,190.0,250.0,390.0,,10.9
4445,2025-04-23 12:30,2025-04-23 11:30,125,,190.0,250.0,390.0,,10.9
4445,2025-04-23 13:30,2025-04-23 12:30,125,,190.0,250.0,390.0,,11.2
4445,2025-04-23 14:30,2025-04-23 13:30,125,,190.0,250.0,390.0,,11.3
4445,2025-04-23 15:30,2025-04-23 14:30,124,,190.0,250.0,390.0,,11.5
4445,2025-04-23 16:30,2025-04-23 15:30,124,,190.0,250.0,390.0,,11.7
4445,2025-04-23 17:30,2025-04-23 16:30,124,,190.0,250.0,390.0,,11.8
4445,2025-04-23 18:30,2025-04-23 17:30,124,,190.0,250.0,390.0,,11.8
4445,2025-04-23 19:30,2025-04-23 18:30,124,,190.0,250.0,390.0,,11.8
4445,2025-04-23 20:30,2025-04-23 19:30,124,,190.0,250.0,390.0,,11.8
4445,2025-04-23 21:30,2025-04-23 20:30,123,,190.0,250.0,390.0,,11.7
4445,2025-04-23 22:30,2025-04-23 21:30,123,,190.0,250.0,390.0,,11.6
4445,2025-04-23 23:30,2025-04-23 22:30,123,,190.0,250.0,390.0,,11.5
4445,2025-04-24 00:30,2025-04-23 23:30,123,,190.0,250.0,390.0,,11.4
4445,2025-04-24 02:00,2025-04-24 01:00,123,,190.0,250.0,390.0,,11.1
