sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
8478,2025-04-19 22:30,2025-04-19 21:30,77,3.53,65.0,110.0,135.0,običajni pretok,9.8
8478,2025-04-22 07:30,2025-04-22 06:30,68,2.13,65.0,110.0,135.0,običajni pretok,9.7
8478,2025-04-22 10:30,2025-04-22 09:30,67,2.0,65.0,110.0,135.0,običajni pretok,9.9
8478,2025-04-22 11:00,2025-04-22 10:00,67,2.0,65.0,110.0,135.0,običajni pretok,10.1
8478,2025-04-22 11:30,2025-04-22 10:30,67,2.0,65.0,110.0,135.0,običajni pretok,10.4
8478,2025-04-22 12:30,2025-04-22 11:30,67,2.0,65.0,110.0,135.0,običajni pretok,10.9
8478,2025-04-22 13:30,2025-04-22 12:30,67,2.0,65.0,110.0,135.0,običajni pretok,11.3
8478,2025-04-22 14:30,2025-04-22 13:30,67,2.0,65.0,110.0,135.0,običajni pretok,11.7
8478,2025-04-22 15:30,2025-04-22 14:30,67,2.0,65.0,110.0,135.0,običajni pretok,12.1
8478,2025-04-22 16:30,2025-04-22 15:30,67,2.0,65.0,110.0,135.0,običajni pretok,12.2
8478,2025-04-22 17:30,2025-04-22 16:30,66,1.88,65.0,110.0,135.0,običajni pretok,12.1
8478,2025-04-22 18:30,2025-04-22 17:30,67,2.0,65.0,110.0,135.0,običajni pretok,12.0
8478,2025-04-22 19:30,2025-04-22 18:30,66,1.88,65.0,110.0,135.0,običajni pretok,11.9
8478,2025-04-22 20:30,2025-04-22 19:30,66,1.88,65.0,110.0,135.0,običajni pretok,11.7
8478,2025-04-22 21:30,2025-04-22 20:30,66,1.88,65.0,110.0,135.0,običajni pretok,11.5
8478,2025-04-22 22:30,2025-04-22 21:30,66,1.88,65.0,110.0,135.0,običajni pretok,11.3
8478,2025-04-22 23:30,2025-04-22 22:30,66,1.88,65.0,110.0,135.0,običajni pretok,11.1
8478,2025-04-23 00:30,2025-04-22 23:30,66,1.88,65.0,110.0,135.0,običajni pretok,10.9
8478,2025-04-23 02:00,2025-04-23 01:00,66,1.88,65.0,110.0,135.0,običajni pretok,10.6
8478,2025-04-23 03:30,2025-04-23 02:30,66,1.88,65.0,110.0,135.0,običajni pretok,10.4
8478,2025-04-23 04:30,2025-04-23 03:30,66,1.88,65.0,110.0,135.0,običajni pretok,10.1
8478,2025-04-23 05:30,2025-04-23 04:30,66,1.88,65.0,110.0,135.0,običajni pretok,10.0
8478,2025-04-23 06:30,2025-04-23 05:30,66,1.88,65.0,110.0,135.0,običajni pretok,9.9
8478,2025-04-23 07:30,2025-04-23 06:30,66,1.88,65.0,110.0,135.0,običajni pretok,9.8
8478,2025-04-23 08:30,2025-04-23 07:30,66,1.88,65.0,110.0,135.0,običajni pretok,9.8
8478,2025-04-23 09:30,2025-04-23 08:30,66,1.88,65.0,110.0,135.0,običajni pretok,9.9
8478,2025-04-23 10:30,2025-04-23 09:30,65,1.76,65.0,110.0,135.0,običajni pretok,10.0
8478,2025-04-23 11:30,2025-04-23 10:30,65,1.76,65.0,110.0,135.0,običajni pretok,10.2
8478,2025-04-23 12:30,2025-04-23 11:30,65,1.76,65.0,110.0,135.0,običajni pretok,10.4
8478,2025-04-23 13:30,2025-04-23 12:30,66,1.88,65.0,110.0,135.0,običajni pretok,11.0
8478,2025-04-23 14:30,2025-04-23 13:30,65,1.76,65.0,110.0,135.0,običajni pretok,11.6
8478,2025-04-23 15:30,2025-04-23 14:30,65,1.76,65.0,110.0,135.0,običajni pretok,11.9
8478,2025-04-23 16:30,2025-04-23 15:30,65,1.76,65.0,110.0,135.0,običajni pretok,12.0
8478,2025-04-23 17:30,2025-04-23 16:30,65,1.76,65.0,110.0,135.0,običajni pretok,12.1
8478,2025-04-23 18:30,2025-04-23 17:30,65,1.76,65.0,110.0,135.0,običajni pretok,11.9
8478,2025-04-23 19:30,2025-04-23 18:30,65,1.76,65.0,110.0,135.0,običajni pretok,11.8
8478,2025-04-23 20:30,2025-04-23 19:30,65,1.76,65.0,110.0,135.0,običajni pretok,11.7
8478,2025-04-23 21:30,2025-04-23 20:30,66,1.88,65.0,110.0,135.0,običajni pretok,11.5
8478,2025-04-23 22:30,2025-04-23 21:30,65,1.76,65.0,110.0,135.0,običajni pretok,11.3
8478,2025-04-23 23:30,2025-04-23 22:30,66,1.88,65.0,110.0,135.0,običajni pretok,11.1
8478,2025-04-24 00:30,2025-04-23 23:30,66,1.88,65.0,110.0,135.0,običajni pretok,11.0
8478,2025-04-24 02:00,2025-04-24 01:00,66,1.88,65.0,110.0,135.0,običajni pretok,10.7
8478,2025-04-24 03:30,2025-04-24 02:30,65,1.76,65.0,110.0,135.0,običajni pretok,10.6
8478,2025-04-24 04:30,2025-04-24 03:30,64,1.65,65.0,110.0,135.0,običajni pretok,10.5
8478,2025-04-24 05:30,2025-04-24 04:30,65,1.76,65.0,110.0,135.0,običajni pretok,10.4
8478,2025-04-24 06:30,2025-04-24 05:30,65,1.76,65.0,110.0,135.0,običajni pretok,10.2
8478,2025-04-24 07:30,2025-04-24 06:30,65,1.76,65.0,110.0,135.0,običajni pretok,10.1
8478,2025-04-24 08:30,2025-04-24 07:30,65,1.76,65.0,110.0,135.0,običajni pretok,10.2
8478,2025-04-24 09:30,2025-04-24 08:30,64,1.65,65.0,110.0,135.0,običajni pretok,10.3
8478,2025-04-24 10:30,2025-04-24 09:30,64,1.65,65.0,110.0,135.0,običajni pretok,10.4
8478,2025-04-24 11:30,2025-04-24 10:30,64,1.65,65.0,110.0,135.0,običajni pretok,10.7
8478,2025-04-24 12:30,2025-04-24 11:30,64,1.65,65.0,110.0,135.0,običajni pretok,11.0
8478,2025-04-24 13:30,2025-04-24 12:30,64,1.65,65.0,110.0,135.0,običajni pretok,11.6
8478,2025-04-24 14:30,2025-04-24 13:30,64,1.65,65.0,110.0,135.0,običajni pretok,12.2
8478,2025-04-24 15:30,2025-04-24 14:30,64,1.65,65.0,110.0,135.0,običajni pretok,12.3
8478,2025-04-24 16:30,2025-04-24 15:30,64,1.65,65.0,110.0,135.0,običajni pretok,12.2
8478,2025-04-24 17:30,2025-04-24 16:30,66,1.88,65.0,110.0,135.0,običajni pretok,12.1
8478,2025-04-24 18:30,2025-04-24 17:30,72,2.7,65.0,110.0,135.0,običajni pretok,12.1
8478,2025-04-24 19:30,2025-04-24 18:30,83,4.71,65.0,110.0,135.0,običajni pretok,11.8
8478,2025-04-24 20:30,2025-04-24 19:30,89,6.1,65.0,110.0,135.0,običajni pretok,11.5
8478,2025-04-24 21:30,2025-04-24 20:30,94,7.44,65.0,110.0,135.0,veliki pretok,11.1
8478,2025-04-24 22:30,2025-04-24 21:30,90,6.36,65.0,110.0,135.0,običajni pretok,11.0
8478,2025-04-24 23:30,2025-04-24 22:30,87,5.61,65.0,110.0,135.0,običajni pretok,10.8
8478,2025-04-25 00:30,2025-04-24 23:30,83,4.71,65.0,110.0,135.0,običajni pretok,10.7
8478,2025-04-25 02:00,2025-04-25 01:00,80,4.09,65.0,110.0,135.0,običajni pretok,10.6
8478,2025-04-25 03:30,2025-04-25 02:30,78,3.71,65.0,110.0,135.0,običajni pretok,10.5
8478,2025-04-25 04:30,2025-04-25 03:30,77,3.53,65.0,110.0,135.0,običajni pretok,10.4
8478,2025-04-25 05:30,2025-04-25 04:30,77,3.53,65.0,110.0,135.0,običajni pretok,10.3
8478,2025-04-25 06:30,2025-04-25 05:30,77,3.53,65.0,110.0,135.0,običajni pretok,10.2
8478,2025-04-25 07:30,2025-04-25 06:30,77,3.53,65.0,110.0,135.0,običajni pretok,10.1
8478,2025-04-25 08:30,2025-04-25 07:30,75,3.18,65.0,110.0,135.0,običajni pretok,10.1
8478,2025-04-25 09:30,2025-04-25 08:30,74,3.01,65.0,110.0,135.0,običajni pretok,10.1
8478,2025-04-25 10:30,2025-04-25 09:30,73,2.85,65.0,110.0,135.0,običajni pretok,10.2
8478,2025-04-25 11:30,2025-04-25 10:30,72,2.7,65.0,110.0,135.0,običajni pretok,10.2
8478,2025-04-25 12:30,2025-04-25 11:30,72,2.7,65.0,110.0,135.0,običajni pretok,10.4
8478,2025-04-25 13:30,2025-04-25 12:30,72,2.7,65.0,110.0,135.0,običajni pretok,10.5
8478,2025-04-25 14:30,2025-04-25 13:30,72,2.7,65.0,110.0,135.0,običajni pretok,10.6
8478,2025-04-25 15:30,2025-04-25 14:30,71,2.55,65.0,110.0,135.0,običajni pretok,10.7
8478,2025-04-25 16:30,2025-04-25 15:30,71,2.55,65.0,110.0,135.0,običajni pretok,10.8
8478,2025-04-25 17:30,2025-04-25 16:30,71,2.55,65.0,110.0,135.0,običajni pretok,10.9
8478,2025-04-25 18:30,2025-04-25 17:30,71,2.55,65.0,110.0,135.0,običajni pretok,10.9
8478,2025-04-25 19:30,2025-04-25 18:30,70,2.41,65.0,110.0,135.0,običajni pretok,10.8
