sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
9050,2025-04-19 22:30,2025-04-19 21:30,204,15.6,130.0,220.0,260.0,običajni pretok,10.7
9050,2025-04-22 07:30,2025-04-22 06:30,187,9.61,130.0,220.0,260.0,običajni pretok,10.9
9050,2025-04-22 10:30,2025-04-22 09:30,187,9.61,130.0,220.0,260.0,običajni pretok,10.8
9050,2025-04-22 11:00,2025-04-22 10:00,186,9.28,130.0,220.0,260.0,običajni pretok,10.8
9050,2025-04-22 11:30,2025-04-22 10:30,186,9.28,130.0,220.0,260.0,običajni pretok,10.8
9050,2025-04-22 12:30,2025-04-22 11:30,186,9.28,130.0,220.0,260.0,običajni pretok,10.9
9050,2025-04-22 13:30,2025-04-22 12:30,185,8.95,130.0,220.0,260.0,običajni pretok,10.9
9050,2025-04-22 14:30,2025-04-22 13:30,185,8.95,130.0,220.0,260.0,običajni pretok,10.9
9050,2025-04-22 15:30,2025-04-22 14:30,186,9.28,130.0,220.0,260.0,običajni pretok,10.9
9050,2025-04-22 16:30,2025-04-22 15:30,195,12.3,130.0,220.0,260.0,običajni pretok,11.0
9050,2025-04-22 17:30,2025-04-22 16:30,218,21.2,130.0,220.0,260.0,običajni pretok,11.2
9050,2025-04-22 18:30,2025-04-22 17:30,212,18.7,130.0,220.0,260.0,običajni pretok,11.1
9050,2025-04-22 19:30,2025-04-22 18:30,208,17.2,130.0,220.0,260.0,običajni pretok,11.1
9050,2025-04-22 20:30,2025-04-22 19:30,205,16.0,130.0,220.0,260.0,običajni pretok,11.0
9050,2025-04-22 21:30,2025-04-22 20:30,202,14.9,130.0,220.0,260.0,običajni pretok,11.0
9050,2025-04-22 22:30,2025-04-22 21:30,200,14.1,130.0,220.0,260.0,običajni pretok,10.9
9050,2025-04-22 23:30,2025-04-22 22:30,199,13.8,130.0,220.0,260.0,običajni pretok,10.9
9050,2025-04-23 00:30,2025-04-22 23:30,198,13.4,130.0,220.0,260.0,običajni pretok,10.9
9050,2025-04-23 02:00,2025-04-23 01:00,196,12.7,130.0,220.0,260.0,običajni pretok,10.9
9050,2025-04-23 03:30,2025-04-23 02:30,195,12.3,130.0,220.0,260.0,običajni pretok,10.8
9050,2025-04-23 04:30,2025-04-23 03:30,194,12.0,130.0,220.0,260.0,običajni pretok,10.8
9050,2025-04-23 05:30,2025-04-23 04:30,193,11.6,130.0,220.0,260.0,običajni pretok,10.8
9050,2025-04-23 06:30,2025-04-23 05:30,192,11.3,130.0,220.0,260.0,običajni pretok,10.7
9050,2025-04-23 07:30,2025-04-23 06:30,192,11.3,130.0,220.0,260.0,običajni pretok,10.7
9050,2025-04-23 08:30,2025-04-23 07:30,192,11.3,130.0,220.0,260.0,običajni pretok,10.7
9050,2025-04-23 09:30,2025-04-23 08:30,191,10.9,130.0,220.0,260.0,običajni pretok,10.7
9050,2025-04-23 10:30,2025-04-23 09:30,190,10.6,130.0,220.0,260.0,običajni pretok,10.7
9050,2025-04-23 11:30,2025-04-23 10:30,190,10.6,130.0,220.0,260.0,običajni pretok,10.7
9050,2025-04-23 12:30,2025-04-23 11:30,190,10.6,130.0,220.0,260.0,običajni pretok,10.7
9050,2025-04-23 13:30,2025-04-23 12:30,189,10.3,130.0,220.0,260.0,običajni pretok,10.8
9050,2025-04-23 14:30,2025-04-23 13:30,188,9.94,130.0,220.0,260.0,običajni pretok,10.8
9050,2025-04-23 15:30,2025-04-23 14:30,188,9.94,130.0,220.0,260.0,običajni pretok,10.9
9050,2025-04-23 16:30,2025-04-23 15:30,188,9.94,130.0,220.0,260.0,običajni pretok,11.0
9050,2025-04-23 17:30,2025-04-23 16:30,188,9.94,130.0,220.0,260.0,običajni pretok,11.0
9050,2025-04-23 18:30,2025-04-23 17:30,187,9.61,130.0,220.0,260.0,običajni pretok,11.0
9050,2025-04-23 19:30,2025-04-23 18:30,187,9.61,130.0,220.0,260.0,običajni pretok,11.0
9050,2025-04-23 20:30,2025-04-23 19:30,187,9.61,130.0,220.0,260.0,običajni pretok,11.0
9050,2025-04-23 21:30,2025-04-23 20:30,187,9.61,130.0,220.0,260.0,običajni pretok,11.0
9050,2025-04-23 22:30,2025-04-23 21:30,187,9.61,130.0,220.0,260.0,običajni pretok,11.1
9050,2025-04-23 23:30,2025-04-23 22:30,187,9.61,130.0,220.0,260.0,običajni pretok,11.1
9050,2025-04-24 00:30,2025-04-23 23:30,188,9.94,130.0,220.0,260.0,običajni pretok,11.1
