sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
3850,2025-04-19 22:30,2025-04-19 21:30,229,407,1684.0,2580.0,3000.0,običajni pretok,12.8
3850,2025-04-22 07:30,2025-04-22 06:30,182,259,1684.0,2580.0,3000.0,običajni pretok,13.9
3850,2025-04-22 10:30,2025-04-22 09:30,182,259,1684.0,2580.0,3000.0,običajni pretok,13.6
3850,2025-04-22 11:00,2025-04-22 10:00,181,256,1684.0,2580.0,3000.0,običajni pretok,13.6
3850,2025-04-22 11:30,2025-04-22 10:30,178,248,1684.0,2580.0,3000.0,običajni pretok,13.6
3850,2025-04-22 12:30,2025-04-22 11:30,177,245,1684.0,2580.0,3000.0,običajni pretok,13.8
3850,2025-04-22 13:30,2025-04-22 12:30,176,242,1684.0,2580.0,3000.0,običajni pretok,14.0
3850,2025-04-22 14:30,2025-04-22 13:30,176,242,1684.0,2580.0,3000.0,običajni pretok,14.2
3850,2025-04-22 15:30,2025-04-22 14:30,177,245,1684.0,2580.0,3000.0,običajni pretok,14.3
3850,2025-04-22 16:30,2025-04-22 15:30,176,242,1684.0,2580.0,3000.0,običajni pretok,14.5
3850,2025-04-22 17:30,2025-04-22 16:30,176,242,1684.0,2580.0,3000.0,običajni pretok,14.5
3850,2025-04-22 18:30,2025-04-22 17:30,176,242,1684.0,2580.0,3000.0,običajni pretok,14.6
3850,2025-04-22 19:30,2025-04-22 18:30,176,242,1684.0,2580.0,3000.0,običajni pretok,14.5
3850,2025-04-22 20:30,2025-04-22 19:30,176,242,1684.0,2580.0,3000.0,običajni pretok,14.5
3850,2025-04-22 21:30,2025-04-22 20:30,175,240,1684.0,2580.0,3000.0,običajni pretok,14.7
3850,2025-04-22 22:30,2025-04-22 21:30,175,240,1684.0,2580.0,3000.0,običajni pretok,14.7
3850,2025-04-22 23:30,2025-04-22 22:30,174,237,1684.0,2580.0,3000.0,običajni pretok,14.7
3850,2025-04-23 00:30,2025-04-22 23:30,176,242,1684.0,2580.0,3000.0,običajni pretok,14.7
3850,2025-04-23 02:00,2025-04-23 01:00,182,259,1684.0,2580.0,3000.0,običajni pretok,14.7
3850,2025-04-23 03:30,2025-04-23 02:30,182,259,1684.0,2580.0,3000.0,običajni pretok,14.8
3850,2025-04-23 04:30,2025-04-23 03:30,182,259,1684.0,2580.0,3000.0,običajni pretok,14.8
3850,2025-04-23 05:30,2025-04-23 04:30,179,251,1684.0,2580.0,3000.0,običajni pretok,14.7
3850,2025-04-23 06:30,2025-04-23 05:30,179,251,1684.0,2580.0,3000.0,običajni pretok,14.6
3850,2025-04-23 07:30,2025-04-23 06:30,182,259,1684.0,2580.0,3000.0,običajni pretok,14.6
3850,2025-04-23 08:30,2025-04-23 07:30,182,259,1684.0,2580.0,3000.0,običajni pretok,14.6
3850,2025-04-23 09:30,2025-04-23 08:30,185,268,1684.0,2580.0,3000.0,običajni pretok,14.6
3850,2025-04-23 10:30,2025-04-23 09:30,185,268,1684.0,2580.0,3000.0,običajni pretok,14.6
3850,2025-04-23 11:30,2025-04-23 10:30,186,270,1684.0,2580.0,3000.0,običajni pretok,14.6
3850,2025-04-23 12:30,2025-04-23 11:30,181,256,1684.0,2580.0,3000.0,običajni pretok,14.6
