sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
2640,2025-04-19 22:30,2025-04-19 21:30,37,3.02,47.0,80.0,140.0,običajni pretok,12.4
2640,2025-04-22 07:30,2025-04-22 06:30,34,2.7,47.0,80.0,140.0,običajni pretok,14.0
2640,2025-04-22 10:30,2025-04-22 09:30,34,2.7,47.0,80.0,140.0,običajni pretok,14.0
2640,2025-04-22 11:00,2025-04-22 10:00,34,2.7,47.0,80.0,140.0,običajni pretok,14.0
2640,2025-04-22 11:30,2025-04-22 10:30,34,2.7,47.0,80.0,140.0,običajni pretok,14.1
2640,2025-04-22 12:30,2025-04-22 11:30,34,2.7,47.0,80.0,140.0,običajni pretok,14.3
2640,2025-04-22 13:30,2025-04-22 12:30,34,2.7,47.0,80.0,140.0,običajni pretok,14.7
2640,2025-04-22 14:30,2025-04-22 13:30,34,2.7,47.0,80.0,140.0,običajni pretok,15.0
2640,2025-04-22 15:30,2025-04-22 14:30,34,2.7,47.0,80.0,140.0,običajni pretok,15.3
2640,2025-04-22 16:30,2025-04-22 15:30,34,2.7,47.0,80.0,140.0,običajni pretok,15.5
2640,2025-04-22 17:30,2025-04-22 16:30,35,2.8,47.0,80.0,140.0,običajni pretok,15.7
2640,2025-04-22 18:30,2025-04-22 17:30,35,2.8,47.0,80.0,140.0,običajni pretok,15.6
2640,2025-04-22 19:30,2025-04-22 18:30,34,2.7,47.0,80.0,140.0,običajni pretok,15.5
2640,2025-04-22 20:30,2025-04-22 19:30,34,2.7,47.0,80.0,140.0,običajni pretok,15.3
2640,2025-04-22 21:30,2025-04-22 20:30,34,2.7,47.0,80.0,140.0,običajni pretok,15.2
2640,2025-04-22 22:30,2025-04-22 21:30,33,2.6,47.0,80.0,140.0,običajni pretok,15.0
2640,2025-04-22 23:30,2025-04-22 22:30,33,2.6,47.0,80.0,140.0,običajni pretok,14.8
2640,2025-04-23 00:30,2025-04-22 23:30,33,2.6,47.0,80.0,140.0,običajni pretok,14.6
2640,2025-04-23 02:00,2025-04-23 01:00,33,2.6,47.0,80.0,140.0,običajni pretok,14.3
2640,2025-04-23 03:30,2025-04-23 02:30,33,2.6,47.0,80.0,140.0,običajni pretok,14.1
2640,2025-04-23 04:30,2025-04-23 03:30,33,2.6,47.0,80.0,140.0,običajni pretok,14.0
2640,2025-04-23 05:30,2025-04-23 04:30,33,2.6,47.0,80.0,140.0,običajni pretok,13.9
2640,2025-04-23 06:30,2025-04-23 05:30,33,2.6,47.0,80.0,140.0,običajni pretok,13.8
2640,2025-04-23 07:30,2025-04-23 06:30,33,2.6,47.0,80.0,140.0,običajni pretok,13.7
2640,2025-04-23 08:30,2025-04-23 07:30,33,2.6,47.0,80.0,140.0,običajni pretok,13.7
2640,2025-04-23 09:30,2025-04-23 08:30,33,2.6,47.0,80.0,140.0,običajni pretok,13.7
2640,2025-04-23 10:30,2025-04-23 09:30,33,2.6,47.0,80.0,140.0,običajni pretok,13.8
2640,2025-04-23 11:30,2025-04-23 10:30,34,2.7,47.0,80.0,140.0,običajni pretok,13.9
2640,2025-04-23 12:30,2025-04-23 11:30,33,2.6,47.0,80.0,140.0,običajni pretok,14.2
2640,2025-04-23 13:30,2025-04-23 12:30,34,2.7,47.0,80.0,140.0,običajni pretok,14.5
2640,2025-04-23 14:30,2025-04-23 13:30,34,2.7,47.0,80.0,140.0,običajni pretok,14.8
2640,2025-04-23 15:30,2025-04-23 14:30,34,2.7,47.0,80.0,140.0,običajni pretok,14.9
2640,2025-04-23 16:30,2025-04-23 15:30,33,2.6,47.0,80.0,140.0,običajni pretok,15.0
2640,2025-04-23 17:30,2025-04-23 16:30,34,2.7,47.0,80.0,140.0,običajni pretok,15.1
2640,2025-04-23 18:30,2025-04-23 17:30,34,2.7,47.0,80.0,140.0,običajni pretok,15.0
2640,2025-04-23 19:30,2025-04-23 18:30,34,2.7,47.0,80.0,140.0,običajni pretok,14.8
2640,2025-04-23 20:30,2025-04-23 19:30,34,2.7,47.0,80.0,140.0,običajni pretok,14.7
2640,2025-04-23 21:30,2025-04-23 20:30,34,2.7,47.0,80.0,140.0,običajni pretok,14.5
2640,2025-04-23 22:30,2025-04-23 21:30,34,2.7,47.0,80.0,140.0,običajni pretok,14.4
2640,2025-04-23 23:30,2025-04-23 22:30,33,2.6,47.0,80.0,140.0,običajni pretok,14.2
2640,2025-04-24 00:30,2025-04-23 23:30,34,2.7,47.0,80.0,140.0,običajni pretok,14.0
2640,2025-04-24 02:00,2025-04-24 01:00,33,2.6,47.0,80.0,140.0,običajni pretok,13.8
2640,2025-04-24 03:30,2025-04-24 02:30,33,2.6,47.0,80.0,140.0,običajni pretok,13.6
2640,2025-04-24 04:30,2025-04-24 03:30,34,2.7,47.0,80.0,140.0,običajni pretok,13.5
