sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
4969,2025-04-19 22:30,2025-04-19 21:30,122,4.86,55.0,95.0,110.0,običajni pretok,13.3
4969,2025-04-22 07:30,2025-04-22 06:30,120,4.13,55.0,95.0,110.0,običajni pretok,13.6
4969,2025-04-22 10:30,2025-04-22 09:30,120,4.13,55.0,95.0,110.0,običajni pretok,13.7
4969,2025-04-22 11:00,2025-04-22 10:00,120,4.13,55.0,95.0,110.0,običajni pretok,13.8
4969,2025-04-22 11:30,2025-04-22 10:30,120,4.13,55.0,95.0,110.0,običajni pretok,13.9
4969,2025-04-22 12:30,2025-04-22 11:30,121,4.49,55.0,95.0,110.0,običajni pretok,13.9
4969,2025-04-22 13:30,2025-04-22 12:30,121,4.49,55.0,95.0,110.0,običajni pretok,14.0
4969,2025-04-22 14:30,2025-04-22 13:30,121,4.49,55.0,95.0,110.0,običajni pretok,14.1
4969,2025-04-22 15:30,2025-04-22 14:30,120,4.13,55.0,95.0,110.0,običajni pretok,13.9
4969,2025-04-22 16:30,2025-04-22 15:30,120,4.13,55.0,95.0,110.0,običajni pretok,13.9
4969,2025-04-22 17:30,2025-04-22 16:30,120,4.13,55.0,95.0,110.0,običajni pretok,14.0
4969,2025-04-22 18:30,2025-04-22 17:30,120,4.13,55.0,95.0,110.0,običajni pretok,14.1
4969,2025-04-22 19:30,2025-04-22 18:30,120,4.13,55.0,95.0,110.0,običajni pretok,14.0
4969,2025-04-22 20:30,2025-04-22 19:30,120,4.13,55.0,95.0,110.0,običajni pretok,14.0
4969,2025-04-22 21:30,2025-04-22 20:30,120,4.13,55.0,95.0,110.0,običajni pretok,14.0
4969,2025-04-22 22:30,2025-04-22 21:30,120,4.13,55.0,95.0,110.0,običajni pretok,13.9
4969,2025-04-22 23:30,2025-04-22 22:30,120,4.13,55.0,95.0,110.0,običajni pretok,13.8
4969,2025-04-23 00:30,2025-04-22 23:30,120,4.13,55.0,95.0,110.0,običajni pretok,13.8
4969,2025-04-23 02:00,2025-04-23 01:00,120,4.13,55.0,95.0,110.0,običajni pretok,13.8
4969,2025-04-23 03:30,2025-04-23 02:30,120,4.13,55.0,95.0,110.0,običajni pretok,13.8
4969,2025-04-23 04:30,2025-04-23 03:30,120,4.13,55.0,95.0,110.0,običajni pretok,13.8
4969,2025-04-23 05:30,2025-04-23 04:30,120,4.13,55.0,95.0,110.0,običajni pretok,13.9
4969,2025-04-23 06:30,2025-04-23 05:30,120,4.13,55.0,95.0,110.0,običajni pretok,13.9
4969,2025-04-23 07:30,2025-04-23 06:30,120,4.13,55.0,95.0,110.0,običajni pretok,13.9
4969,2025-04-23 08:30,2025-04-23 07:30,120,4.13,55.0,95.0,110.0,običajni pretok,13.9
4969,2025-04-23 09:30,2025-04-23 08:30,120,4.13,55.0,95.0,110.0,običajni pretok,14.0
4969,2025-04-23 10:30,2025-04-23 09:30,119,3.78,55.0,95.0,110.0,običajni pretok,14.1
4969,2025-04-23 11:30,2025-04-23 10:30,114,2.18,55.0,95.0,110.0,običajni pretok,14.1
4969,2025-04-23 12:30,2025-04-23 11:30,114,2.18,55.0,95.0,110.0,običajni pretok,14.2
4969,2025-04-23 13:30,2025-04-23 12:30,114,2.18,55.0,95.0,110.0,običajni pretok,14.4
4969,2025-04-23 14:30,2025-04-23 13:30,114,2.18,55.0,95.0,110.0,običajni pretok,14.6
4969,2025-04-23 15:30,2025-04-23 14:30,114,2.18,55.0,95.0,110.0,običajni pretok,14.6
4969,2025-04-23 16:30,2025-04-23 15:30,114,2.18,55.0,95.0,110.0,običajni pretok,14.6
4969,2025-04-23 17:30,2025-04-23 16:30,114,2.18,55.0,95.0,110.0,običajni pretok,14.6
4969,2025-04-23 18:30,2025-04-23 17:30,114,2.18,55.0,95.0,110.0,običajni pretok,14.7
4969,2025-04-23 19:30,2025-04-23 18:30,114,2.18,55.0,95.0,110.0,običajni pretok,14.7
4969,2025-04-23 20:30,2025-04-23 19:30,114,2.18,55.0,95.0,110.0,običajni pretok,14.7
4969,2025-04-23 21:30,2025-04-23 20:30,114,2.18,55.0,95.0,110.0,običajni pretok,14.6
4969,2025-04-23 22:30,2025-04-23 21:30,113,1.91,55.0,95.0,110.0,običajni pretok,14.5
4969,2025-04-23 23:30,2025-04-23 22:30,113,1.91,55.0,95.0,110.0,običajni pretok,14.5
4969,2025-04-24 00:30,2025-04-23 23:30,113,1.91,55.0,95.0,110.0,običajni pretok,14.4
4969,2025-04-24 02:00,2025-04-24 01:00,113,1.91,55.0,95.0,110.0,običajni pretok,14.1
4969,2025-04-24 03:30,2025-04-24 02:30,113,1.91,55.0,95.0,110.0,običajni pretok,14.0
4969,2025-04-24 04:30,2025-04-24 03:30,113,1.91,55.0,95.0,110.0,običajni pretok,14.0
4969,2025-04-24 05:30,2025-04-24 04:30,113,1.91,55.0,95.0,110.0,običajni pretok,13.9
4969,2025-04-24 06:30,2025-04-24 05:30,113,1.91,55.0,95.0,110.0,običajni pretok,13.9
4969,2025-04-24 07:30,2025-04-24 06:30,113,1.91,55.0,95.0,110.0,običajni pretok,13.9
4969,2025-04-24 08:30,2025-04-24 07:30,113,1.91,55.0,95.0,110.0,običajni pretok,13.9
4969,2025-04-24 09:30,2025-04-24 08:30,113,1.91,55.0,95.0,110.0,običajni pretok,13.9
4969,2025-04-24 10:30,2025-04-24 09:30,113,1.91,55.0,95.0,110.0,običajni pretok,14.0
4969,2025-04-24 11:30,2025-04-24 10:30,113,1.91,55.0,95.0,110.0,običajni pretok,14.1
4969,2025-04-24 12:30,2025-04-24 11:30,113,1.91,55.0,95.0,110.0,običajni pretok,14.4
4969,2025-04-24 13:30,2025-04-24 12:30,113,1.91,55.0,95.0,110.0,običajni pretok,14.4
4969,2025-04-24 14:30,2025-04-24 13:30,113,1.91,55.0,95.0,110.0,običajni pretok,14.2
4969,2025-04-24 15:30,2025-04-24 14:30,114,2.18,55.0,95.0,110.0,običajni pretok,14.6
4969,2025-04-24 16:30,2025-04-24 15:30,114,2.18,55.0,95.0,110.0,običajni pretok,14.6
4969,2025-04-24 17:30,2025-04-24 16:30,114,2.18,55.0,95.0,110.0,običajni pretok,14.6
4969,2025-04-24 18:30,2025-04-24 17:30,115,2.48,55.0,95.0,110.0,običajni pretok,14.5
4969,2025-04-24 19:30,2025-04-24 18:30,115,2.48,55.0,95.0,110.0,običajni pretok,14.5
4969,2025-04-24 20:30,2025-04-24 19:30,115,2.48,55.0,95.0,110.0,običajni pretok,14.5
4969,2025-04-24 21:30,2025-04-24 20:30,115,2.48,55.0,95.0,110.0,običajni pretok,14.5
4969,2025-04-24 22:30,2025-04-24 21:30,115,2.48,55.0,95.0,110.0,običajni pretok,14.5
4969,2025-04-24 23:30,2025-04-24 22:30,116,2.79,55.0,95.0,110.0,običajni pretok,14.4
4969,2025-04-25 00:30,2025-04-24 23:30,116,2.79,55.0,95.0,110.0,običajni pretok,14.4
4969,2025-04-25 02:00,2025-04-25 01:00,116,2.79,55.0,95.0,110.0,običajni pretok,14.2
4969,2025-04-25 03:30,2025-04-25 02:30,117,3.11,55.0,95.0,110.0,običajni pretok,14.2
4969,2025-04-25 04:30,2025-04-25 03:30,118,3.44,55.0,95.0,110.0,običajni pretok,14.1
4969,2025-04-25 05:30,2025-04-25 04:30,119,3.78,55.0,95.0,110.0,običajni pretok,14.0
4969,2025-04-25 06:30,2025-04-25 05:30,120,4.13,55.0,95.0,110.0,običajni pretok,13.9
4969,2025-04-25 07:30,2025-04-25 06:30,120,4.13,55.0,95.0,110.0,običajni pretok,13.9
4969,2025-04-25 08:30,2025-04-25 07:30,121,4.49,55.0,95.0,110.0,običajni pretok,13.9
4969,2025-04-25 09:30,2025-04-25 08:30,122,4.86,55.0,95.0,110.0,običajni pretok,13.9
4969,2025-04-25 10:30,2025-04-25 09:30,122,4.86,55.0,95.0,110.0,običajni pretok,14.0
4969,2025-04-25 11:30,2025-04-25 10:30,123,5.25,55.0,95.0,110.0,običajni pretok,14
