sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
6060,2025-04-19 22:30,2025-04-19 21:30,78,20.9,310.0,420.0,530.0,običajni pretok,11.2
6060,2025-04-22 07:30,2025-04-22 06:30,74,18.5,310.0,420.0,530.0,običajni pretok,10.3
6060,2025-04-22 10:30,2025-04-22 09:30,73,17.9,310.0,420.0,530.0,običajni pretok,10.5
6060,2025-04-22 11:00,2025-04-22 10:00,73,17.9,310.0,420.0,530.0,običajni pretok,10.6
6060,2025-04-22 11:30,2025-04-22 10:30,72,17.3,310.0,420.0,530.0,običajni pretok,10.8
6060,2025-04-22 12:30,2025-04-22 11:30,64,13.2,310.0,420.0,530.0,običajni pretok,11.4
6060,2025-04-22 13:30,2025-04-22 12:30,73,17.9,310.0,420.0,530.0,običajni pretok,11.7
6060,2025-04-22 14:30,2025-04-22 13:30,71,16.8,310.0,420.0,530.0,običajni pretok,12.3
6060,2025-04-22 15:30,2025-04-22 14:30,70,16.2,310.0,420.0,530.0,običajni pretok,12.9
6060,2025-04-22 16:30,2025-04-22 15:30,70,16.2,310.0,420.0,530.0,običajni pretok,13.3
6060,2025-04-22 17:30,2025-04-22 16:30,70,16.2,310.0,420.0,530.0,običajni pretok,13.5
6060,2025-04-22 18:30,2025-04-22 17:30,70,16.2,310.0,420.0,530.0,običajni pretok,13.4
6060,2025-04-22 19:30,2025-04-22 18:30,69,15.7,310.0,420.0,530.0,običajni pretok,13.4
6060,2025-04-22 20:30,2025-04-22 19:30,69,15.7,310.0,420.0,530.0,običajni pretok,13.3
6060,2025-04-22 21:30,2025-04-22 20:30,69,15.7,310.0,420.0,530.0,običajni pretok,13.1
6060,2025-04-22 22:30,2025-04-22 21:30,68,15.2,310.0,420.0,530.0,običajni pretok,12.9
6060,2025-04-22 23:30,2025-04-22 22:30,68,15.2,310.0,420.0,530.0,običajni pretok,12.7
6060,2025-04-23 00:30,2025-04-22 23:30,68,15.2,310.0,420.0,530.0,običajni pretok,12.5
6060,2025-04-23 02:00,2025-04-23 01:00,68,15.2,310.0,420.0,530.0,običajni pretok,12.1
6060,2025-04-23 03:30,2025-04-23 02:30,67,14.6,310.0,420.0,530.0,običajni pretok,11.7
6060,2025-04-23 04:30,2025-04-23 03:30,67,14.6,310.0,420.0,530.0,običajni pretok,11.4
6060,2025-04-23 05:30,2025-04-23 04:30,65,13.6,310.0,420.0,530.0,običajni pretok,11.2
6060,2025-04-23 06:30,2025-04-23 05:30,69,15.7,310.0,420.0,530.0,običajni pretok,11.0
6060,2025-04-23 07:30,2025-04-23 06:30,68,15.2,310.0,420.0,530.0,običajni pretok,10.9
6060,2025-04-23 08:30,2025-04-23 07:30,69,15.7,310.0,420.0,530.0,običajni pretok,10.8
6060,2025-04-23 09:30,2025-04-23 08:30,68,15.2,310.0,420.0,530.0,običajni pretok,10.9
6060,2025-04-23 10:30,2025-04-23 09:30,68,15.2,310.0,420.0,530.0,običajni pretok,11.0
6060,2025-04-23 11:30,2025-04-23 10:30,68,15.2,310.0,420.0,530.0,običajni pretok,11.4
6060,2025-04-23 12:30,2025-04-23 11:30,68,15.2,310.0,420.0,530.0,običajni pretok,11.5
6060,2025-04-23 13:30,2025-04-23 12:30,68,15.2,310.0,420.0,530.0,običajni pretok,11.5
6060,2025-04-23 14:30,2025-04-23 13:30,68,15.2,310.0,420.0,530.0,običajni pretok,11.5
