sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
2652,2025-04-19 22:30,2025-04-19 21:30,122,7.02,120.0,190.0,240.0,običajni pretok,14.4
2652,2025-04-22 07:30,2025-04-22 06:30,116,5.51,120.0,190.0,240.0,običajni pretok,15.0
2652,2025-04-22 10:30,2025-04-22 09:30,115,5.27,120.0,190.0,240.0,običajni pretok,15.2
2652,2025-04-22 11:00,2025-04-22 10:00,114,5.04,120.0,190.0,240.0,običajni pretok,15.2
2652,2025-04-22 11:30,2025-04-22 10:30,112,4.58,120.0,190.0,240.0,običajni pretok,15.2
2652,2025-04-22 12:30,2025-04-22 11:30,118,6.0,120.0,190.0,240.0,običajni pretok,15.5
2652,2025-04-22 13:30,2025-04-22 12:30,121,6.76,120.0,190.0,240.0,običajni pretok,15.8
2652,2025-04-22 14:30,2025-04-22 13:30,120,6.5,120.0,190.0,240.0,običajni pretok,16.1
2652,2025-04-22 15:30,2025-04-22 14:30,110,4.14,120.0,190.0,240.0,običajni pretok,16.3
2652,2025-04-22 16:30,2025-04-22 15:30,109,3.92,120.0,190.0,240.0,mali pretok,16.4
2652,2025-04-22 17:30,2025-04-22 16:30,121,6.76,120.0,190.0,240.0,običajni pretok,16.7
2652,2025-04-22 18:30,2025-04-22 17:30,119,6.25,120.0,190.0,240.0,običajni pretok,16.7
2652,2025-04-22 19:30,2025-04-22 18:30,115,5.27,120.0,190.0,240.0,običajni pretok,16.6
2652,2025-04-22 20:30,2025-04-22 19:30,115,5.27,120.0,190.0,240.0,običajni pretok,16.7
2652,2025-04-22 21:30,2025-04-22 20:30,115,5.27,120.0,190.0,240.0,običajni pretok,16.7
2652,2025-04-22 22:30,2025-04-22 21:30,114,5.04,120.0,190.0,240.0,običajni pretok,16.7
2652,2025-04-22 23:30,2025-04-22 22:30,114,5.04,120.0,190.0,240.0,običajni pretok,16.5
2652,2025-04-23 00:30,2025-04-22 23:30,115,5.27,120.0,190.0,240.0,običajni pretok,16.3
2652,2025-04-23 02:00,2025-04-23 01:00,115,5.27,120.0,190.0,240.0,običajni pretok,16.1
2652,2025-04-23 03:30,2025-04-23 02:30,116,5.51,120.0,190.0,240.0,običajni pretok,15.8
