sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
7235,2025-04-19 22:30,2025-04-19 21:30,78,0.631,9.0,20.0,34.0,običajni pretok,12.0
7235,2025-04-22 07:30,2025-04-22 06:30,77,0.592,9.0,20.0,34.0,običajni pretok,11.2
7235,2025-04-22 10:30,2025-04-22 09:30,77,0.592,9.0,20.0,34.0,običajni pretok,11.1
7235,2025-04-22 11:00,2025-04-22 10:00,78,0.631,9.0,20.0,34.0,običajni pretok,11.2
7235,2025-04-22 11:30,2025-04-22 10:30,77,0.592,9.0,20.0,34.0,običajni pretok,11.3
7235,2025-04-22 12:30,2025-04-22 11:30,77,0.592,9.0,20.0,34.0,običajni pretok,11.5
7235,2025-04-22 13:30,2025-04-22 12:30,78,0.631,9.0,20.0,34.0,običajni pretok,12.0
7235,2025-04-22 14:30,2025-04-22 13:30,77,0.592,9.0,20.0,34.0,običajni pretok,12.4
7235,2025-04-22 15:30,2025-04-22 14:30,77,0.592,9.0,20.0,34.0,običajni pretok,12.9
7235,2025-04-22 16:30,2025-04-22 15:30,77,0.592,9.0,20.0,34.0,običajni pretok,13.2
7235,2025-04-22 17:30,2025-04-22 16:30,77,0.592,9.0,20.0,34.0,običajni pretok,13.4
7235,2025-04-22 18:30,2025-04-22 17:30,77,0.592,9.0,20.0,34.0,običajni pretok,13.6
7235,2025-04-22 19:30,2025-04-22 18:30,77,0.592,9.0,20.0,34.0,običajni pretok,13.7
7235,2025-04-22 20:30,2025-04-22 19:30,77,0.592,9.0,20.0,34.0,običajni pretok,13.8
7235,2025-04-22 21:30,2025-04-22 20:30,77,0.592,9.0,20.0,34.0,običajni pretok,13.7
7235,2025-04-22 22:30,2025-04-22 21:30,77,0.592,9.0,20.0,34.0,običajni pretok,13.5
7235,2025-04-22 23:30,2025-04-22 22:30,77,0.592,9.0,20.0,34.0,običajni pretok,13.3
7235,2025-04-23 00:30,2025-04-22 23:30,77,0.592,9.0,20.0,34.0,običajni pretok,13.0
7235,2025-04-23 02:00,2025-04-23 01:00,77,0.592,9.0,20.0,34.0,običajni pretok,12.6
7235,2025-04-23 03:30,2025-04-23 02:30,77,0.592,9.0,20.0,34.0,običajni pretok,12.2
7235,2025-04-23 04:30,2025-04-23 03:30,77,0.592,9.0,20.0,34.0,običajni pretok,12.0
7235,2025-04-23 05:30,2025-04-23 04:30,77,0.592,9.0,20.0,34.0,običajni pretok,11.8
