sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
7235,2025-04-19 22:30,2025-04-19 21:30,78,0.631,9.0,20.0,34.0,običajni pretok,12.0
7235,2025-04-22 07:30,2025-04-22 06:30,77,0.592,9.0,20.0,34.0,običajni pretok,11.2
7235,2025-04-22 10:30,2025-04-22 09:30,77,0.592,9.0,20.0,34.0,običajni pretok,11.1
7235,2025-04-22 11:00,2025-04-22 10:00,78,0.631,9.0,20.0,34.0,običajni pretok,11.2
7235,2025-04-22 11:30,2025-04-22 10:30,77,0.592,9.0,20.0,34.0,običajni pretok,11.3
7235,2025-04-22 12:30,2025-04-22 11:30,77,0.592,9.0,20.0,34.0,običajni pretok,11.5
7235,2025-04-22 13:30,2025-04-22 12:30,78,0.631,9.0,20.0,34.0,običajni pretok,12.0
7235,2025-04-22 14:30,2025-04-22 13:30,77,0.592,9.0,20.0,34.0,običajni pretok,12.4
7235,2025-04-22 15:30,2025-04-22 14:30,77,0.592,9.0,20.0,34.0,običajni pretok,12.9
7235,2025-04-22 16:30,2025-04-22 15:30,77,0.592,9.0,20.0,34.0,običajni pretok,13.2
7235,2025-04-22 17:30,2025-04-22 16:30,77,0.592,9.0,20.0,34.0,običajni pretok,13.4
7235,2025-04-22 18:30,2025-04-22 17:30,77,0.592,9.0,20.0,34.0,običajni pretok,13.6
7235,2025-04-22 19:30,2025-04-22 18:30,77,0.592,9.0,20.0,34.0,običajni pretok,13.7
7235,2025-04-22 20:30,2025-04-22 19:30,77,0.592,9.0,20.0,34.0,običajni pretok,13.8
7235,2025-04-22 21:30,2025-04-22 20:30,77,0.592,9.0,20.0,34.0,običajni pretok,13.7
7235,2025-04-22 22:30,2025-04-22 21:30,77,0.592,9.0,20.0,34.0,običajni pretok,13.5
7235,2025-04-22 23:30,2025-04-22 22:30,77,0.592,9.0,20.0,34.0,običajni pretok,13.3
7235,2025-04-23 00:30,2025-04-22 23:30,77,0.592,9.0,20.0,34.0,običajni pretok,13.0
7235,2025-04-23 02:00,2025-04-23 01:00,77,0.592,9.0,20.0,34.0,običajni pretok,12.6
7235,2025-04-23 03:30,2025-04-23 02:30,77,0.592,9.0,20.0,34.0,običajni pretok,12.2
7235,2025-04-23 04:30,2025-04-23 03:30,77,0.592,9.0,20.0,34.0,običajni pretok,12.0
7235,2025-04-23 05:30,2025-04-23 04:30,77,0.592,9.0,20.0,34.0,običajni pretok,11.8
7235,2025-04-23 06:30,2025-04-23 05:30,77,0.592,9.0,20.0,34.0,običajni pretok,11.5
7235,2025-04-23 07:30,2025-04-23 06:30,77,0.592,9.0,20.0,34.0,običajni pretok,11.4
7235,2025-04-23 08:30,2025-04-23 07:30,77,0.592,9.0,20.0,34.0,običajni pretok,11.2
7235,2025-04-23 09:30,2025-04-23 08:30,77,0.592,9.0,20.0,34.0,običajni pretok,11.1
7235,2025-04-23 10:30,2025-04-23 09:30,77,0.592,9.0,20.0,34.0,običajni pretok,11.1
7235,2025-04-23 11:30,2025-04-23 10:30,77,0.592,9.0,20.0,34.0,običajni pretok,11.2
7235,2025-04-23 12:30,2025-04-23 11:30,77,0.592,9.0,20.0,34.0,običajni pretok,11.2
7235,2025-04-23 13:30,2025-04-23 12:30,77,0.592,9.0,20.0,34.0,običajni pretok,11.4
7235,2025-04-23 14:30,2025-04-23 13:30,77,0.592,9.0,20.0,34.0,običajni pretok,11.5
7235,2025-04-23 15:30,2025-04-23 14:30,77,0.592,9.0,20.0,34.0,običajni pretok,11.7
7235,2025-04-23 16:30,2025-04-23 15:30,77,0.592,9.0,20.0,34.0,običajni pretok,12.0
7235,2025-04-23 17:30,2025-04-23 16:30,77,0.592,9.0,20.0,34.0,običajni pretok,12.3
7235,2025-04-23 18:30,2025-04-23 17:30,77,0.592,9.0,20.0,34.0,običajni pretok,12.5
7235,2025-04-23 19:30,2025-04-23 18:30,77,0.592,9.0,20.0,34.0,običajni pretok,12.7
7235,2025-04-23 20:30,2025-04-23 19:30,77,0.592,9.0,20.0,34.0,običajni pretok,12.8
7235,2025-04-23 21:30,2025-04-23 20:30,77,0.592,9.0,20.0,34.0,običajni pretok,12.8
7235,2025-04-23 22:30,2025-04-23 21:30,77,0.592,9.0,20.0,34.0,običajni pretok,12.7
7235,2025-04-23 23:30,2025-04-23 22:30,77,0.592,9.0,20.0,34.0,običajni pretok,12.6
7235,2025-04-24 00:30,2025-04-23 23:30,76,0.555,9.0,20.0,34.0,običajni pretok,12.4
7235,2025-04-24 02:00,2025-04-24 01:00,76,0.555,9.0,20.0,34.0,običajni pretok,12.1
7235,2025-04-24 03:30,2025-04-24 02:30,76,0.555,9.0,20.0,34.0,običajni pretok,11.7
7235,2025-04-24 04:30,2025-04-24 03:30,76,0.555,9.0,20.0,34.0,običajni pretok,11.4
7235,2025-04-24 05:30,2025-04-24 04:30,76,0.555,9.0,20.0,34.0,običajni pretok,11.1
7235,2025-04-24 06:30,2025-04-24 05:30,76,0.555,9.0,20.0,34.0,običajni pretok,10.9
7235,2025-04-24 07:30,2025-04-24 06:30,77,0.592,9.0,20.0,34.0,običajni pretok,10.7
7235,2025-04-24 08:30,2025-04-24 07:30,77,0.592,9.0,20.0,34.0,običajni pretok,10.6
7235,2025-04-24 09:30,2025-04-24 08:30,77,0.592,9.0,20.0,34.0,običajni pretok,10.6
7235,2025-04-24 10:30,2025-04-24 09:30,77,0.592,9.0,20.0,34.0,običajni pretok,10.7
7235,2025-04-24 11:30,2025-04-24 10:30,77,0.592,9.0,20.0,34.0,običajni pretok,10.9
7235,2025-04-24 12:30,2025-04-24 11:30,77,0.592,9.0,20.0,34.0,običajni pretok,11.2
7235,2025-04-24 13:30,2025-04-24 12:30,77,0.592,9.0,20.0,34.0,običajni pretok,11.7
7235,2025-04-24 14:30,2025-04-24 13:30,77,0.592,9.0,20.0,34.0,običajni pretok,12.2
7235,2025-04-24 15:30,2025-04-24 14:30,78,0.631,9.0,20.0,34.0,običajni pretok,12.6
7235,2025-04-24 16:30,2025-04-24 15:30,78,0.631,9.0,20.0,34.0,običajni pretok,12.7
7235,2025-04-24 17:30,2025-04-24 16:30,78,0.631,9.0,20.0,34.0,običajni pretok,12.8
7235,2025-04-24 18:30,2025-04-24 17:30,78,0.631,9.0,20.0,34.0,običajni pretok,12.8
7235,2025-04-24 19:30,2025-04-24 18:30,78,0.631,9.0,20.0,34.0,običajni pretok,12.8
7235,2025-04-24 20:30,2025-04-24 19:30,78,0.631,9.0,20.0,34.0,običajni pretok,12.8
7235,2025-04-24 21:30,2025-04-24 20:30,78,0.631,9.0,20.0,34.0,običajni pretok,12.7
7235,2025-04-24 22:30,2025-04-24 21:30,77,0.592,9.0,20.0,34.0,običajni pretok,12.6
7235,2025-04-24 23:30,2025-04-24 22:30,77,0.592,9.0,20.0,34.0,običajni pretok,12.4
7235,2025-04-25 00:30,2025-04-24 23:30,78,0.631,9.0,20.0,34.0,običajni pretok,12.2
7235,2025-04-25 02:00,2025-04-25 01:00,78,0.631,9.0,20.0,34.0,običajni pretok,12.0
7235,2025-04-25 03:30,2025-04-25 02:30,78,0.631,9.0,20.0,34.0,običajni pretok,11.6
7235,2025-04-25 04:30,2025-04-25 03:30,79,0.671,9.0,20.0,34.0,običajni pretok,11.5
7235,2025-04-25 05:30,2025-04-25 04:30,80,0.713,9.0,20.0,34.0,običajni pretok,11.4
7235,2025-04-25 06:30,2025-04-25 05:30,81,0.757,9.0,20.0,34.0,običajni pretok,11.2
7235,2025-04-25 07:30,2025-04-25 06:30,83,0.85,9.0,20.0,34.0,običajni pretok,11.1
7235,2025-04-25 08:30,2025-04-25 07:30,87,1.06,9.0,20.0,34.0,veliki pretok,11.0
7235,2025-04-25 09:30,2025-04-25 08:30,92,1.36,9.0,20.0,34.0,veliki pretok,11.0
7235,2025-04-25 10:30,2025-04-25 09:30,100,1.86,9.0,20.0,34.0,veliki pretok,10.9
7235,2025-04-25 11:30,2025-04-25 10:30,100,1.86,9.0,20.0,34.0,veliki pretok,10.9
7235,2025-04-25 12:30,2025-04-25 11:30,103,2.04,9.0,20.0,34.0,veliki pretok,10.8
7235,2025-04-25 13:30,2025-04-25 12:30,103,2.04,9.0,20.0,34.0,veliki pretok,11.2
7235,2025-04-25 14:30,2025-04-25 13:30,100,1.86,9.0,20.0,34.0,veliki pretok,11.2
7235,2025-04-25 15:30,2025-04-25 14:30,97,1.68,9.0,20.0,34.0,veliki pretok,11.1
7235,2025-04-25 16:30,2025-04-25 15:30,94,1.49,9.0,20.0,34.0,veliki pretok,11.1
