sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
8660,2025-04-19 22:30,2025-04-19 21:30,165,4.82,52.0,85.0,100.0,običajni pretok,10.9
8660,2025-04-22 07:30,2025-04-22 06:30,119,0.616,52.0,85.0,100.0,običajni pretok,14.6
8660,2025-04-22 10:30,2025-04-22 09:30,119,0.616,52.0,85.0,100.0,običajni pretok,14.8
8660,2025-04-22 11:00,2025-04-22 10:00,119,0.616,52.0,85.0,100.0,običajni pretok,15.0
8660,2025-04-22 11:30,2025-04-22 10:30,118,0.572,52.0,85.0,100.0,običajni pretok,15.1
8660,2025-04-22 12:30,2025-04-22 11:30,118,0.572,52.0,85.0,100.0,običajni pretok,15.6
8660,2025-04-22 13:30,2025-04-22 12:30,118,0.572,52.0,85.0,100.0,običajni pretok,15.9
8660,2025-04-22 14:30,2025-04-22 13:30,118,0.572,52.0,85.0,100.0,običajni pretok,16.4
8660,2025-04-22 15:30,2025-04-22 14:30,118,0.572,52.0,85.0,100.0,običajni pretok,16.7
8660,2025-04-22 16:30,2025-04-22 15:30,118,0.572,52.0,85.0,100.0,običajni pretok,16.9
8660,2025-04-22 17:30,2025-04-22 16:30,117,0.53,52.0,85.0,100.0,običajni pretok,16.8
8660,2025-04-22 18:30,2025-04-22 17:30,117,0.53,52.0,85.0,100.0,običajni pretok,16.6
8660,2025-04-22 19:30,2025-04-22 18:30,117,0.53,52.0,85.0,100.0,običajni pretok,16.3
8660,2025-04-22 20:30,2025-04-22 19:30,117,0.53,52.0,85.0,100.0,običajni pretok,16.0
8660,2025-04-22 21:30,2025-04-22 20:30,117,0.53,52.0,85.0,100.0,običajni pretok,15.9
8660,2025-04-22 22:30,2025-04-22 21:30,117,0.53,52.0,85.0,100.0,običajni pretok,15.6
8660,2025-04-22 23:30,2025-04-22 22:30,117,0.53,52.0,85.0,100.0,običajni pretok,15.4
8660,2025-04-23 00:30,2025-04-22 23:30,117,0.53,52.0,85.0,100.0,običajni pretok,15.2
8660,2025-04-23 02:00,2025-04-23 01:00,117,0.53,52.0,85.0,100.0,običajni pretok,15.1
8660,2025-04-23 03:30,2025-04-23 02:30,117,0.53,52.0,85.0,100.0,običajni pretok,15.1
8660,2025-04-23 04:30,2025-04-23 03:30,116,0.49,52.0,85.0,100.0,mali pretok,15.1
8660,2025-04-23 05:30,2025-04-23 04:30,116,0.49,52.0,85.0,100.0,mali pretok,15.0
8660,2025-04-23 06:30,2025-04-23 05:30,117,0.53,52.0,85.0,100.0,običajni pretok,15.0
8660,2025-04-23 07:30,2025-04-23 06:30,117,0.53,52.0,85.0,100.0,običajni pretok,15.0
8660,2025-04-23 08:30,2025-04-23 07:30,116,0.49,52.0,85.0,100.0,mali pretok,15.2
8660,2025-04-23 09:30,2025-04-23 08:30,116,0.49,52.0,85.0,100.0,mali pretok,15.3
8660,2025-04-23 10:30,2025-04-23 09:30,116,0.49,52.0,85.0,100.0,mali pretok,15.3
8660,2025-04-23 11:30,2025-04-23 10:30,116,0.49,52.0,85.0,100.0,mali pretok,15.4
