sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
5880,2025-04-19 22:30,2025-04-19 21:30,146,42.0,82.2,87.6,91.0,običajni pretok,11.3
5880,2025-04-22 07:30,2025-04-22 06:30,119,31.5,82.2,87.6,91.0,običajni pretok,11.6
5880,2025-04-22 10:30,2025-04-22 09:30,118,31.1,82.2,87.6,91.0,običajni pretok,11.6
5880,2025-04-22 11:00,2025-04-22 10:00,118,31.1,82.2,87.6,91.0,običajni pretok,11.7
5880,2025-04-22 11:30,2025-04-22 10:30,118,31.1,82.2,87.6,91.0,običajni pretok,11.7
5880,2025-04-22 12:30,2025-04-22 11:30,117,30.7,82.2,87.6,91.0,običajni pretok,11.7
5880,2025-04-22 13:30,2025-04-22 12:30,117,30.7,82.2,87.6,91.0,običajni pretok,11.7
5880,2025-04-22 14:30,2025-04-22 13:30,116,30.3,82.2,87.6,91.0,običajni pretok,11.7
5880,2025-04-22 15:30,2025-04-22 14:30,116,30.3,82.2,87.6,91.0,običajni pretok,11.8
5880,2025-04-22 16:30,2025-04-22 15:30,116,30.3,82.2,87.6,91.0,običajni pretok,11.8
5880,2025-04-22 17:30,2025-04-22 16:30,115,30.0,82.2,87.6,91.0,običajni pretok,11.8
5880,2025-04-22 18:30,2025-04-22 17:30,115,30.0,82.2,87.6,91.0,običajni pretok,11.8
5880,2025-04-22 19:30,2025-04-22 18:30,115,30.0,82.2,87.6,91.0,običajni pretok,11.8
5880,2025-04-22 20:30,2025-04-22 19:30,115,30.0,82.2,87.6,91.0,običajni pretok,11.8
5880,2025-04-22 21:30,2025-04-22 20:30,114,29.6,82.2,87.6,91.0,običajni pretok,11.8
