sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
6280,2025-04-19 22:30,2025-04-19 21:30,108.0,0.844,21.0,35.0,60.0,običajni pretok,10.6
6280,2025-04-22 07:30,2025-04-22 06:30,107.0,0.779,21.0,35.0,60.0,običajni pretok,10.4
6280,2025-04-22 10:30,2025-04-22 09:30,107.0,0.779,21.0,35.0,60.0,običajni pretok,11.4
6280,2025-04-22 11:00,2025-04-22 10:00,107.0,0.779,21.0,35.0,60.0,običajni pretok,11.6
6280,2025-04-22 11:30,2025-04-22 10:30,106.0,0.716,21.0,35.0,60.0,običajni pretok,12.0
6280,2025-04-22 12:30,2025-04-22 11:30,107.0,0.779,21.0,35.0,60.0,običajni pretok,12.6
6280,2025-04-22 13:30,2025-04-22 12:30,107.0,0.779,21.0,35.0,60.0,običajni pretok,13.0
6280,2025-04-22 14:30,2025-04-22 13:30,106.0,0.716,21.0,35.0,60.0,običajni pretok,13.8
6280,2025-04-22 15:30,2025-04-22 14:30,106.0,0.716,21.0,35.0,60.0,običajni pretok,14.4
6280,2025-04-22 16:30,2025-04-22 15:30,106.0,0.716,21.0,35.0,60.0,običajni pretok,14.9
6280,2025-04-22 17:30,2025-04-22 16:30,106.0,0.716,21.0,35.0,60.0,običajni pretok,14.8
6280,2025-04-22 18:30,2025-04-22 17:30,107.0,0.779,21.0,35.0,60.0,običajni pretok,14.2
6280,2025-04-22 19:30,2025-04-22 18:30,106.0,0.716,21.0,35.0,60.0,običajni pretok,13.7
6280,2025-04-22 20:30,2025-04-22 19:30,105.0,0.656,21.0,35.0,60.0,običajni pretok,13.2
6280,2025-04-22 21:30,2025-04-22 20:30,106.0,0.716,21.0,35.0,60.0,običajni pretok,12.7
6280,2025-04-22 22:30,2025-04-22 21:30,106.0,0.716,21.0,35.0,60.0,običajni pretok,12.4
6280,2025-04-22 23:30,2025-04-22 22:30,106.0,0.716,21.0,35.0,60.0,običajni pretok,12.1
6280,2025-04-23 00:30,2025-04-22 23:30,106.0,0.716,21.0,35.0,60.0,običajni pretok,11.9
6280,2025-04-23 02:00,2025-04-23 01:00,106.0,0.716,21.0,35.0,60.0,običajni pretok,11.7
6280,2025-04-23 03:30,2025-04-23 02:30,106.0,0.716,21.0,35.0,60.0,običajni pretok,11.5
6280,2025-04-23 04:30,2025-04-23 03:30,106.0,0.716,21.0,35.0,60.0,običajni pretok,11.3
6280,2025-04-23 05:30,2025-04-23 04:30,106.0,0.716,21.0,35.0,60.0,običajni pretok,11.1
6280,2025-04-23 06:30,2025-04-23 05:30,106.0,0.716,21.0,35.0,60.0,običajni pretok,11.0
6280,2025-04-23 07:30,2025-04-23 06:30,107.0,0.779,21.0,35.0,60.0,običajni pretok,10.9
6280,2025-04-23 08:30,2025-04-23 07:30,106.0,0.716,21.0,35.0,60.0,običajni pretok,10.9
6280,2025-04-23 09:30,2025-04-23 08:30,107.0,0.779,21.0,35.0,60.0,običajni pretok,11.2
6280,2025-04-23 10:30,2025-04-23 09:30,107.0,0.779,21.0,35.0,60.0,običajni pretok,11.8
6280,2025-04-23 11:30,2025-04-23 10:30,106.0,0.716,21.0,35.0,60.0,običajni pretok,12.2
6280,2025-04-23 12:30,2025-04-23 11:30,,,21.0,35.0,60.0,,
6280,2025-04-23 13:30,2025-04-23 12:30,,,21.0,35.0,60.0,,
6280,2025-04-23 14:30,2025-04-23 13:30,,,21.0,35.0,60.0,,
6280,2025-04-23 15:30,2025-04-23 14:30,106.0,0.716,21.0,35.0,60.0,običajni pretok,13.0
6280,2025-04-23 16:30,2025-04-23 15:30,106.0,0.716,21.0,35.0,60.0,običajni pretok,13.3
6280,2025-04-23 17:30,2025-04-23 16:30,106.0,0.716,21.0,35.0,60.0,običajni pretok,13.6
6280,2025-04-23 18:30,2025-04-23 17:30,106.0,0.716,21.0,35.0,60.0,običajni pretok,13.5
6280,2025-04-23 19:30,2025-04-23 18:30,105.0,0.656,21.0,35.0,60.0,običajni pretok,13.1
6280,2025-04-23 20:30,2025-04-23 19:30,106.0,0.716,21.0,35.0,60.0,običajni pretok,12.6
6280,2025-04-23 21:30,2025-04-23 20:30,106.0,0.716,21.0,35.0,60.0,običajni pretok,12.3
6280,2025-04-23 22:30,2025-04-23 21:30,106.0,0.716,21.0,35.0,60.0,običajni pretok,12.0
6280,2025-04-23 23:30,2025-04-23 22:30,106.0,0.716,21.0,35.0,60.0,običajni pretok,11.7
6280,2025-04-24 00:30,2025-04-23 23:30,106.0,0.716,21.0,35.0,60.0,običajni pretok,11.4
6280,2025-04-24 02:00,2025-04-24 01:00,105.0,0.656,21.0,35.0,60.0,običajni pretok,11.1
6280,2025-04-24 03:30,2025-04-24 02:30,105.0,0.656,21.0,35.0,60.0,običajni pretok,10.7
6280,2025-04-24 04:30,2025-04-24 03:30,105.0,0.656,21.0,35.0,60.0,običajni pretok,10.5
6280,2025-04-24 05:30,2025-04-24 04:30,105.0,0.656,21.0,35.0,60.0,običajni pretok,10.2
6280,2025-04-24 06:30,2025-04-24 05:30,105.0,0.656,21.0,35.0,60.0,običajni pretok,10.1
6280,2025-04-24 07:30,2025-04-24 06:30,105.0,0.656,21.0,35.0,60.0,običajni pretok,10.0
6280,2025-04-24 08:30,2025-04-24 07:30,106.0,0.716,21.0,35.0,60.0,običajni pretok,10.2
6280,2025-04-24 09:30,2025-04-24 08:30,106.0,0.716,21.0,35.0,60.0,običajni pretok,10.5
6280,2025-04-24 10:30,2025-04-24 09:30,106.0,0.716,21.0,35.0,60.0,običajni pretok,11.0
6280,2025-04-24 11:30,2025-04-24 10:30,106.0,0.716,21.0,35.0,60.0,običajni pretok,11.7
6280,2025-04-24 12:30,2025-04-24 11:30,106.0,0.716,21.0,35.0,60.0,običajni pretok,12.2
6280,2025-04-24 13:30,2025-04-24 12:30,106.0,0.716,21.0,35.0,60.0,običajni pretok,12.2
6280,2025-04-24 14:30,2025-04-24 13:30,106.0,0.716,21.0,35.0,60.0,običajni pretok,11.8
6280,2025-04-24 15:30,2025-04-24 14:30,112.0,1.13,21.0,35.0,60.0,običajni pretok,12.3
6280,2025-04-24 16:30,2025-04-24 15:30,107.0,0.779,21.0,35.0,60.0,običajni pretok,11.7
6280,2025-04-24 17:30,2025-04-24 16:30,107.0,0.779,21.0,35.0,60.0,običajni pretok,11.5
6280,2025-04-24 18:30,2025-04-24 17:30,109.0,0.911,21.0,35.0,60.0,običajni pretok,11.3
6280,2025-04-24 19:30,2025-04-24 18:30,111.0,1.05,21.0,35.0,60.0,običajni pretok,11.1
6280,2025-04-24 20:30,2025-04-24 19:30,113.0,1.21,21.0,35.0,60.0,običajni pretok,11.0
6280,2025-04-24 21:30,2025-04-24 20:30,112.0,1.13,21.0,35.0,60.0,običajni pretok,10.9
6280,2025-04-24 22:30,2025-04-24 21:30,111.0,1.05,21.0,35.0,60.0,običajni pretok,10.8
6280,2025-04-24 23:30,2025-04-24 22:30,110.0,0.981,21.0,35.0,60.0,običajni pretok,10.6
6280,2025-04-25 00:30,2025-04-24 23:30,109,0.911,21.0,35.0,60.0,običajni pretok,10.5
