sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
3280,2025-04-19 22:30,2025-04-19 21:30,64,,,,,,8.7
3280,2025-04-22 07:30,2025-04-22 06:30,60,,,,,,8.4
3280,2025-04-22 10:30,2025-04-22 09:30,59,,,,,,8.8
3280,2025-04-22 11:00,2025-04-22 10:00,59,,,,,,8.9
3280,2025-04-22 11:30,2025-04-22 10:30,59,,,,,,8.9
3280,2025-04-22 12:30,2025-04-22 11:30,58,,,,,,9.5
3280,2025-04-22 13:30,2025-04-22 12:30,58,,,,,,9.5
3280,2025-04-22 14:30,2025-04-22 13:30,57,,,,,,10.5
3280,2025-04-22 15:30,2025-04-22 14:30,57,,,,,,10.6
3280,2025-04-22 16:30,2025-04-22 15:30,57,,,,,,10.5
3280,2025-04-22 17:30,2025-04-22 16:30,57,,,,,,10.7
3280,2025-04-22 18:30,2025-04-22 17:30,56,,,,,,11.3
3280,2025-04-22 19:30,2025-04-22 18:30,56,,,,,,11.4
3280,2025-04-22 20:30,2025-04-22 19:30,57,,,,,,10.8
3280,2025-04-22 21:30,2025-04-22 20:30,57,,,,,,9.8
3280,2025-04-22 22:30,2025-04-22 21:30,57,,,,,,9.5
3280,2025-04-22 23:30,2025-04-22 22:30,57,,,,,,8.9
3280,2025-04-23 00:30,2025-04-22 23:30,57,,,,,,9.0
3280,2025-04-23 02:00,2025-04-23 01:00,57,,,,,,9.0
3280,2025-04-23 03:30,2025-04-23 02:30,57,,,,,,8.7
3280,2025-04-23 04:30,2025-04-23 03:30,57,,,,,,8.9
