sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
5040,2025-04-19 22:30,2025-04-19 21:30,125,,,,,,11.1
5040,2025-04-22 07:30,2025-04-22 06:30,79,,,,,,11.0
5040,2025-04-22 10:30,2025-04-22 09:30,84,,,,,,11.1
5040,2025-04-22 11:00,2025-04-22 10:00,85,,,,,,11.1
5040,2025-04-22 11:30,2025-04-22 10:30,86,,,,,,11.1
5040,2025-04-22 12:30,2025-04-22 11:30,87,,,,,,11.3
5040,2025-04-22 13:30,2025-04-22 12:30,88,,,,,,11.4
5040,2025-04-22 14:30,2025-04-22 13:30,88,,,,,,11.5
5040,2025-04-22 15:30,2025-04-22 14:30,88,,,,,,11.4
5040,2025-04-22 16:30,2025-04-22 15:30,88,,,,,,11.4
5040,2025-04-22 17:30,2025-04-22 16:30,88,,,,,,11.4
5040,2025-04-22 18:30,2025-04-22 17:30,88,,,,,,11.4
5040,2025-04-22 19:30,2025-04-22 18:30,88,,,,,,11.4
5040,2025-04-22 20:30,2025-04-22 19:30,88,,,,,,11.4
5040,2025-04-22 21:30,2025-04-22 20:30,87,,,,,,11.3
5040,2025-04-22 22:30,2025-04-22 21:30,87,,,,,,11.3
5040,2025-04-22 23:30,2025-04-22 22:30,86,,,,,,11.2
5040,2025-04-23 00:30,2025-04-22 23:30,86,,,,,,11.2
5040,2025-04-23 02:00,2025-04-23 01:00,85,,,,,,11.2
5040,2025-04-23 03:30,2025-04-23 02:30,85,,,,,,11.1
5040,2025-04-23 04:30,2025-04-23 03:30,84,,,,,,11.1
5040,2025-04-23 05:30,2025-04-23 04:30,84,,,,,,11.1
5040,2025-04-23 06:30,2025-04-23 05:30,83,,,,,,11.1
5040,2025-04-23 07:30,2025-04-23 06:30,83,,,,,,11.1
5040,2025-04-23 08:30,2025-04-23 07:30,82,,,,,,11.1
5040,2025-04-23 09:30,2025-04-23 08:30,82,,,,,,11.1
5040,2025-04-23 10:30,2025-04-23 09:30,81,,,,,,11.1
5040,2025-04-23 11:30,2025-04-23 10:30,81,,,,,,11.1
5040,2025-04-23 12:30,2025-04-23 11:30,80,,,,,,11.1
5040,2025-04-23 13:30,2025-04-23 12:30,80,,,,,,11.2
5040,2025-04-23 14:30,2025-04-23 13:30,80,,,,,,11.3
5040,2025-04-23 15:30,2025-04-23 14:30,79,,,,,,11.4
5040,2025-04-23 16:30,2025-04-23 15:30,79,,,,,,11.5
5040,2025-04-23 17:30,2025-04-23 16:30,78,,,,,,11.5
5040,2025-04-23 18:30,2025-04-23 17:30,78,,,,,,11.5
5040,2025-04-23 19:30,2025-04-23 18:30,77,,,,,,11.4
5040,2025-04-23 20:30,2025-04-23 19:30,77,,,,,,11.4
5040,2025-04-23 21:30,2025-04-23 20:30,76,,,,,,11.4
5040,2025-04-23 22:30,2025-04-23 21:30,76,,,,,,11.3
5040,2025-04-23 23:30,2025-04-23 22:30,75,,,,,,11.3
5040,2025-04-24 00:30,2025-04-23 23:30,75,,,,,,11.2
