sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
7272,2025-04-19 22:30,2025-04-19 21:30,145,6.65,34.0,47.0,55.0,običajni pretok,9.5
7272,2025-04-22 07:30,2025-04-22 06:30,123,4.01,34.0,47.0,55.0,običajni pretok,9.4
7272,2025-04-22 10:30,2025-04-22 09:30,122,3.92,34.0,47.0,55.0,običajni pretok,9.8
7272,2025-04-22 11:00,2025-04-22 10:00,122,3.92,34.0,47.0,55.0,običajni pretok,10.0
7272,2025-04-22 11:30,2025-04-22 10:30,122,3.92,34.0,47.0,55.0,običajni pretok,10.1
7272,2025-04-22 12:30,2025-04-22 11:30,122,3.92,34.0,47.0,55.0,običajni pretok,10.3
7272,2025-04-22 13:30,2025-04-22 12:30,121,3.82,34.0,47.0,55.0,običajni pretok,10.5
7272,2025-04-22 14:30,2025-04-22 13:30,121,3.82,34.0,47.0,55.0,običajni pretok,10.7
7272,2025-04-22 15:30,2025-04-22 14:30,121,3.82,34.0,47.0,55.0,običajni pretok,10.9
7272,2025-04-22 16:30,2025-04-22 15:30,120,3.72,34.0,47.0,55.0,običajni pretok,10.9
7272,2025-04-22 17:30,2025-04-22 16:30,120,3.72,34.0,47.0,55.0,običajni pretok,10.9
7272,2025-04-22 18:30,2025-04-22 17:30,119,3.62,34.0,47.0,55.0,običajni pretok,10.8
7272,2025-04-22 19:30,2025-04-22 18:30,120,3.72,34.0,47.0,55.0,običajni pretok,10.6
7272,2025-04-22 20:30,2025-04-22 19:30,119,3.62,34.0,47.0,55.0,običajni pretok,10.4
7272,2025-04-22 21:30,2025-04-22 20:30,119,3.62,34.0,47.0,55.0,običajni pretok,10.1
7272,2025-04-22 22:30,2025-04-22 21:30,118,3.52,34.0,47.0,55.0,običajni pretok,9.8
7272,2025-04-22 23:30,2025-04-22 22:30,118,3.52,34.0,47.0,55.0,običajni pretok,9.7
7272,2025-04-23 00:30,2025-04-22 23:30,118,3.52,34.0,47.0,55.0,običajni pretok,9.6
7272,2025-04-23 02:00,2025-04-23 01:00,118,3.52,34.0,47.0,55.0,običajni pretok,9.6
7272,2025-04-23 03:30,2025-04-23 02:30,117,3.43,34.0,47.0,55.0,običajni pretok,9.5
7272,2025-04-23 04:30,2025-04-23 03:30,117,3.43,34.0,47.0,55.0,običajni pretok,9.5
7272,2025-04-23 05:30,2025-04-23 04:30,117,3.43,34.0,47.0,55.0,običajni pretok,9.5
7272,2025-04-23 06:30,2025-04-23 05:30,117,3.43,34.0,47.0,55.0,običajni pretok,9.4
7272,2025-04-23 07:30,2025-04-23 06:30,117,3.43,34.0,47.0,55.0,običajni pretok,9.4
7272,2025-04-23 08:30,2025-04-23 07:30,116,3.33,34.0,47.0,55.0,običajni pretok,9.5
7272,2025-04-23 09:30,2025-04-23 08:30,116,3.33,34.0,47.0,55.0,običajni pretok,9.5
7272,2025-04-23 10:30,2025-04-23 09:30,116,3.33,34.0,47.0,55.0,običajni pretok,9.5
7272,2025-04-23 11:30,2025-04-23 10:30,116,3.33,34.0,47.0,55.0,običajni pretok,9.6
7272,2025-04-23 12:30,2025-04-23 11:30,116,3.33,34.0,47.0,55.0,običajni pretok,9.8
7272,2025-04-23 13:30,2025-04-23 12:30,116,3.33,34.0,47.0,55.0,običajni pretok,10.0
7272,2025-04-23 14:30,2025-04-23 13:30,115,3.23,34.0,47.0,55.0,običajni pretok,10.3
7272,2025-04-23 15:30,2025-04-23 14:30,115,3.23,34.0,47.0,55.0,običajni pretok,10.4
7272,2025-04-23 16:30,2025-04-23 15:30,115,3.23,34.0,47.0,55.0,običajni pretok,10.6
7272,2025-04-23 17:30,2025-04-23 16:30,115,3.23,34.0,47.0,55.0,običajni pretok,10.7
7272,2025-04-23 18:30,2025-04-23 17:30,114,3.14,34.0,47.0,55.0,običajni pretok,10.7
7272,2025-04-23 19:30,2025-04-23 18:30,114,3.14,34.0,47.0,55.0,običajni pretok,10.6
7272,2025-04-23 20:30,2025-04-23 19:30,114,3.14,34.0,47.0,55.0,običajni pretok,10.4
7272,2025-04-23 21:30,2025-04-23 20:30,114,3.14,34.0,47.0,55.0,običajni pretok,10.2
7272,2025-04-23 22:30,2025-04-23 21:30,114,3.14,34.0,47.0,55.0,običajni pretok,10.0
7272,2025-04-23 23:30,2025-04-23 22:30,113,3.05,34.0,47.0,55.0,običajni pretok,9.8
7272,2025-04-24 00:30,2025-04-23 23:30,113,3.05,34.0,47.0,55.0,običajni pretok,9.7
7272,2025-04-24 02:00,2025-04-24 01:00,113,3.05,34.0,47.0,55.0,običajni pretok,9.5
7272,2025-04-24 03:30,2025-04-24 02:30,113,3.05,34.0,47.0,55.0,običajni pretok,9.5
7272,2025-04-24 04:30,2025-04-24 03:30,113,3.05,34.0,47.0,55.0,običajni pretok,9.5
7272,2025-04-24 05:30,2025-04-24 04:30,113,3.05,34.0,47.0,55.0,običajni pretok,9.4
7272,2025-04-24 06:30,2025-04-24 05:30,113,3.05,34.0,47.0,55.0,običajni pretok,9.4
7272,2025-04-24 07:30,2025-04-24 06:30,113,3.05,34.0,47.0,55.0,običajni pretok,9.4
7272,2025-04-24 08:30,2025-04-24 07:30,113,3.05,34.0,47.0,55.0,običajni pretok,9.4
7272,2025-04-24 09:30,2025-04-24 08:30,112,2.96,34.0,47.0,55.0,običajni pretok,9.5
7272,2025-04-24 10:30,2025-04-24 09:30,112,2.96,34.0,47.0,55.0,običajni pretok,9.6
7272,2025-04-24 11:30,2025-04-24 10:30,112,2.96,34.0,47.0,55.0,običajni pretok,9.8
7272,2025-04-24 12:30,2025-04-24 11:30,112,2.96,34.0,47.0,55.0,običajni pretok,10.1
7272,2025-04-24 13:30,2025-04-24 12:30,112,2.96,34.0,47.0,55.0,običajni pretok,10.5
7272,2025-04-24 14:30,2025-04-24 13:30,112,2.96,34.0,47.0,55.0,običajni pretok,10.6
7272,2025-04-24 15:30,2025-04-24 14:30,112,2.96,34.0,47.0,55.0,običajni pretok,10.6
7272,2025-04-24 16:30,2025-04-24 15:30,114,3.14,34.0,47.0,55.0,običajni pretok,10.6
7272,2025-04-24 17:30,2025-04-24 16:30,116,3.33,34.0,47.0,55.0,običajni pretok,10.6
7272,2025-04-24 18:30,2025-04-24 17:30,118,3.52,34.0,47.0,55.0,običajni pretok,10.4
7272,2025-04-24 19:30,2025-04-24 18:30,120,3.72,34.0,47.0,55.0,običajni pretok,10.1
7272,2025-04-24 20:30,2025-04-24 19:30,121,3.82,34.0,47.0,55.0,običajni pretok,9.8
7272,2025-04-24 21:30,2025-04-24 20:30,122,3.92,34.0,47.0,55.0,običajni pretok,9.6
7272,2025-04-24 22:30,2025-04-24 21:30,122,3.92,34.0,47.0,55.0,običajni pretok,9.6
7272,2025-04-24 23:30,2025-04-24 22:30,123,4.01,34.0,47.0,55.0,običajni pretok,9.5
7272,2025-04-25 00:30,2025-04-24 23:30,123,4.01,34.0,47.0,55.0,običajni pretok,9.5
