sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
6068,2025-04-19 22:30,2025-04-19 21:30,105,,360.0,450.0,580.0,,11.0
6068,2025-04-22 07:30,2025-04-22 06:30,99,,360.0,450.0,580.0,,9.3
6068,2025-04-22 10:30,2025-04-22 09:30,98,,360.0,450.0,580.0,,9.7
6068,2025-04-22 11:00,2025-04-22 10:00,99,,360.0,450.0,580.0,,9.9
6068,2025-04-22 11:30,2025-04-22 10:30,99,,360.0,450.0,580.0,,10.4
6068,2025-04-22 12:30,2025-04-22 11:30,99,,360.0,450.0,580.0,,11.1
6068,2025-04-22 13:30,2025-04-22 12:30,94,,360.0,450.0,580.0,,11.7
6068,2025-04-22 14:30,2025-04-22 13:30,100,,360.0,450.0,580.0,,12.3
6068,2025-04-22 15:30,2025-04-22 14:30,99,,360.0,450.0,580.0,,13.3
6068,2025-04-22 16:30,2025-04-22 15:30,99,,360.0,450.0,580.0,,13.7
6068,2025-04-22 17:30,2025-04-22 16:30,99,,360.0,450.0,580.0,,14.1
