sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
6068,2025-04-19 22:30,2025-04-19 21:30,105,,360.0,450.0,580.0,,11.0
6068,2025-04-22 07:30,2025-04-22 06:30,99,,360.0,450.0,580.0,,9.3
6068,2025-04-22 10:30,2025-04-22 09:30,98,,360.0,450.0,580.0,,9.7
6068,2025-04-22 11:00,2025-04-22 10:00,99,,360.0,450.0,580.0,,9.9
6068,2025-04-22 11:30,2025-04-22 10:30,99,,360.0,450.0,580.0,,10.4
6068,2025-04-22 12:30,2025-04-22 11:30,99,,360.0,450.0,580.0,,11.1
6068,2025-04-22 13:30,2025-04-22 12:30,94,,360.0,450.0,580.0,,11.7
6068,2025-04-22 14:30,2025-04-22 13:30,100,,360.0,450.0,580.0,,12.3
6068,2025-04-22 15:30,2025-04-22 14:30,99,,360.0,450.0,580.0,,13.3
6068,2025-04-22 16:30,2025-04-22 15:30,99,,360.0,450.0,580.0,,13.7
6068,2025-04-22 17:30,2025-04-22 16:30,99,,360.0,450.0,580.0,,14.1
6068,2025-04-22 18:30,2025-04-22 17:30,98,,360.0,450.0,580.0,,14.1
6068,2025-04-22 19:30,2025-04-22 18:30,98,,360.0,450.0,580.0,,14.0
6068,2025-04-22 20:30,2025-04-22 19:30,98,,360.0,450.0,580.0,,13.7
6068,2025-04-22 21:30,2025-04-22 20:30,97,,360.0,450.0,580.0,,13.2
6068,2025-04-22 22:30,2025-04-22 21:30,96,,360.0,450.0,580.0,,12.8
6068,2025-04-22 23:30,2025-04-22 22:30,96,,360.0,450.0,580.0,,12.4
6068,2025-04-23 00:30,2025-04-22 23:30,95,,360.0,450.0,580.0,,12.1
6068,2025-04-23 02:00,2025-04-23 01:00,94,,360.0,450.0,580.0,,11.6
6068,2025-04-23 03:30,2025-04-23 02:30,94,,360.0,450.0,580.0,,11.1
6068,2025-04-23 04:30,2025-04-23 03:30,93,,360.0,450.0,580.0,,10.8
6068,2025-04-23 05:30,2025-04-23 04:30,93,,360.0,450.0,580.0,,10.5
6068,2025-04-23 06:30,2025-04-23 05:30,88,,360.0,450.0,580.0,,10.2
6068,2025-04-23 07:30,2025-04-23 06:30,94,,360.0,450.0,580.0,,10.0
6068,2025-04-23 08:30,2025-04-23 07:30,94,,360.0,450.0,580.0,,10.0
6068,2025-04-23 09:30,2025-04-23 08:30,94,,360.0,450.0,580.0,,10.1
6068,2025-04-23 10:30,2025-04-23 09:30,94,,360.0,450.0,580.0,,10.4
6068,2025-04-23 11:30,2025-04-23 10:30,94,,360.0,450.0,580.0,,11.0
6068,2025-04-23 12:30,2025-04-23 11:30,94,,360.0,450.0,580.0,,11.3
6068,2025-04-23 13:30,2025-04-23 12:30,95,,360.0,450.0,580.0,,11.7
6068,2025-04-23 14:30,2025-04-23 13:30,94,,360.0,450.0,580.0,,11.7
6068,2025-04-23 15:30,2025-04-23 14:30,95,,360.0,450.0,580.0,,11.8
6068,2025-04-23 16:30,2025-04-23 15:30,95,,360.0,450.0,580.0,,11.9
6068,2025-04-23 17:30,2025-04-23 16:30,95,,360.0,450.0,580.0,,12.0
6068,2025-04-23 18:30,2025-04-23 17:30,94,,360.0,450.0,580.0,,11.9
6068,2025-04-23 19:30,2025-04-23 18:30,94,,360.0,450.0,580.0,,11.9
6068,2025-04-23 20:30,2025-04-23 19:30,94,,360.0,450.0,580.0,,11.6
6068,2025-04-23 21:30,2025-04-23 20:30,94,,360.0,450.0,580.0,,11.4
6068,2025-04-23 22:30,2025-04-23 21:30,93,,360.0,450.0,580.0,,11.2
6068,2025-04-23 23:30,2025-04-23 22:30,93,,360.0,450.0,580.0,,11.0
6068,2025-04-24 00:30,2025-04-23 23:30,93,,360.0,450.0,580.0,,10.7
