hidro_station,matched_weather_station
1070_Petanjci,GORICKO
1100_Cankova,GORICKO
1140_Pristava,GORICKO
1165_Nuskova,GORICKO
1220_Polana,GORICKO
1260_Centiba,LENDAVA
1300_Martjanci,GORICKO
1312_Kobilje,LENDAVA
1335_Sredisce,LENDAVA
1355_Hodos,GORICKO
2110_Ptuj,PTUJ
2150_Borl,PTUJ
2160_Zavrc,PTUJ
2719_Podlehnik,PTUJ
2754_Trzec,PTUJ
3420_Radovljica,LESCE
3465_Okroglo,KRANJ
3530_Medno,KRANJ
3570_Sentjakob,LITIJA
3660_Litija,LITIJA
3725_Hrastnik,HRASTNIK
3850_Catez,KRSKO
4025_Ovsise,LESCE
4050_Preska,KRANJ
4120_Kokra,JEZERSKO
4155_Kranj,KRANJ
4200_Suha,KRANJ
4209_Medvode,KRANJ
4222_Ziri,TOPOL
4230_Zminec,KRANJ
4270_Zelezniki,RATITOVEC
4298_Vester,KRANJ
4400_Kamnik,KRVAVEC
4430_Vir,KRVAVEC
4445_Bisce,KRVAVEC
4480_Nevlje,KRVAVEC
4515_Vir,KRVAVEC
4520_Podrecje,KRVAVEC
4570_Topole,KRVAVEC
4575_Loka,KRVAVEC
4820_Petrina,KOCEVJE
4828_Sodevci,KOCEVJE
4860_Metlika,METLIKA
4960_Livold,KOCEVJE
4969_Gradac,METLIKA
5030_Vrhnika,VRHNIKA
5040_Kamin,VRHNIKA
5078_Moste,VRHNIKA
5240_Verd,VRHNIKA
5270_Bistra,VRHNIKA
5330_Borovnica,VRHNIKA
5440_Ig,VRHNIKA
5479_Bokalce,VRHNIKA
5500_Dvor,VRHNIKA
5540_Razori,VRHNIKA
5770_Cerknica,POSTOJNA
5800_Prestranek,POSTOJNA
5880_Hasberg,POSTOJNA
5910_Malni,POSTOJNA
5940_Logatec,LOGATEC
6020_Solcava,RADEGUNDA
6060_Nazarje,RADEGUNDA
6068_Letus,CELJE
6120_Medlog,CELJE
6200_Lasko,CELJE
6220_Luce,RADEGUNDA
6240_Krase,CELJE
6280_Velenje,VELENJE
6300_Sostanj,VELENJE
6340_Recica,CELJE
6415_Gaberke,VELENJE
6630_Levec,CELJE
6691_Crnolica,CELJE
6720_Celje,CELJE
6770_Polze,CELJE
7029_Podbukovje,TREBNJE
7060_Soteska,TREBNJE
7160_Podbocje,KRSKO
7200_Mlacevo,TREBNJE
7220_Rasica,TREBNJE
7340_Precna,TREBNJE
7380_Skocjan,SKOCJAN
7440_Sodrazica,KOCEVJE
7488_Prigorica,KOCEVJE
7498_Blate,KOCEVJE
8031_Krsovec,BOVEC
8080_Kobarid,BOVEC
8180_Solkan,BILJE
8270_Zaga,BOVEC
8332_Tolmin,KRN
8350_Podroteja,OTLICA
8351_Podroteja,OTLICA
8450_Hotesk,OTLICA
8454_Cerkno,DAVCA
8561_Vipava,PODNANOS
8565_Dolenje,PODNANOS
8591_Zalosce,BILJE
8601_Miren,BILJE
8610_Podnanos,PODNANOS
8630_Ajdovscina,PODNANOS
8640_Branik,BILJE
8670_Bezovljak,BILJE
8680_Neblo,BILJE
8700_Neblo,BILJE
8710_Potoki,BILJE
9015_Trpcane,POSTOJNA
9030_Trnovo,POSTOJNA
9108_Zarecica,POSTOJNA
9210_Kubed,KUBED
9240_Dekani,KOPER
9275_Salara,KOPER
9280_Pisine,KOPER
9300_Podkastel,KOPER
