timestamp_utc,timestamp_local,temperature,dew_point,rel_humidity,precipitation,precipitation_1h,precipitation_12h,wind_speed,wind_direction,snow,station
22.04.2025 10:00 UTC,22.04.2025 12:00 CEST,10.7,6.7,76,0.0,1.88,2.45,,,0,PAVLIČEVO SEDLO
22.04.2025 10:20 UTC,22.04.2025 12:20 CEST,10.9,8.0,82,0.0,,2.45,,,0,PAVLIČEVO SEDLO
22.04.2025 11:00 UTC,22.04.2025 13:00 CEST,11.3,8.3,82,0.0,0.0,2.45,,,0,PAVLIČEVO SEDLO
22.04.2025 12:10 UTC,22.04.2025 14:10 CEST,10.4,7.6,83,0.0,,2.45,,,0,PAVLIČEVO SEDLO
22.04.2025 13:10 UTC,22.04.2025 15:10 CEST,10.1,8.5,90,0.4,,2.85,,,0,PAVLIČEVO SEDLO
22.04.2025 14:00 UTC,22.04.2025 16:00 CEST,11.3,9.7,90,0.0,0.74,3.19,,,0,PAVLIČEVO SEDLO
22.04.2025 15:00 UTC,22.04.2025 17:00 CEST,11.3,8.5,83,0.0,0.0,3.19,,,0,PAVLIČEVO SEDLO
22.04.2025 16:00 UTC,22.04.2025 18:00 CEST,11.3,7.8,79,0.0,0.0,3.19,,,0,PAVLIČEVO SEDLO
22.04.2025 17:00 UTC,22.04.2025 19:00 CEST,11.0,7.3,78,0.0,0.0,3.19,,,0,PAVLIČEVO SEDLO
22.04.2025 18:00 UTC,22.04.2025 20:00 CEST,9.8,7.1,83,0.0,0.0,3.19,,,0,PAVLIČEVO SEDLO
22.04.2025 19:00 UTC,22.04.2025 21:00 CEST,9,6.3,83,0,0,0,,,0,PAVLIČEVO SEDLO
22.04.2025 7:00 UTC,22.04.2025 9:00 CEST,9.5,5.3,75,0.0,0.0,0.0,,,0,PAVLIČEVO SEDLO
22.04.2025 8:40 UTC,22.04.2025 10:40 CEST,11.0,6.8,75,0.0,,0.07,,,0,PAVLIČEVO SEDLO
22.04.2025 9:00 UTC,22.04.2025 11:00 CEST,9.9,8.2,89,0.37,0.57,0.57,,,0,PAVLIČEVO SEDLO
22.04.2025 9:40 UTC,22.04.2025 11:40 CEST,9.0,7.9,93,0.0,,2.45,,,0,PAVLIČEVO SEDLO
