timestamp_utc,timestamp_local,temperature,dew_point,rel_humidity,precipitation,precipitation_1h,precipitation_12h,wind_speed,wind_direction,snow,station
22.04.2025 10:00 UTC,22.04.2025 12:00 CEST,10.7,6.7,76,0.0,1.88,2.45,,,0,PAVLIČEVO SEDLO
22.04.2025 10:20 UTC,22.04.2025 12:20 CEST,10.9,8.0,82,0.0,,2.45,,,0,PAVLIČEVO SEDLO
22.04.2025 11:00 UTC,22.04.2025 13:00 CEST,11.3,8.3,82,0.0,0.0,2.45,,,0,PAVLIČEVO SEDLO
22.04.2025 12:10 UTC,22.04.2025 14:10 CEST,10.4,7.6,83,0.0,,2.45,,,0,PAVLIČEVO SEDLO
22.04.2025 13:10 UTC,22.04.2025 15:10 CEST,10.1,8.5,90,0.4,,2.85,,,0,PAVLIČEVO SEDLO
22.04.2025 14:00 UTC,22.04.2025 16:00 CEST,11.3,9.7,90,0.0,0.74,3.19,,,0,PAVLIČEVO SEDLO
22.04.2025 15:00 UTC,22.04.2025 17:00 CEST,11.3,8.5,83,0.0,0.0,3.19,,,0,PAVLIČEVO SEDLO
22.04.2025 16:00 UTC,22.04.2025 18:00 CEST,11.3,7.8,79,0.0,0.0,3.19,,,0,PAVLIČEVO SEDLO
22.04.2025 17:00 UTC,22.04.2025 19:00 CEST,11.0,7.3,78,0.0,0.0,3.19,,,0,PAVLIČEVO SEDLO
22.04.2025 18:00 UTC,22.04.2025 20:00 CEST,9.8,7.1,83,0.0,0.0,3.19,,,0,PAVLIČEVO SEDLO
22.04.2025 19:00 UTC,22.04.2025 21:00 CEST,9.0,6.3,83,0.0,0.0,0.0,,,0,PAVLIČEVO SEDLO
22.04.2025 20:00 UTC,22.04.2025 22:00 CEST,8.8,6.1,83,0.0,0.0,0.0,,,0,PAVLIČEVO SEDLO
22.04.2025 21:00 UTC,22.04.2025 23:00 CEST,8.9,6.2,83,0.0,0.0,0.0,,,0,PAVLIČEVO SEDLO
22.04.2025 22:00 UTC,23.04.2025 0:00 CEST,9.1,6.2,82,0.0,0.0,0.0,,,0,PAVLIČEVO SEDLO
22.04.2025 23:00 UTC,23.04.2025 1:00 CEST,7.6,7.2,97,0.66,1.0,1.0,,,0,PAVLIČEVO SEDLO
22.04.2025 7:00 UTC,22.04.2025 9:00 CEST,9.5,5.3,75,0.0,0.0,0.0,,,0,PAVLIČEVO SEDLO
22.04.2025 8:40 UTC,22.04.2025 10:40 CEST,11.0,6.8,75,0.0,,0.07,,,0,PAVLIČEVO SEDLO
22.04.2025 9:00 UTC,22.04.2025 11:00 CEST,9.9,8.2,89,0.37,0.57,0.57,,,0,PAVLIČEVO SEDLO
22.04.2025 9:40 UTC,22.04.2025 11:40 CEST,9.0,7.9,93,0.0,,2.45,,,0,PAVLIČEVO SEDLO
23.04.2025 0:40 UTC,23.04.2025 2:40 CEST,6.1,5.8,98,0.0,,5.29,,,0,PAVLIČEVO SEDLO
23.04.2025 10:00 UTC,23.04.2025 12:00 CEST,9.2,7.5,89,0.0,0.0,0.0,,,0,PAVLIČEVO SEDLO
23.04.2025 11:00 UTC,23.04.2025 13:00 CEST,10.2,8.5,89,0.0,0.0,0.0,,,0,PAVLIČEVO SEDLO
23.04.2025 12:10 UTC,23.04.2025 14:10 CEST,11.2,5.5,68,0.0,,0.0,,,0,PAVLIČEVO SEDLO
23.04.2025 13:10 UTC,23.04.2025 15:10 CEST,11.1,6.5,73,0.0,,0.0,,,0,PAVLIČEVO SEDLO
23.04.2025 14:00 UTC,23.04.2025 16:00 CEST,10.8,7.3,79,0.0,0.0,0.0,,,0,PAVLIČEVO SEDLO
23.04.2025 15:00 UTC,23.04.2025 17:00 CEST,9.6,7.2,85,0.0,0.07,0.07,,,0,PAVLIČEVO SEDLO
23.04.2025 16:00 UTC,23.04.2025 18:00 CEST,9.7,6.8,82,0.0,0.0,0.07,,,0,PAVLIČEVO SEDLO
23.04.2025 17:00 UTC,23.04.2025 19:00 CEST,9.1,6.0,81,0.0,0.0,0.07,,,0,PAVLIČEVO SEDLO
23.04.2025 18:00 UTC,23.04.2025 20:00 CEST,8.5,6.1,85,0.0,0.0,0.07,,,0,PAVLIČEVO SEDLO
23.04.2025 19:00 UTC,23.04.2025 21:00 CEST,7.9,5.7,86,0.0,0.0,0.0,,,0,PAVLIČEVO SEDLO
23.04.2025 20:00 UTC,23.04.2025 22:00 CEST,7.9,5.4,84,0.0,0.0,0.0,,,0,PAVLIČEVO SEDLO
23.04.2025 21:00 UTC,23.04.2025 23:00 CEST,7.8,5.4,85,0.0,0.0,0.0,,,0,PAVLIČEVO SEDLO
23.04.2025 22:00 UTC,24.04.2025 0:00 CEST,7.8,5.6,86,0.0,0.0,0.0,,,0,PAVLIČEVO SEDLO
23.04.2025 23:00 UTC,24.04.2025 1:00 CEST,7.8,5.9,88,0.0,0.0,0.0,,,0,PAVLIČEVO SEDLO
23.04.2025 2:10 UTC,23.04.2025 4:10 CEST,6.5,6.1,97,0.0,,5.29,,,0,PAVLIČEVO SEDLO
23.04.2025 3:20 UTC,23.04.2025 5:20 CEST,6.6,6.0,96,0.0,,5.29,,,0,PAVLIČEVO SEDLO
23.04.2025 4:00 UTC,23.04.2025 6:00 CEST,6.8,6.4,97,0.0,0.0,5.29,,,0,PAVLIČEVO SEDLO
23.04.2025 5:00 UTC,23.04.2025 7:00 CEST,6.9,6.5,97,0.0,0.0,5.29,,,0,PAVLIČEVO SEDLO
23.04.2025 6:00 UTC,23.04.2025 8:00 CEST,7.1,6.7,97,0.0,0.0,5.29,,,0,PAVLIČEVO SEDLO
