timestamp_utc,timestamp_local,temperature,dew_point,rel_humidity,precipitation,precipitation_1h,precipitation_12h,wind_speed,wind_direction,snow,station
22.04.2025 10:00 UTC,22.04.2025 12:00 CEST,16.1,10.3,69,0.0,0.0,0.87,,,,RATEČE - PLANICA
22.04.2025 12:00 UTC,22.04.2025 14:00 CEST,17.3,9.0,58,0.0,0.0,0.87,,,,RATEČE - PLANICA
22.04.2025 13:00 UTC,22.04.2025 15:00 CEST,17.3,8.4,56,0.0,0.0,0.87,,,,RATEČE - PLANICA
22.04.2025 8:30 UTC,22.04.2025 10:30 CEST,11.6,8.6,82,0.0,,0.87,,,,RATEČE - PLANICA
22.04.2025 9:30 UTC,22.04.2025 11:30 CEST,14.9,8.1,64,0.0,,0.87,,,,RATEČE - PLANICA
23.04.2025 0:30 UTC,23.04.2025 2:30 CEST,8.7,7.0,89,0.0,,0.0,,,,RATEČE - PLANICA
23.04.2025 12:00 UTC,23.04.2025 14:00 CEST,14.2,6.6,60,0.0,0.0,0.0,,,,RATEČE - PLANICA
23.04.2025 13:00 UTC,23.04.2025 15:00 CEST,16.3,6.3,52,0.0,0.0,0.0,,,,RATEČE - PLANICA
23.04.2025 2:00 UTC,23.04.2025 4:00 CEST,7.5,6.1,91,0.0,0.0,0.0,,,,RATEČE - PLANICA
23.04.2025 3:00 UTC,23.04.2025 5:00 CEST,7.8,6.8,93,0.0,0.0,0.0,,,,RATEČE - PLANICA
24.04.2025 0:30 UTC,24.04.2025 2:30 CEST,7.9,7.2,96,0.0,,1.06,,,,RATEČE - PLANICA
24.04.2025 10:00 UTC,24.04.2025 12:00 CEST,11.6,8.3,80,0.06,0.06,0.06,,,,RATEČE - PLANICA
24.04.2025 13:00 UTC,24.04.2025 15:00 CEST,12.2,7.5,73,0.0,0.0,0.32,,,,RATEČE - PLANICA
24.04.2025 2:00 UTC,24.04.2025 4:00 CEST,7.6,7.0,96,0.0,0.0,1.06,,,,RATEČE - PLANICA
24.04.2025 3:00 UTC,24.04.2025 5:00 CEST,7.1,6.5,96,0.0,0.0,1.06,,,,RATEČE - PLANICA
24.04.2025 8:00 UTC,24.04.2025 10:00 CEST,11.4,9.9,90,0.0,0.0,0.0,,,,RATEČE - PLANICA
24.04.2025 9:00 UTC,24.04.2025 11:00 CEST,11.8,8.0,77,0.0,0.0,0.0,,,,RATEČE - PLANICA
25.04.2025 6:00 UTC,25.04.2025 8:00 CEST,6.2,5.1,93,0.0,0.16,4.28,,,,RATEČE - PLANICA
25.04.2025 8:00 UTC,25.04.2025 10:00 CEST,7.4,5.6,88,0,0,0,,,,RATEČE - PLANICA
