timestamp_utc,timestamp_local,temperature,dew_point,rel_humidity,precipitation,precipitation_1h,precipitation_12h,wind_speed,wind_direction,snow,station
22.04.2025 10:00 UTC,22.04.2025 12:00 CEST,19.2,9.4,53,0.0,0.0,0.0,5.72,62,0,POSTOJNA
22.04.2025 10:20 UTC,22.04.2025 12:20 CEST,20.2,10.6,54,0.0,,0.0,5.21,60,0,POSTOJNA
22.04.2025 11:00 UTC,22.04.2025 13:00 CEST,20.7,10.8,53,0.0,0.0,0.0,5.4,60,0,POSTOJNA
22.04.2025 12:10 UTC,22.04.2025 14:10 CEST,19.1,9.9,55,0.0,,0.0,4.23,70,0,POSTOJNA
22.04.2025 13:10 UTC,22.04.2025 15:10 CEST,15.8,11.6,76,0.0,,0.0,3.39,38,0,POSTOJNA
22.04.2025 14:00 UTC,22.04.2025 16:00 CEST,15.3,12.4,83,0.2,0.44,0.44,2.16,113,0,POSTOJNA
22.04.2025 15:00 UTC,22.04.2025 17:00 CEST,16.5,12.3,76,0.0,0.13,0.57,1.07,336,0,POSTOJNA
22.04.2025 16:00 UTC,22.04.2025 18:00 CEST,18.5,12.5,68,0.0,0.0,0.57,1.26,47,0,POSTOJNA
22.04.2025 17:00 UTC,22.04.2025 19:00 CEST,17.9,11.7,67,0.0,0.0,0.57,3.44,41,0,POSTOJNA
22.04.2025 18:00 UTC,22.04.2025 20:00 CEST,16.2,10.9,71,0.0,0.0,0.57,2.25,32,0,POSTOJNA
22.04.2025 19:00 UTC,22.04.2025 21:00 CEST,14.8,10.8,77,0.0,0.0,0.0,2.04,349,0,POSTOJNA
22.04.2025 20:00 UTC,22.04.2025 22:00 CEST,14.2,11.0,81,0.0,0.0,0.0,2.51,5,0,POSTOJNA
22.04.2025 21:00 UTC,22.04.2025 23:00 CEST,12.8,11.2,90,0.0,0.0,0.0,2.46,359,0,POSTOJNA
22.04.2025 22:00 UTC,23.04.2025 0:00 CEST,13.8,11,83,0,0,0,3.2,19,0,POSTOJNA
22.04.2025 7:00 UTC,22.04.2025 9:00 CEST,14.9,8.8,67,0.0,0.0,0.0,2.76,20,0,POSTOJNA
22.04.2025 8:40 UTC,22.04.2025 10:40 CEST,18.0,9.4,57,0.0,,0.0,3.5,25,0,POSTOJNA
22.04.2025 9:00 UTC,22.04.2025 11:00 CEST,20.1,9.1,49,0.0,0.0,0.0,3.45,95,0,POSTOJNA
22.04.2025 9:40 UTC,22.04.2025 11:40 CEST,20.5,9.1,48,0.0,,0.0,5.37,74,0,POSTOJNA
