timestamp_utc,timestamp_local,temperature,dew_point,rel_humidity,precipitation,precipitation_1h,precipitation_12h,wind_speed,wind_direction,snow,station
22.04.2025 10:00 UTC,22.04.2025 12:00 CEST,9.1,6.5,84,0,0.2,0.2,4.02,54,0,KUM
22.04.2025 10:20 UTC,22.04.2025 12:20 CEST,10.0,6.9,81,0,,0.44,3.26,54,0,KUM
22.04.2025 11:00 UTC,22.04.2025 13:00 CEST,13.1,8.4,73,0,0.24,0.44,2.67,82,0,KUM
22.04.2025 12:10 UTC,22.04.2025 14:10 CEST,14.1,8.5,69,0,,0.44,1.21,123,0,KUM
22.04.2025 13:10 UTC,22.04.2025 15:10 CEST,16.2,8.2,59,0,,0.44,1.19,86,0,KUM
22.04.2025 14:00 UTC,22.04.2025 16:00 CEST,14.0,7.5,65,0,0.0,0.44,1.14,4,0,KUM
22.04.2025 15:00 UTC,22.04.2025 17:00 CEST,13.4,8.1,70,0,0.0,0.44,0.67,358,0,KUM
22.04.2025 16:00 UTC,22.04.2025 18:00 CEST,12.8,7.3,69,0,0.0,0.44,1.04,38,0,KUM
22.04.2025 17:00 UTC,22.04.2025 19:00 CEST,11.8,7.5,75,0,0.0,0.44,2.56,71,0,KUM
22.04.2025 18:00 UTC,22.04.2025 20:00 CEST,11.9,6.8,71,0,0.0,0.44,2.9,85,0,KUM
22.04.2025 19:00 UTC,22.04.2025 21:00 CEST,11.2,5.3,67,0,0.0,0.0,3.6,80,0,KUM
22.04.2025 20:00 UTC,22.04.2025 22:00 CEST,11.5,4.9,64,0,0.0,0.0,3.69,82,0,KUM
22.04.2025 21:00 UTC,22.04.2025 23:00 CEST,11.6,4.6,62,0,0.0,0.0,4.76,96,0,KUM
22.04.2025 22:00 UTC,23.04.2025 0:00 CEST,11.0,4.7,65,0,0.0,0.0,4.46,98,0,KUM
22.04.2025 23:00 UTC,23.04.2025 1:00 CEST,10.7,5.5,70,0,0.0,0.0,3.14,94,0,KUM
22.04.2025 7:00 UTC,22.04.2025 9:00 CEST,12.4,8.1,75,0,0.0,0.0,2.7,71,0,KUM
22.04.2025 8:40 UTC,22.04.2025 10:40 CEST,12.4,6.2,66,0,,0.0,2.61,74,0,KUM
22.04.2025 9:00 UTC,22.04.2025 11:00 CEST,12.5,6.8,68,0,0.0,0.0,1.74,98,0,KUM
22.04.2025 9:40 UTC,22.04.2025 11:40 CEST,10.3,7.5,83,0,,0.0,2.89,79,0,KUM
23.04.2025 0:40 UTC,23.04.2025 2:40 CEST,9.3,5.1,75,0,,0.0,2.05,344,0,KUM
23.04.2025 10:00 UTC,23.04.2025 12:00 CEST,10.0,7.9,87,0,0.42,0.42,1.67,6,0,KUM
23.04.2025 11:00 UTC,23.04.2025 13:00 CEST,10.0,7.3,83,0,0.29,0.71,1.26,84,0,KUM
23.04.2025 12:10 UTC,23.04.2025 14:10 CEST,10.5,9.4,93,0,,2.09,1.07,57,0,KUM
23.04.2025 13:10 UTC,23.04.2025 15:10 CEST,13.4,9.7,78,0,,2.09,1.2,110,0,KUM
23.04.2025 2:10 UTC,23.04.2025 4:10 CEST,9.4,4.2,70,0,,0.0,2.83,39,0,KUM
23.04.2025 3:20 UTC,23.04.2025 5:20 CEST,9.1,4.7,74,0,,0.0,3.53,58,0,KUM
23.04.2025 4:00 UTC,23.04.2025 6:00 CEST,9.0,4.2,72,0,0.0,0.0,3.06,44,0,KUM
23.04.2025 5:00 UTC,23.04.2025 7:00 CEST,9.1,4.5,73,0,0.0,0.0,2.54,30,0,KUM
23.04.2025 6:00 UTC,23.04.2025 8:00 CEST,9.6,5.2,74,0,0.0,0.0,1.84,4,0,KUM
23.04.2025 7:00 UTC,23.04.2025 9:00 CEST,11.4,5.3,66,0,0.0,0.0,1.47,83,0,KUM
23.04.2025 8:00 UTC,23.04.2025 10:00 CEST,11.4,5.5,67,0,0.0,0.0,1.18,89,0,KUM
23.04.2025 9:00 UTC,23.04.2025 11:00 CEST,10.8,7.1,78,0,0.0,0.0,2.44,136,0,KUM
