timestamp_utc,timestamp_local,temperature,dew_point,rel_humidity,precipitation,precipitation_1h,precipitation_12h,wind_speed,wind_direction,snow,station
22.04.2025 10:00 UTC,22.04.2025 12:00 CEST,22.5,13.6,57,0,0.0,0,,,0,METLIKA
22.04.2025 10:20 UTC,22.04.2025 12:20 CEST,22.0,12.0,53,0,,0,,,0,METLIKA
22.04.2025 11:00 UTC,22.04.2025 13:00 CEST,22.5,11.9,51,0,0.0,0,,,0,METLIKA
22.04.2025 12:10 UTC,22.04.2025 14:10 CEST,23.9,10.6,43,0,,0,,,0,METLIKA
22.04.2025 13:10 UTC,22.04.2025 15:10 CEST,23.9,10.2,42,0,,0,,,0,METLIKA
22.04.2025 14:00 UTC,22.04.2025 16:00 CEST,24.6,10.5,41,0,0.0,0,,,0,METLIKA
22.04.2025 15:00 UTC,22.04.2025 17:00 CEST,23.7,10.7,44,0,0.0,0,,,0,METLIKA
22.04.2025 16:00 UTC,22.04.2025 18:00 CEST,22.4,10.5,47,0,0.0,0,,,0,METLIKA
22.04.2025 17:00 UTC,22.04.2025 19:00 CEST,21.7,10.8,50,0,0.0,0,,,0,METLIKA
22.04.2025 18:00 UTC,22.04.2025 20:00 CEST,20.1,11.3,57,0,0.0,0,,,0,METLIKA
22.04.2025 19:00 UTC,22.04.2025 21:00 CEST,17.9,12.1,69,0,0.0,0,,,0,METLIKA
22.04.2025 20:00 UTC,22.04.2025 22:00 CEST,16.9,12.0,73,0,0.0,0,,,0,METLIKA
22.04.2025 21:00 UTC,22.04.2025 23:00 CEST,16,11.4,74,0,0,0,,,0,METLIKA
22.04.2025 7:00 UTC,22.04.2025 9:00 CEST,14.8,11.9,83,0,0.0,0,,,0,METLIKA
22.04.2025 8:40 UTC,22.04.2025 10:40 CEST,18.9,12.4,66,0,,0,,,0,METLIKA
22.04.2025 9:00 UTC,22.04.2025 11:00 CEST,19.7,11.2,58,0,0.0,0,,,0,METLIKA
22.04.2025 9:40 UTC,22.04.2025 11:40 CEST,21.6,13.3,59,0,,0,,,0,METLIKA
