timestamp_utc,timestamp_local,temperature,dew_point,rel_humidity,precipitation,precipitation_1h,precipitation_12h,wind_speed,wind_direction,snow,station
22.04.2025 10:00 UTC,22.04.2025 12:00 CEST,12.2,7.3,72,0,0.0,0.0,5.17,60,0,NANOS
22.04.2025 10:20 UTC,22.04.2025 12:20 CEST,12.9,8.6,75,0,,0.0,5.65,64,0,NANOS
22.04.2025 11:00 UTC,22.04.2025 13:00 CEST,13.8,8.0,68,0,0.0,0.0,4.89,59,0,NANOS
22.04.2025 12:10 UTC,22.04.2025 14:10 CEST,13.1,8.0,71,0,,0.0,3.54,70,0,NANOS
22.04.2025 13:10 UTC,22.04.2025 15:10 CEST,11.7,8.0,78,0,,0.0,4.2,60,0,NANOS
22.04.2025 14:00 UTC,22.04.2025 16:00 CEST,11.9,8.6,80,0,0.19,0.19,4.65,47,0,NANOS
22.04.2025 15:00 UTC,22.04.2025 17:00 CEST,13.3,7.5,68,0,0.0,0.19,3.95,53,0,NANOS
22.04.2025 16:00 UTC,22.04.2025 18:00 CEST,12.5,9.0,79,0,0.0,0.19,3.81,48,0,NANOS
22.04.2025 17:00 UTC,22.04.2025 19:00 CEST,11.7,8.2,79,0,0.0,0.19,4.12,39,0,NANOS
22.04.2025 18:00 UTC,22.04.2025 20:00 CEST,11.2,8.8,85,0,0.0,0.19,4.37,46,0,NANOS
22.04.2025 19:00 UTC,22.04.2025 21:00 CEST,11.4,8.8,84,0,0.0,0.0,5.92,55,0,NANOS
22.04.2025 20:00 UTC,22.04.2025 22:00 CEST,11.4,8.4,82,0,0.0,0.0,6.47,60,0,NANOS
22.04.2025 21:00 UTC,22.04.2025 23:00 CEST,11.4,7.9,79,0,0.0,0.0,5.33,65,0,NANOS
22.04.2025 22:00 UTC,23.04.2025 0:00 CEST,11.0,7.5,79,0,0.0,0.0,5.22,63,0,NANOS
22.04.2025 23:00 UTC,23.04.2025 1:00 CEST,10.7,6.8,77,0,0.0,0.0,5.43,59,0,NANOS
22.04.2025 7:00 UTC,22.04.2025 9:00 CEST,11.2,5.7,69,0,0.0,0.0,6.16,46,0,NANOS
22.04.2025 8:40 UTC,22.04.2025 10:40 CEST,11.2,6.9,75,0,,0.0,5.32,51,0,NANOS
22.04.2025 9:00 UTC,22.04.2025 11:00 CEST,11.8,7.3,74,0,0.0,0.0,5.02,46,0,NANOS
22.04.2025 9:40 UTC,22.04.2025 11:40 CEST,13.4,7.6,68,0,,0.0,5.53,65,0,NANOS
23.04.2025 0:40 UTC,23.04.2025 2:40 CEST,10.1,6.6,79,0,,0.0,6.21,51,0,NANOS
23.04.2025 10:00 UTC,23.04.2025 12:00 CEST,10.4,6.9,79,0,0.29,0.29,4.15,62,0,NANOS
23.04.2025 11:00 UTC,23.04.2025 13:00 CEST,11.8,6.9,72,0,0.0,0.29,5.59,64,0,NANOS
23.04.2025 12:10 UTC,23.04.2025 14:10 CEST,12.0,7.7,75,0,,0.29,5.7,57,0,NANOS
23.04.2025 13:10 UTC,23.04.2025 15:10 CEST,12.5,7.8,73,0,,0.29,5.12,57,0,NANOS
23.04.2025 2:10 UTC,23.04.2025 4:10 CEST,9.5,6.2,80,0,,0.0,6.0,59,0,NANOS
23.04.2025 3:20 UTC,23.04.2025 5:20 CEST,9.4,6.5,82,0,,0.0,6.29,62,0,NANOS
23.04.2025 4:00 UTC,23.04.2025 6:00 CEST,9.0,6.3,83,0,0.0,0.0,6.51,61,0,NANOS
23.04.2025 5:00 UTC,23.04.2025 7:00 CEST,9.2,5.8,79,0,0.0,0.0,6.48,63,0,NANOS
23.04.2025 6:00 UTC,23.04.2025 8:00 CEST,10.6,6.0,73,0,0.0,0.0,7.05,63,0,NANOS
23.04.2025 7:00 UTC,23.04.2025 9:00 CEST,10.3,5.5,72,0,0.0,0.0,5.84,55,0,NANOS
23.04.2025 8:00 UTC,23.04.2025 10:00 CEST,9.8,5.8,76,0,0.0,0.0,6.06,56,0,NANOS
23.04.2025 9:00 UTC,23.04.2025 11:00 CEST,9.7,5.9,77,0,0.0,0.0,3.29,82,0,NANOS
