timestamp_utc,timestamp_local,temperature,dew_point,rel_humidity,precipitation,precipitation_1h,precipitation_12h,wind_speed,wind_direction,snow,station
22.04.2025 10:00 UTC,22.04.2025 12:00 CEST,20.9,15.7,72,0.0,0.0,0.0,2.6,294,,KOPER - LUKA
22.04.2025 12:00 UTC,22.04.2025 14:00 CEST,21.3,15.7,71,0.0,0.0,0.0,2.8,280,,KOPER - LUKA
22.04.2025 13:00 UTC,22.04.2025 15:00 CEST,22.7,16.7,69,0.0,0.0,0.0,2.7,293,,KOPER - LUKA
22.04.2025 8:30 UTC,22.04.2025 10:30 CEST,18.9,14.9,78,0.0,,0.0,1.8,297,,KOPER - LUKA
22.04.2025 9:30 UTC,22.04.2025 11:30 CEST,20.5,15.6,74,0.0,,0.0,2.0,289,,KOPER - LUKA
23.04.2025 0:30 UTC,23.04.2025 2:30 CEST,13.7,12.1,90,0.0,,0.0,1.4,110,,KOPER - LUKA
23.04.2025 12:00 UTC,23.04.2025 14:00 CEST,25.8,13.5,47,0.0,0.0,0.0,1.5,51,,KOPER - LUKA
23.04.2025 13:00 UTC,23.04.2025 15:00 CEST,24.0,13.7,53,0.0,0.0,0.0,3.7,289,,KOPER - LUKA
23.04.2025 2:00 UTC,23.04.2025 4:00 CEST,13.2,11.5,90,0.0,0.0,0.0,1.4,107,,KOPER - LUKA
23.04.2025 3:00 UTC,23.04.2025 5:00 CEST,12.7,11.2,91,0.0,0.0,0.0,0.2,117,,KOPER - LUKA
24.04.2025 0:30 UTC,24.04.2025 2:30 CEST,12.2,10.0,87,0.0,,0.0,1.8,103,,KOPER - LUKA
24.04.2025 10:00 UTC,24.04.2025 12:00 CEST,21.4,14.7,66,0.0,0.0,0.0,3.5,297,,KOPER - LUKA
24.04.2025 13:00 UTC,24.04.2025 15:00 CEST,19.0,15.5,80,0.1,0.1,0.1,0.9,295,,KOPER - LUKA
24.04.2025 2:00 UTC,24.04.2025 4:00 CEST,11.7,9.6,87,0.0,0.0,0.0,1.2,90,,KOPER - LUKA
24.04.2025 3:00 UTC,24.04.2025 5:00 CEST,12.4,10.3,87,0.0,0.0,0.0,1.3,95,,KOPER - LUKA
24.04.2025 8:00 UTC,24.04.2025 10:00 CEST,19.0,12.5,66,0.0,0.0,0.0,1.5,299,,KOPER - LUKA
24.04.2025 9:00 UTC,24.04.2025 11:00 CEST,20.9,14.2,66,0.0,0.0,0.0,2.0,298,,KOPER - LUKA
25.04.2025 0:30 UTC,25.04.2025 2:30 CEST,15.9,9.7,67,0.0,,0.0,1.5,96,,KOPER - LUKA
25.04.2025 2:00 UTC,25.04.2025 4:00 CEST,16.1,9.7,66,0,0,0,2,94,,KOPER - LUKA
