timestamp_utc,timestamp_local,temperature,dew_point,rel_humidity,precipitation,precipitation_1h,precipitation_12h,wind_speed,wind_direction,snow,station
22.04.2025 10:00 UTC,22.04.2025 12:00 CEST,21.3,12.3,57,0.1,0.1,0.1,2.4,47,,Dolenje Ajdovščina
22.04.2025 12:00 UTC,22.04.2025 14:00 CEST,25.1,11.8,43,0.0,0.0,0.1,2.0,47,,Dolenje Ajdovščina
22.04.2025 13:00 UTC,22.04.2025 15:00 CEST,23.5,11.3,46,0.0,0.0,0.1,1.3,50,,Dolenje Ajdovščina
22.04.2025 8:30 UTC,22.04.2025 10:30 CEST,19.9,11.5,58,0.0,,0.0,0.7,66,,Dolenje Ajdovščina
22.04.2025 9:30 UTC,22.04.2025 11:30 CEST,20.0,12.5,62,0.0,,0.0,0.8,76,,Dolenje Ajdovščina
23.04.2025 0:30 UTC,23.04.2025 2:30 CEST,18.1,9.9,59,0.0,,0.0,1.5,177,,Dolenje Ajdovščina
23.04.2025 12:00 UTC,23.04.2025 14:00 CEST,23.0,11.4,48,0.0,0.0,0.1,1.5,57,,Dolenje Ajdovščina
23.04.2025 13:00 UTC,23.04.2025 15:00 CEST,23.6,11.0,45,0.0,0.0,0.1,1.2,62,,Dolenje Ajdovščina
23.04.2025 2:00 UTC,23.04.2025 4:00 CEST,18.5,9.1,54,0.0,0.0,0.0,3.0,150,,Dolenje Ajdovščina
23.04.2025 3:00 UTC,23.04.2025 5:00 CEST,18.7,8.9,53,0.0,0.0,0.0,3.0,154,,Dolenje Ajdovščina
25.04.2025 0:30 UTC,25.04.2025 2:30 CEST,15.7,8.8,64,0.0,,0.0,1.1,150,,Dolenje Ajdovščina
25.04.2025 2:00 UTC,25.04.2025 4:00 CEST,15.3,7.5,60,0.0,0.0,0.0,1.6,111,,Dolenje Ajdovščina
25.04.2025 3:00 UTC,25.04.2025 5:00 CEST,15.1,7.3,60,0.0,0.0,0.0,1.9,114,,Dolenje Ajdovščina
25.04.2025 6:00 UTC,25.04.2025 8:00 CEST,13.8,7.4,65,0.0,0.3,0.5,2.5,65,,Dolenje Ajdovščina
25.04.2025 8:00 UTC,25.04.2025 10:00 CEST,14.2,6.9,61,0,0,0,2,43,,Dolenje Ajdovščina
