timestamp_utc,timestamp_local,temperature,dew_point,rel_humidity,precipitation,precipitation_1h,precipitation_12h,wind_speed,wind_direction,snow,station
22.04.2025 10:00 UTC,22.04.2025 12:00 CEST,20.2,8.2,46,0.0,0.0,0.0,,,0,GORNJI GRAD
22.04.2025 10:20 UTC,22.04.2025 12:20 CEST,20.2,7.9,45,0.0,,0.0,,,0,GORNJI GRAD
22.04.2025 11:00 UTC,22.04.2025 13:00 CEST,20.5,7.8,44,0.0,0.0,0.0,,,0,GORNJI GRAD
22.04.2025 12:10 UTC,22.04.2025 14:10 CEST,19.8,8.2,47,0.0,,0.0,,,0,GORNJI GRAD
22.04.2025 13:10 UTC,22.04.2025 15:10 CEST,20.8,9.1,47,0.0,,0.0,,,0,GORNJI GRAD
22.04.2025 14:00 UTC,22.04.2025 16:00 CEST,21.4,8.0,42,0.0,0.0,0.0,,,0,GORNJI GRAD
22.04.2025 15:00 UTC,22.04.2025 17:00 CEST,20.7,8.0,44,0.0,0.0,0.0,,,0,GORNJI GRAD
22.04.2025 16:00 UTC,22.04.2025 18:00 CEST,19.0,10.3,57,0.0,0.0,0.0,,,0,GORNJI GRAD
22.04.2025 17:00 UTC,22.04.2025 19:00 CEST,18.7,12.7,68,0.0,0.0,0.0,,,0,GORNJI GRAD
22.04.2025 18:00 UTC,22.04.2025 20:00 CEST,15.1,11.5,79,0.0,0.0,0.0,,,0,GORNJI GRAD
22.04.2025 19:00 UTC,22.04.2025 21:00 CEST,13.8,10.4,80,0.0,0.0,0.0,,,0,GORNJI GRAD
22.04.2025 20:00 UTC,22.04.2025 22:00 CEST,12.0,9.6,85,0.0,0.0,0.0,,,0,GORNJI GRAD
22.04.2025 21:00 UTC,22.04.2025 23:00 CEST,12.3,9.7,84,0.0,0.0,0.0,,,0,GORNJI GRAD
22.04.2025 22:00 UTC,23.04.2025 0:00 CEST,12.3,10.2,87,0.0,0.0,0.0,,,0,GORNJI GRAD
22.04.2025 23:00 UTC,23.04.2025 1:00 CEST,12.1,10.3,89,0.0,0.0,0.0,,,0,GORNJI GRAD
22.04.2025 7:00 UTC,22.04.2025 9:00 CEST,15.3,8.8,65,0.0,0.0,0.0,,,0,GORNJI GRAD
22.04.2025 8:40 UTC,22.04.2025 10:40 CEST,18.7,9.8,56,0.0,,0.0,,,0,GORNJI GRAD
22.04.2025 9:00 UTC,22.04.2025 11:00 CEST,19.0,9.8,55,0.0,0.0,0.0,,,0,GORNJI GRAD
22.04.2025 9:40 UTC,22.04.2025 11:40 CEST,20.2,9.2,49,0.0,,0.0,,,0,GORNJI GRAD
23.04.2025 0:40 UTC,23.04.2025 2:40 CEST,11.6,10.8,95,0.0,,0.12,,,0,GORNJI GRAD
23.04.2025 10:00 UTC,23.04.2025 12:00 CEST,16.6,13.1,80,0.0,0.0,0.51,,,0,GORNJI GRAD
23.04.2025 11:00 UTC,23.04.2025 13:00 CEST,16.9,12.6,76,0.0,0.0,0.51,,,0,GORNJI GRAD
23.04.2025 12:10 UTC,23.04.2025 14:10 CEST,16.7,11.8,73,0.0,,0.51,,,0,GORNJI GRAD
23.04.2025 13:10 UTC,23.04.2025 15:10 CEST,16.9,10.1,64,0.0,,0.51,,,0,GORNJI GRAD
23.04.2025 14:00 UTC,23.04.2025 16:00 CEST,16.7,12.0,74,0.0,0.0,0.51,,,0,GORNJI GRAD
23.04.2025 15:00 UTC,23.04.2025 17:00 CEST,17.1,10.9,67,0.0,0.0,0.51,,,0,GORNJI GRAD
23.04.2025 16:00 UTC,23.04.2025 18:00 CEST,16.8,12.9,78,0.0,0.0,0.51,,,0,GORNJI GRAD
23.04.2025 17:00 UTC,23.04.2025 19:00 CEST,14.8,12.1,84,0.0,0.0,0.51,,,0,GORNJI GRAD
23.04.2025 18:00 UTC,23.04.2025 20:00 CEST,13.3,11.5,89,0.0,0.0,0.51,,,0,GORNJI GRAD
23.04.2025 19:00 UTC,23.04.2025 21:00 CEST,11.9,10.5,91,0.0,0.0,0.0,,,0,GORNJI GRAD
23.04.2025 20:00 UTC,23.04.2025 22:00 CEST,11.6,10.3,92,0.0,0.0,0.0,,,0,GORNJI GRAD
23.04.2025 21:00 UTC,23.04.2025 23:00 CEST,11.0,10.1,94,0.0,0.0,0.0,,,0,GORNJI GRAD
23.04.2025 22:00 UTC,24.04.2025 0:00 CEST,10.3,9.5,95,0.0,0.0,0.0,,,0,GORNJI GRAD
23.04.2025 23:00 UTC,24.04.2025 1:00 CEST,9.4,8.6,95,0.0,0.0,0.0,,,0,GORNJI GRAD
23.04.2025 2:10 UTC,23.04.2025 4:10 CEST,11.3,10.5,95,0.0,,0.12,,,0,GORNJI GRAD
23.04.2025 3:20 UTC,23.04.2025 5:20 CEST,11.4,10.8,96,1.13,,2.57,,,0,GORNJI GRAD
23.04.2025 4:00 UTC,23.04.2025 6:00 CEST,11.3,10.7,96,0.0,2.44,2.62,,,0,GORNJI GRAD
23.04.2025 5:00 UTC,23.04.2025 7:00 CEST,11.5,11.0,97,0.0,0.0,2.62,,,0,GORNJI GRAD
23.04.2025 6:00 UTC,23.04.2025 8:00 CEST,13.0,11.7,92,0.0,0.0,2.62,,,0,GORNJI GRAD
23.04.2025 7:00 UTC,23.04.2025 9:00 CEST,14.7,11.3,80,0.0,0.0,0.0,,,0,GORNJI GRAD
23.04.2025 8:00 UTC,23.04.2025 10:00 CEST,14.5,11.5,82,0.0,0.0,0.0,,,0,GORNJI GRAD
23.04.2025 9:00 UTC,23.04.2025 11:00 CEST,16.0,12.2,78,0.0,0.51,0.51,,,0,GORNJI GRAD
24.04.2025 0:40 UTC,24.04.2025 2:40 CEST,7.8,7.1,95,0.0,,0.0,,,0,GORNJI GRAD
24.04.2025 10:00 UTC,24.04.2025 12:00 CEST,15.6,10.8,73,0.0,0.0,0.0,,,0,GORNJI GRAD
24.04.2025 11:00 UTC,24.04.2025 13:00 CEST,13.9,12.1,89,0.97,1.51,1.51,,,0,GORNJI GRAD
24.04.2025 12:10 UTC,24.04.2025 14:10 CEST,13.2,12.1,93,0.24,,3.05,,,0,GORNJI GRAD
24.04.2025 13:10 UTC,24.04.2025 15:10 CEST,12.9,11.5,91,0.06,,6.45,,,0,GORNJI GRAD
24.04.2025 14:00 UTC,24.04.2025 16:00 CEST,12.5,11.4,93,0.23,0.94,7.33,,,0,GORNJI GRAD
24.04.2025 2:10 UTC,24.04.2025 4:10 CEST,7.3,6.7,96,0.0,,0.0,,,0,GORNJI GRAD
24.04.2025 3:20 UTC,24.04.2025 5:20 CEST,6.7,6.3,97,0.0,,0.0,,,0,GORNJI GRAD
24.04.2025 4:00 UTC,24.04.2025 6:00 CEST,6.7,6.3,97,0.0,0.0,0.0,,,0,GORNJI GRAD
24.04.2025 5:00 UTC,24.04.2025 7:00 CEST,7.9,7.8,99,0.0,0.0,0.0,,,0,GORNJI GRAD
24.04.2025 6:00 UTC,24.04.2025 8:00 CEST,10.9,10.4,97,0.0,0.0,0.0,,,0,GORNJI GRAD
24.04.2025 7:00 UTC,24.04.2025 9:00 CEST,14.2,9.4,73,0.0,0.0,0.0,,,0,GORNJI GRAD
24.04.2025 8:00 UTC,24.04.2025 10:00 CEST,17.5,10.4,63,0.0,0.0,0.0,,,0,GORNJI GRAD
24.04.2025 9:00 UTC,24.04.2025 11:00 CEST,17.1,10.7,66,0.0,0.0,0.0,,,0,GORNJI GRAD
