timestamp_utc,timestamp_local,temperature,dew_point,rel_humidity,precipitation,precipitation_1h,precipitation_12h,wind_speed,wind_direction,snow,station
22.04.2025 12:10 UTC,22.04.2025 14:10 CEST,14.3,9.9,75,0.0,,,1.4,10,0.0,ZGORNJA KAPLA
22.04.2025 13:10 UTC,22.04.2025 15:10 CEST,17.2,7.0,51,0.0,,,2.46,38,0.0,ZGORNJA KAPLA
22.04.2025 14:00 UTC,22.04.2025 16:00 CEST,18.3,9.4,56,0.0,0.0,,1.78,49,0.0,ZGORNJA KAPLA
22.04.2025 15:00 UTC,22.04.2025 17:00 CEST,18.1,7.2,49,0.0,0.0,,2.96,31,0.0,ZGORNJA KAPLA
22.04.2025 16:00 UTC,22.04.2025 18:00 CEST,18.0,7.7,51,0.0,0.0,,1.6,15,0.0,ZGORNJA KAPLA
22.04.2025 17:00 UTC,22.04.2025 19:00 CEST,16.0,8.0,59,0.0,0.0,,1.74,32,0.0,ZGORNJA KAPLA
22.04.2025 18:00 UTC,22.04.2025 20:00 CEST,14.3,8.5,68,0.0,0.0,,2.08,30,0.0,ZGORNJA KAPLA
22.04.2025 19:00 UTC,22.04.2025 21:00 CEST,15.1,7.4,60,0.0,0.0,0.0,0.95,56,0.0,ZGORNJA KAPLA
22.04.2025 20:00 UTC,22.04.2025 22:00 CEST,14.5,7.6,63,0.0,0.0,0.0,1.5,56,0.0,ZGORNJA KAPLA
22.04.2025 21:00 UTC,22.04.2025 23:00 CEST,14.2,6.8,61,0.0,0.0,0.0,2.04,70,0.0,ZGORNJA KAPLA
22.04.2025 22:00 UTC,23.04.2025 0:00 CEST,14.1,6.5,60,0.0,0.0,0.0,2.09,107,0.0,ZGORNJA KAPLA
22.04.2025 23:00 UTC,23.04.2025 1:00 CEST,13.1,6.9,66,0.0,0.0,0.0,1.41,28,0.0,ZGORNJA KAPLA
23.04.2025 0:40 UTC,23.04.2025 2:40 CEST,11.9,7.4,74,0.0,,0.0,0.39,353,0.0,ZGORNJA KAPLA
23.04.2025 11:00 UTC,23.04.2025 13:00 CEST,14.4,10.6,78,0.04,,0.34,2.35,206,0.0,ZGORNJA KAPLA
23.04.2025 12:10 UTC,23.04.2025 14:10 CEST,16.2,10.5,69,0.0,,0.34,1.37,175,0.0,ZGORNJA KAPLA
23.04.2025 13:10 UTC,23.04.2025 15:10 CEST,15.9,10.7,71,0.0,,0.45,2.15,218,0.0,ZGORNJA KAPLA
23.04.2025 14:00 UTC,23.04.2025 16:00 CEST,12.5,11.6,94,0.0,6.28,6.73,0.98,192,0.0,ZGORNJA KAPLA
23.04.2025 15:00 UTC,23.04.2025 17:00 CEST,15.8,12.2,79,0.0,0.34,7.07,2.34,229,0.0,ZGORNJA KAPLA
