timestamp_utc,timestamp_local,temperature,dew_point,rel_humidity,precipitation,precipitation_1h,precipitation_12h,wind_speed,wind_direction,snow,station
22.04.2025 10:00 UTC,22.04.2025 12:00 CEST,18.2,7.0,48,0,0.0,0.0,,,,HOČKO POHORJE
22.04.2025 10:20 UTC,22.04.2025 12:20 CEST,18.0,7.1,49,0,,0.0,,,,HOČKO POHORJE
22.04.2025 11:00 UTC,22.04.2025 13:00 CEST,17.9,7.9,52,0,0.0,0.0,,,,HOČKO POHORJE
22.04.2025 12:10 UTC,22.04.2025 14:10 CEST,17.6,9.5,59,0,,0.0,,,,HOČKO POHORJE
22.04.2025 13:10 UTC,22.04.2025 15:10 CEST,19.1,8.5,50,0,,0.0,,,,HOČKO POHORJE
22.04.2025 14:00 UTC,22.04.2025 16:00 CEST,19.5,10.2,55,0,0.0,0.0,,,,HOČKO POHORJE
22.04.2025 15:00 UTC,22.04.2025 17:00 CEST,18.2,8.8,54,0,0.0,0.0,,,,HOČKO POHORJE
22.04.2025 16:00 UTC,22.04.2025 18:00 CEST,17.3,8.5,56,0,0.0,0.0,,,,HOČKO POHORJE
22.04.2025 17:00 UTC,22.04.2025 19:00 CEST,16.3,8.5,60,0,0.0,0.0,,,,HOČKO POHORJE
22.04.2025 18:00 UTC,22.04.2025 20:00 CEST,16.1,7.1,55,0,0.0,0.0,,,,HOČKO POHORJE
22.04.2025 19:00 UTC,22.04.2025 21:00 CEST,16.0,6.4,53,0,0.0,0.0,,,,HOČKO POHORJE
22.04.2025 20:00 UTC,22.04.2025 22:00 CEST,16.2,6.4,52,0,0.0,0.0,,,,HOČKO POHORJE
22.04.2025 21:00 UTC,22.04.2025 23:00 CEST,15.5,6.8,56,0,0.0,0.0,,,,HOČKO POHORJE
22.04.2025 22:00 UTC,23.04.2025 0:00 CEST,15.3,6.8,57,0,0.0,0.0,,,,HOČKO POHORJE
22.04.2025 23:00 UTC,23.04.2025 1:00 CEST,15.1,5.9,54,0,0.0,0.0,,,,HOČKO POHORJE
22.04.2025 7:00 UTC,22.04.2025 9:00 CEST,16.5,6.6,52,0,0.0,0.0,,,,HOČKO POHORJE
22.04.2025 8:40 UTC,22.04.2025 10:40 CEST,17.8,8.4,54,0,,0.0,,,,HOČKO POHORJE
22.04.2025 9:00 UTC,22.04.2025 11:00 CEST,17.8,8.1,53,0,0.0,0.0,,,,HOČKO POHORJE
22.04.2025 9:40 UTC,22.04.2025 11:40 CEST,18.6,7.1,47,0,,0.0,,,,HOČKO POHORJE
23.04.2025 0:40 UTC,23.04.2025 2:40 CEST,14.8,5.9,55,0,,0.0,,,,HOČKO POHORJE
23.04.2025 10:00 UTC,23.04.2025 12:00 CEST,16.3,12.1,76,0,0.0,0.0,,,,HOČKO POHORJE
23.04.2025 11:00 UTC,23.04.2025 13:00 CEST,18.2,9.3,56,0,0.0,0.0,,,,HOČKO POHORJE
23.04.2025 12:10 UTC,23.04.2025 14:10 CEST,18.7,10.0,57,0,,0.0,,,,HOČKO POHORJE
23.04.2025 13:10 UTC,23.04.2025 15:10 CEST,18.3,9.4,56,0,,0.0,,,,HOČKO POHORJE
23.04.2025 14:00 UTC,23.04.2025 16:00 CEST,16.2,12.0,76,0,0.2,0.2,,,,HOČKO POHORJE
23.04.2025 15:00 UTC,23.04.2025 17:00 CEST,16.7,9.9,64,0,0.0,0.2,,,,HOČKO POHORJE
23.04.2025 16:00 UTC,23.04.2025 18:00 CEST,16.3,9.7,65,0,0.0,0.2,,,,HOČKO POHORJE
23.04.2025 17:00 UTC,23.04.2025 19:00 CEST,15.7,9.2,65,0,0.0,0.2,,,,HOČKO POHORJE
23.04.2025 18:00 UTC,23.04.2025 20:00 CEST,15.3,8.3,63,0,0.0,0.2,,,,HOČKO POHORJE
23.04.2025 19:00 UTC,23.04.2025 21:00 CEST,15.1,8.8,66,0,0.0,0.0,,,,HOČKO POHORJE
23.04.2025 20:00 UTC,23.04.2025 22:00 CEST,15.2,8.9,66,0,0.0,0.0,,,,HOČKO POHORJE
23.04.2025 21:00 UTC,23.04.2025 23:00 CEST,15.2,8.7,65,0,0.0,0.0,,,,HOČKO POHORJE
23.04.2025 22:00 UTC,24.04.2025 0:00 CEST,14.7,8.9,68,0,0.0,0.0,,,,HOČKO POHORJE
23.04.2025 23:00 UTC,24.04.2025 1:00 CEST,14.2,7.5,64,0,0,0,,,,HOČKO POHORJE
23.04.2025 2:10 UTC,23.04.2025 4:10 CEST,14.3,6.4,59,0,,0.0,,,,HOČKO POHORJE
23.04.2025 3:20 UTC,23.04.2025 5:20 CEST,14.1,6.0,58,0,,0.0,,,,HOČKO POHORJE
23.04.2025 4:00 UTC,23.04.2025 6:00 CEST,13.6,6.7,63,0,0.0,0.0,,,,HOČKO POHORJE
23.04.2025 5:00 UTC,23.04.2025 7:00 CEST,14.3,6.9,61,0,0.0,0.0,,,,HOČKO POHORJE
23.04.2025 6:00 UTC,23.04.2025 8:00 CEST,16.0,7.8,58,0,0.0,0.0,,,,HOČKO POHORJE
23.04.2025 7:00 UTC,23.04.2025 9:00 CEST,16.1,7.3,56,0,0.0,0.0,,,,HOČKO POHORJE
23.04.2025 8:00 UTC,23.04.2025 10:00 CEST,14.7,10.9,78,0,0.0,0.0,,,,HOČKO POHORJE
23.04.2025 9:00 UTC,23.04.2025 11:00 CEST,17.0,10.2,64,0,0.0,0.0,,,,HOČKO POHORJE
