timestamp_utc,timestamp_local,temperature,dew_point,rel_humidity,precipitation,precipitation_1h,precipitation_12h,wind_speed,wind_direction,snow,station
22.04.2025 10:00 UTC,22.04.2025 12:00 CEST,20.1,8.1,46,0.0,0.0,0.0,1.79,26,0,MARIBOR - VRBANSKI PLATO
22.04.2025 10:20 UTC,22.04.2025 12:20 CEST,20.5,7.5,43,0.0,,0.0,2.6,59,0,MARIBOR - VRBANSKI PLATO
22.04.2025 11:00 UTC,22.04.2025 13:00 CEST,21.0,9.0,46,0.0,0.0,0.0,2.69,64,0,MARIBOR - VRBANSKI PLATO
22.04.2025 12:10 UTC,22.04.2025 14:10 CEST,20.6,9.2,48,0.0,,0.0,2.32,78,0,MARIBOR - VRBANSKI PLATO
22.04.2025 13:10 UTC,22.04.2025 15:10 CEST,21.4,8.7,44,0.0,,0.0,1.9,97,0,MARIBOR - VRBANSKI PLATO
22.04.2025 14:00 UTC,22.04.2025 16:00 CEST,21.7,9.6,46,0.0,0.0,0.0,1.53,65,0,MARIBOR - VRBANSKI PLATO
22.04.2025 15:00 UTC,22.04.2025 17:00 CEST,21.8,8.7,43,0.0,0.0,0.0,1.85,83,0,MARIBOR - VRBANSKI PLATO
22.04.2025 16:00 UTC,22.04.2025 18:00 CEST,21.9,8.4,42,0.0,0.0,0.0,0.94,41,0,MARIBOR - VRBANSKI PLATO
22.04.2025 18:00 UTC,22.04.2025 20:00 CEST,15.8,10.6,71,0.0,0.0,0.0,1.29,328,0,MARIBOR - VRBANSKI PLATO
22.04.2025 19:00 UTC,22.04.2025 21:00 CEST,14.2,9.8,75,0.0,0.0,0.0,1.18,309,0,MARIBOR - VRBANSKI PLATO
22.04.2025 20:00 UTC,22.04.2025 22:00 CEST,13.2,10.2,82,0.0,0.0,0.0,1.05,320,0,MARIBOR - VRBANSKI PLATO
22.04.2025 21:00 UTC,22.04.2025 23:00 CEST,13.5,10.3,81,0.0,0.0,0.0,1.19,311,0,MARIBOR - VRBANSKI PLATO
22.04.2025 22:00 UTC,23.04.2025 0:00 CEST,14.2,10.0,76,0.0,0.0,0.0,1.35,329,0,MARIBOR - VRBANSKI PLATO
22.04.2025 23:00 UTC,23.04.2025 1:00 CEST,14.4,11.0,80,0.0,0.0,0.0,1.84,266,0,MARIBOR - VRBANSKI PLATO
22.04.2025 7:00 UTC,22.04.2025 9:00 CEST,15.6,10.2,70,0.0,0.0,0.0,1.81,276,0,MARIBOR - VRBANSKI PLATO
22.04.2025 8:40 UTC,22.04.2025 10:40 CEST,20.3,9.6,50,0.0,,0.0,2.38,101,0,MARIBOR - VRBANSKI PLATO
22.04.2025 9:00 UTC,22.04.2025 11:00 CEST,20.0,9.0,49,0.0,0.0,0.0,3.41,111,0,MARIBOR - VRBANSKI PLATO
22.04.2025 9:40 UTC,22.04.2025 11:40 CEST,20.0,7.1,43,0.0,,0.0,2.37,90,0,MARIBOR - VRBANSKI PLATO
23.04.2025 0:40 UTC,23.04.2025 2:40 CEST,13.5,10.5,82,0.0,,0.0,1.12,309,0,MARIBOR - VRBANSKI PLATO
23.04.2025 10:00 UTC,23.04.2025 12:00 CEST,19.4,8.4,49,0.0,0.0,0.0,0.56,33,0,MARIBOR - VRBANSKI PLATO
23.04.2025 11:00 UTC,23.04.2025 13:00 CEST,20.3,10.1,52,0.0,0.0,0.0,1.82,116,0,MARIBOR - VRBANSKI PLATO
23.04.2025 12:10 UTC,23.04.2025 14:10 CEST,20.8,9.4,48,0.0,,0.0,2.3,73,0,MARIBOR - VRBANSKI PLATO
23.04.2025 13:10 UTC,23.04.2025 15:10 CEST,21.1,9.4,47,0.0,,0.0,2.77,177,0,MARIBOR - VRBANSKI PLATO
23.04.2025 14:00 UTC,23.04.2025 16:00 CEST,20.1,8.5,47,0.0,0.0,0.0,1.99,196,0,MARIBOR - VRBANSKI PLATO
23.04.2025 15:00 UTC,23.04.2025 17:00 CEST,20.0,11.2,57,0.0,0.0,0.0,2.41,288,0,MARIBOR - VRBANSKI PLATO
23.04.2025 16:00 UTC,23.04.2025 18:00 CEST,20.9,9.5,48,0.0,0.0,0.0,1.04,352,0,MARIBOR - VRBANSKI PLATO
23.04.2025 17:00 UTC,23.04.2025 19:00 CEST,19.7,11.7,60,0.0,0.0,0.0,0.42,10,0,MARIBOR - VRBANSKI PLATO
23.04.2025 18:00 UTC,23.04.2025 20:00 CEST,16.8,11.3,70,0.0,0.0,0.0,1.41,309,0,MARIBOR - VRBANSKI PLATO
23.04.2025 19:00 UTC,23.04.2025 21:00 CEST,15.4,12.0,80,0.0,0.0,0.0,0.86,344,0,MARIBOR - VRBANSKI PLATO
23.04.2025 20:00 UTC,23.04.2025 22:00 CEST,15.7,12.1,79,0.0,0.0,0.0,1.86,291,0,MARIBOR - VRBANSKI PLATO
23.04.2025 21:00 UTC,23.04.2025 23:00 CEST,14.5,11.5,82,0.0,0.0,0.0,1.49,283,0,MARIBOR - VRBANSKI PLATO
23.04.2025 22:00 UTC,24.04.2025 0:00 CEST,14.7,11.7,82,0.0,0.0,0.0,1.22,283,0,MARIBOR - VRBANSKI PLATO
23.04.2025 23:00 UTC,24.04.2025 1:00 CEST,14.0,11.3,84,0.0,0.0,0.0,1.62,296,0,MARIBOR - VRBANSKI PLATO
23.04.2025 2:10 UTC,23.04.2025 4:10 CEST,13.3,10.1,81,0.0,,0.0,3.47,289,0,MARIBOR - VRBANSKI PLATO
23.04.2025 3:20 UTC,23.04.2025 5:20 CEST,12.8,10.0,83,0.0,,0.0,1.87,286,0,MARIBOR - VRBANSKI PLATO
23.04.2025 4:00 UTC,23.04.2025 6:00 CEST,12.7,10.1,84,0.0,0.0,0.0,2.34,279,0,MARIBOR - VRBANSKI PLATO
23.04.2025 5:00 UTC,23.04.2025 7:00 CEST,12.9,9.5,80,0.0,0.0,0.0,2.97,278,0,MARIBOR - VRBANSKI PLATO
23.04.2025 6:00 UTC,23.04.2025 8:00 CEST,14.2,9.6,74,0.0,0.0,0.0,2.58,285,0,MARIBOR - VRBANSKI PLATO
23.04.2025 7:00 UTC,23.04.2025 9:00 CEST,15.7,10.3,70,0.0,0.0,0.0,2.4,286,0,MARIBOR - VRBANSKI PLATO
23.04.2025 8:00 UTC,23.04.2025 10:00 CEST,16.9,11.2,69,0.0,0.0,0.0,1.52,272,0,MARIBOR - VRBANSKI PLATO
23.04.2025 9:00 UTC,23.04.2025 11:00 CEST,18.6,10.7,60,0.0,0.0,0.0,1.61,263,0,MARIBOR - VRBANSKI PLATO
24.04.2025 0:40 UTC,24.04.2025 2:40 CEST,10.5,9.7,95,0.0,,0.0,1.41,317,0,MARIBOR - VRBANSKI PLATO
24.04.2025 10:00 UTC,24.04.2025 12:00 CEST,20.3,12.8,62,0.0,0.0,0.0,2.78,102,0,MARIBOR - VRBANSKI PLATO
24.04.2025 11:00 UTC,24.04.2025 13:00 CEST,19.6,13.1,66,0.0,0.0,0.0,4.41,100,0,MARIBOR - VRBANSKI PLATO
24.04.2025 12:10 UTC,24.04.2025 14:10 CEST,16.4,11.8,74,0.0,,0.0,1.79,239,0,MARIBOR - VRBANSKI PLATO
24.04.2025 13:10 UTC,24.04.2025 15:10 CEST,14.1,10.7,80,0.0,,0.0,3.54,287,0,MARIBOR - VRBANSKI PLATO
24.04.2025 14:00 UTC,24.04.2025 16:00 CEST,12.9,11.5,91,1.2,2.08,2.08,2.97,268,0,MARIBOR - VRBANSKI PLATO
24.04.2025 15:00 UTC,24.04.2025 17:00 CEST,13.1,11.0,87,0.0,0.66,2.74,3.45,295,0,MARIBOR - VRBANSKI PLATO
24.04.2025 16:00 UTC,24.04.2025 18:00 CEST,13.0,10.5,85,0.0,0.0,2.74,2.21,317,0,MARIBOR - VRBANSKI PLATO
24.04.2025 17:00 UTC,24.04.2025 19:00 CEST,12.9,11.0,88,0.0,0.0,2.74,1.51,305,0,MARIBOR - VRBANSKI PLATO
24.04.2025 18:00 UTC,24.04.2025 20:00 CEST,12.6,11.2,91,0.0,0.0,2.74,2.57,291,0,MARIBOR - VRBANSKI PLATO
24.04.2025 19:00 UTC,24.04.2025 21:00 CEST,12.4,10.3,87,0.0,0.0,0.0,2.0,321,0,MARIBOR - VRBANSKI PLATO
24.04.2025 20:00 UTC,24.04.2025 22:00 CEST,12.1,10.5,90,0.0,0.0,0.0,2.75,294,0,MARIBOR - VRBANSKI PLATO
24.04.2025 21:00 UTC,24.04.2025 23:00 CEST,11.8,10.5,92,0.0,0.05,0.05,3.8,288,0,MARIBOR - VRBANSKI PLATO
24.04.2025 22:00 UTC,25.04.2025 0:00 CEST,11.8,10.5,92,0.0,0.0,0.05,2.78,285,0,MARIBOR - VRBANSKI PLATO
24.04.2025 23:00 UTC,25.04.2025 1:00 CEST,11.8,10.2,90,0.0,0.0,0.05,2.24,293,0,MARIBOR - VRBANSKI PLATO
24.04.2025 2:10 UTC,24.04.2025 4:10 CEST,11.0,9.8,92,0.0,,0.0,1.34,328,0,MARIBOR - VRBANSKI PLATO
24.04.2025 3:20 UTC,24.04.2025 5:20 CEST,11.1,9.9,92,0.0,,0.0,1.51,317,0,MARIBOR - VRBANSKI PLATO
24.04.2025 4:00 UTC,24.04.2025 6:00 CEST,10.9,9.8,93,0.0,0.0,0.0,1.62,303,0,MARIBOR - VRBANSKI PLATO
