timestamp_utc,timestamp_local,temperature,dew_point,rel_humidity,precipitation,precipitation_1h,precipitation_12h,wind_speed,wind_direction,snow,station
22.04.2025 10:00 UTC,22.04.2025 12:00 CEST,19.5,9.7,53,,,,0.79,122,,TRBOVLJE
22.04.2025 10:20 UTC,22.04.2025 12:20 CEST,18.9,11.0,60,,,,0.69,123,,TRBOVLJE
22.04.2025 11:00 UTC,22.04.2025 13:00 CEST,19.6,9.8,53,,,,1.11,129,,TRBOVLJE
22.04.2025 12:10 UTC,22.04.2025 14:10 CEST,22.6,9.4,43,,,,1.31,332,,TRBOVLJE
22.04.2025 13:10 UTC,22.04.2025 15:10 CEST,23.5,9.1,40,,,,0.82,160,,TRBOVLJE
22.04.2025 14:00 UTC,22.04.2025 16:00 CEST,23.6,9.2,40,,,,1.45,343,,TRBOVLJE
22.04.2025 15:00 UTC,22.04.2025 17:00 CEST,22.6,9.1,42,,,,0.94,134,,TRBOVLJE
22.04.2025 16:00 UTC,22.04.2025 18:00 CEST,21.1,11.4,54,,,,0.78,18,,TRBOVLJE
22.04.2025 17:00 UTC,22.04.2025 19:00 CEST,19.3,12.3,64,,,,0.78,345,,TRBOVLJE
22.04.2025 18:00 UTC,22.04.2025 20:00 CEST,18.1,11.9,67,,,,0.45,347,,TRBOVLJE
22.04.2025 19:00 UTC,22.04.2025 21:00 CEST,16.1,11.7,75,,,,0.81,39,,TRBOVLJE
22.04.2025 20:00 UTC,22.04.2025 22:00 CEST,15.1,11.1,77,,,,0.51,4,,TRBOVLJE
22.04.2025 21:00 UTC,22.04.2025 23:00 CEST,14.8,11.2,79,,,,0.45,14,,TRBOVLJE
22.04.2025 22:00 UTC,23.04.2025 0:00 CEST,14.6,11.9,84,,,,0.27,155,,TRBOVLJE
22.04.2025 23:00 UTC,23.04.2025 1:00 CEST,13.5,10.9,84,,,,0.47,164,,TRBOVLJE
22.04.2025 7:00 UTC,22.04.2025 9:00 CEST,17.6,10.2,62,,,,1.26,151,,TRBOVLJE
22.04.2025 8:40 UTC,22.04.2025 10:40 CEST,19.5,10.0,54,,,,1.17,155,,TRBOVLJE
22.04.2025 9:00 UTC,22.04.2025 11:00 CEST,19.5,10.2,55,,,,1.28,151,,TRBOVLJE
22.04.2025 9:40 UTC,22.04.2025 11:40 CEST,19.8,9.1,50,,,,0.82,105,,TRBOVLJE
23.04.2025 0:40 UTC,23.04.2025 2:40 CEST,12.9,11.1,89,,,,0.42,32,,TRBOVLJE
23.04.2025 10:00 UTC,23.04.2025 12:00 CEST,18.1,12.1,68,,,,1.14,158,,TRBOVLJE
23.04.2025 11:00 UTC,23.04.2025 13:00 CEST,17.5,11.5,68,,,,0.9,152,,TRBOVLJE
23.04.2025 12:10 UTC,23.04.2025 14:10 CEST,15.8,13.8,88,,,,0.24,140,,TRBOVLJE
23.04.2025 13:10 UTC,23.04.2025 15:10 CEST,18.2,12.9,71,,,,0.61,163,,TRBOVLJE
23.04.2025 14:00 UTC,23.04.2025 16:00 CEST,19.0,13.4,70,,,,0.79,237,,TRBOVLJE
23.04.2025 15:00 UTC,23.04.2025 17:00 CEST,20.6,10.7,53,,,,0.87,315,,TRBOVLJE
23.04.2025 16:00 UTC,23.04.2025 18:00 CEST,18.6,13.2,71,,,,0.44,329,,TRBOVLJE
23.04.2025 17:00 UTC,23.04.2025 19:00 CEST,17.0,12.7,76,,,,0.82,341,,TRBOVLJE
23.04.2025 18:00 UTC,23.04.2025 20:00 CEST,15.3,12.2,82,,,,0.59,11,,TRBOVLJE
23.04.2025 19:00 UTC,23.04.2025 21:00 CEST,13.4,11.6,89,,,,0.63,341,,TRBOVLJE
23.04.2025 20:00 UTC,23.04.2025 22:00 CEST,12.4,11.1,92,,,,0.17,182,,TRBOVLJE
23.04.2025 21:00 UTC,23.04.2025 23:00 CEST,11.8,10.9,94,,,,0.6,23,,TRBOVLJE
23.04.2025 22:00 UTC,24.04.2025 0:00 CEST,11.2,10.4,95,,,,0.39,2,,TRBOVLJE
23.04.2025 23:00 UTC,24.04.2025 1:00 CEST,10.6,10.0,96,,,,0.63,313,,TRBOVLJE
23.04.2025 2:10 UTC,23.04.2025 4:10 CEST,12.9,11.0,88,,,,0.43,180,,TRBOVLJE
23.04.2025 3:20 UTC,23.04.2025 5:20 CEST,12.6,11.0,90,,,,0.29,202,,TRBOVLJE
23.04.2025 4:00 UTC,23.04.2025 6:00 CEST,12.2,10.9,92,,,,0.18,158,,TRBOVLJE
23.04.2025 5:00 UTC,23.04.2025 7:00 CEST,11.6,10.5,93,,,,0.33,131,,TRBOVLJE
23.04.2025 6:00 UTC,23.04.2025 8:00 CEST,13.5,11.4,87,,,,0.47,67,,TRBOVLJE
23.04.2025 7:00 UTC,23.04.2025 9:00 CEST,15.8,10.8,72,,,,0.92,161,,TRBOVLJE
23.04.2025 8:00 UTC,23.04.2025 10:00 CEST,18.5,10.6,60,,,,1.16,162,,TRBOVLJE
23.04.2025 9:00 UTC,23.04.2025 11:00 CEST,19.4,9.0,51,,,,0.65,136,,TRBOVLJE
24.04.2025 0:40 UTC,24.04.2025 2:40 CEST,9.4,8.8,96,,,,0.19,230,,TRBOVLJE
24.04.2025 10:00 UTC,24.04.2025 12:00 CEST,20.5,11.4,56,,,,1.39,216,,TRBOVLJE
24.04.2025 11:00 UTC,24.04.2025 13:00 CEST,15.1,13.0,87,,,,0.8,12,,TRBOVLJE
24.04.2025 12:10 UTC,24.04.2025 14:10 CEST,15.1,13.0,87,,,,0.57,335,,TRBOVLJE
24.04.2025 13:10 UTC,24.04.2025 15:10 CEST,13.8,12.5,92,,,,0.66,34,,TRBOVLJE
