timestamp_utc,timestamp_local,temperature,dew_point,rel_humidity,precipitation,precipitation_1h,precipitation_12h,wind_speed,wind_direction,snow,station
22.04.2025 10:00 UTC,22.04.2025 12:00 CEST,18.4,14.8,80,0.0,0.0,0.0,3.0,298,,PORTOROŽ - LETALIŠČE
22.04.2025 12:00 UTC,22.04.2025 14:00 CEST,20.4,13.2,63,0.0,0.0,0.0,3.5,305,,PORTOROŽ - LETALIŠČE
22.04.2025 13:00 UTC,22.04.2025 15:00 CEST,22.7,12.9,54,0.0,0.0,0.0,2.8,321,,PORTOROŽ - LETALIŠČE
22.04.2025 15:00 UTC,22.04.2025 17:00 CEST,22.2,15.1,64,0.0,0.0,0.0,3.4,314,,PORTOROŽ - LETALIŠČE
22.04.2025 16:00 UTC,22.04.2025 18:00 CEST,21.9,15.6,68,0.0,0.0,0.0,2.5,325,,PORTOROŽ - LETALIŠČE
22.04.2025 8:30 UTC,22.04.2025 10:30 CEST,18.4,14.8,80,0.0,,0.0,2.5,314,,PORTOROŽ - LETALIŠČE
22.04.2025 9:30 UTC,22.04.2025 11:30 CEST,18.4,15.4,83,0.0,,0.0,3.6,297,,PORTOROŽ - LETALIŠČE
23.04.2025 0:30 UTC,23.04.2025 2:30 CEST,12.9,11.4,90,0.0,,0.0,3.0,134,,PORTOROŽ - LETALIŠČE
23.04.2025 12:00 UTC,23.04.2025 14:00 CEST,24.0,12.7,49,0.0,0.0,1.24,2.3,3,,PORTOROŽ - LETALIŠČE
23.04.2025 13:00 UTC,23.04.2025 15:00 CEST,21.0,15.5,71,0.0,0.0,1.24,4.8,298,,PORTOROŽ - LETALIŠČE
23.04.2025 2:00 UTC,23.04.2025 4:00 CEST,12.6,11.0,90,0.0,0.0,0.0,3.0,123,,PORTOROŽ - LETALIŠČE
23.04.2025 3:00 UTC,23.04.2025 5:00 CEST,12.8,11.1,89,0.0,0.0,0.0,1.6,124,,PORTOROŽ - LETALIŠČE
23.04.2025 5:00 UTC,23.04.2025 7:00 CEST,13.0,11.3,89,0.0,0.0,0.0,2.2,119,,PORTOROŽ - LETALIŠČE
24.04.2025 0:30 UTC,24.04.2025 2:30 CEST,12.2,9.9,86,0.0,,0.0,3.8,127,,PORTOROŽ - LETALIŠČE
24.04.2025 10:00 UTC,24.04.2025 12:00 CEST,19.7,13.2,66,0.0,0.0,0.0,2.2,308,,PORTOROŽ - LETALIŠČE
24.04.2025 11:00 UTC,24.04.2025 13:00 CEST,18.7,13.2,70,0.0,0.0,0.0,2.2,308,,PORTOROŽ - LETALIŠČE
24.04.2025 12:00 UTC,24.04.2025 14:00 CEST,18.5,15.6,83,0.16,1.16,1.16,2.3,298,,PORTOROŽ - LETALIŠČE
24.04.2025 13:00 UTC,24.04.2025 15:00 CEST,19.8,13.9,69,0.0,0.0,1.16,3.0,328,,PORTOROŽ - LETALIŠČE
24.04.2025 14:00 UTC,24.04.2025 16:00 CEST,21.3,14.4,65,0.0,0.0,1.16,1.8,317,,PORTOROŽ - LETALIŠČE
24.04.2025 15:00 UTC,24.04.2025 17:00 CEST,20.2,13.1,64,0.0,0.0,1.16,3.6,324,,PORTOROŽ - LETALIŠČE
24.04.2025 16:00 UTC,24.04.2025 18:00 CEST,21.8,13.3,58,0.0,0.0,1.16,2.1,67,,PORTOROŽ - LETALIŠČE
24.04.2025 17:00 UTC,24.04.2025 19:00 CEST,20.5,12.0,58,0.0,0.0,1.16,2.6,40,,PORTOROŽ - LETALIŠČE
24.04.2025 18:00 UTC,24.04.2025 20:00 CEST,18.0,10.7,62,0.0,0.0,1.16,1.1,52,,PORTOROŽ - LETALIŠČE
24.04.2025 19:00 UTC,24.04.2025 21:00 CEST,16.6,11.2,70,0.0,0.0,0.0,1.7,172,,PORTOROŽ - LETALIŠČE
24.04.2025 20:00 UTC,24.04.2025 22:00 CEST,14.8,11.8,82,0.0,0.0,0.0,1.4,152,,PORTOROŽ - LETALIŠČE
24.04.2025 21:00 UTC,24.04.2025 23:00 CEST,13.9,11.4,85,0.0,0.0,0.0,2.0,132,,PORTOROŽ - LETALIŠČE
24.04.2025 22:00 UTC,25.04.2025 0:00 CEST,12.7,11.1,90,0.0,0.0,0.0,2.1,126,,PORTOROŽ - LETALIŠČE
24.04.2025 23:00 UTC,25.04.2025 1:00 CEST,12.0,10.6,91,0.0,0.0,0.0,2.8,125,,PORTOROŽ - LETALIŠČE
24.04.2025 2:00 UTC,24.04.2025 4:00 CEST,11.8,9.5,86,0.0,0.0,0.0,4.5,127,,PORTOROŽ - LETALIŠČE
24.04.2025 3:00 UTC,24.04.2025 5:00 CEST,12.5,9.8,84,0.0,0.0,0.0,3.4,123,,PORTOROŽ - LETALIŠČE
24.04.2025 8:00 UTC,24.04.2025 10:00 CEST,18.4,12.6,69,0.0,0.0,0.0,1.2,319,,PORTOROŽ - LETALIŠČE
24.04.2025 9:00 UTC,24.04.2025 11:00 CEST,18.1,12.5,70,0.0,0.0,0.0,2.4,303,,PORTOROŽ - LETALIŠČE
25.04.2025 0:30 UTC,25.04.2025 2:30 CEST,12.5,10.7,88,0.0,,0.0,3.1,129,,PORTOROŽ - LETALIŠČE
25.04.2025 10:00 UTC,25.04.2025 12:00 CEST,14.1,10.7,80,0,0.44,7.58,1,67,,PORTOROŽ - LETALIŠČE
25.04.2025 2:00 UTC,25.04.2025 4:00 CEST,12.6,10.8,89,0.0,0.0,0.0,2.2,132,,PORTOROŽ - LETALIŠČE
25.04.2025 3:00 UTC,25.04.2025 5:00 CEST,12.8,10.5,86,0.0,0.0,0.0,2.8,127,,PORTOROŽ - LETALIŠČE
25.04.2025 4:00 UTC,25.04.2025 6:00 CEST,13.2,10.4,83,0.0,0.0,0.0,1.3,144,,PORTOROŽ - LETALIŠČE
25.04.2025 5:00 UTC,25.04.2025 7:00 CEST,14.4,9.8,74,0.0,0.0,0.0,2.2,113,,PORTOROŽ - LETALIŠČE
25.04.2025 6:00 UTC,25.04.2025 8:00 CEST,14.3,11.5,83,1.37,1.37,1.37,0.5,217,,PORTOROŽ - LETALIŠČE
25.04.2025 7:00 UTC,25.04.2025 9:00 CEST,13.7,11.7,88,0.92,1.36,1.36,1.3,266,,PORTOROŽ - LETALIŠČE
25.04.2025 8:00 UTC,25.04.2025 10:00 CEST,13.6,12.3,92,0.09,1.56,2.92,2.2,226,,PORTOROŽ - LETALIŠČE
25.04.2025 9:00 UTC,25.04.2025 11:00 CEST,13.4,11.1,86,2.52,4.22,7.14,1.4,9,,PORTOROŽ - LETALIŠČE
