timestamp_utc,timestamp_local,temperature,dew_point,rel_humidity,precipitation,precipitation_1h,precipitation_12h,wind_speed,wind_direction,snow,station
22.04.2025 10:00 UTC,22.04.2025 12:00 CEST,19.9,8.3,47,0.0,0.0,0.0,,,,TATRE
22.04.2025 10:20 UTC,22.04.2025 12:20 CEST,19.3,8.6,50,0.0,,0.0,,,,TATRE
22.04.2025 11:00 UTC,22.04.2025 13:00 CEST,20.8,10.0,50,0.0,0.0,0.0,,,,TATRE
22.04.2025 12:10 UTC,22.04.2025 14:10 CEST,15.2,11.0,76,0.32,,0.63,,,,TATRE
22.04.2025 13:10 UTC,22.04.2025 15:10 CEST,11.9,9.1,83,4.43,,5.64,,,,TATRE
22.04.2025 14:00 UTC,22.04.2025 16:00 CEST,11.9,9.8,87,0.2,14.86,16.07,,,,TATRE
22.04.2025 15:00 UTC,22.04.2025 17:00 CEST,13.6,10.4,81,0.0,0.06,16.13,,,,TATRE
22.04.2025 16:00 UTC,22.04.2025 18:00 CEST,15.2,11.4,78,0.0,0.0,16.13,,,,TATRE
22.04.2025 17:00 UTC,22.04.2025 19:00 CEST,15.6,11.0,74,0.0,0.0,16.13,,,,TATRE
22.04.2025 18:00 UTC,22.04.2025 20:00 CEST,14.8,9.4,70,0.0,0.0,16.13,,,,TATRE
22.04.2025 19:00 UTC,22.04.2025 21:00 CEST,14.1,9.3,73,0.0,0.0,0.0,,,,TATRE
22.04.2025 20:00 UTC,22.04.2025 22:00 CEST,13.4,9.7,78,0.0,0.0,0.0,,,,TATRE
22.04.2025 21:00 UTC,22.04.2025 23:00 CEST,13.5,9.6,77,0.0,0.0,0.0,,,,TATRE
22.04.2025 22:00 UTC,23.04.2025 0:00 CEST,13.2,9.1,76,0.0,0.0,0.0,,,,TATRE
22.04.2025 23:00 UTC,23.04.2025 1:00 CEST,13,9.1,77,0,0,0,,,,TATRE
22.04.2025 7:00 UTC,22.04.2025 9:00 CEST,15.5,7.5,59,0.0,0.0,0.0,,,,TATRE
22.04.2025 8:40 UTC,22.04.2025 10:40 CEST,18.6,8.6,52,0.0,,0.0,,,,TATRE
22.04.2025 9:00 UTC,22.04.2025 11:00 CEST,18.7,7.8,49,0.0,0.0,0.0,,,,TATRE
22.04.2025 9:40 UTC,22.04.2025 11:40 CEST,17.6,7.9,53,0.0,,0.0,,,,TATRE
